tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,RÈGLEMENT,289.61,375.97004000000004,67.62840000000006,67.62840000000006,81.66840000000002,True,1
,1,612,1008,0,0,0,NUMÉRO,379.3958,440.6102,67.62840000000006,67.62840000000006,81.66840000000002,True,1
,1,612,1008,0,0,0,1233,444.07,474.55696,67.62840000000006,67.62840000000006,81.66840000000002,True,1
,1,612,1008,0,0,0,concernant,258.17,312.75176,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,la,315.76568,324.2996,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,formation,327.2804,373.23992,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,d’un,376.09928,396.89864,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,comité,399.9788,432.4916,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,du,435.49448,447.77096,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,patrimoine,450.85112000000004,502.10983999999996,95.45839999999998,95.45839999999998,106.49839999999995,True,1
,1,612,1008,0,0,0,Séance,106.46,143.81936,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,ordinaire,147.73856,190.58479999999997,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,du,194.51504,206.79152,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,conseil,210.65,244.78567999999999,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,"municipal,",248.6828,298.17512,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,tenue,302.17159999999996,329.82824,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,publiquement,333.79,399.72088,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,le,403.71736,412.25128,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,15,416.23,428.50648,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,août,432.42568,453.73288,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,2016,457.72936000000004,482.10568,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,à,486.1,492.23824,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,"20h,",496.16848000000005,517.48384,159.1784,159.1784,170.21839999999997,True,1
,1,612,1008,0,0,0,dans,106.46,130.3616,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,la,135.25232,143.78624,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,salle,148.67695999999998,171.25375999999997,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,du,176.14448,188.42095999999998,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,conseil,193.22,227.47712,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,municipal,232.25,278.72839999999997,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,située,283.586,312.99656,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,au,317.76584,330.04232,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,"1386,",334.80056,362.23496,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,rue,367.15,383.13592,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,"Dumouchel,",388.01559999999995,446.62695999999994,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,"Sainte-Adèle,",451.47352,517.4824,171.77840000000003,171.77840000000003,182.8184,True,1
,1,612,1008,0,0,0,lieu,106.46,123.52783999999998,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,ordinaire,127.67887999999999,170.52512,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,des,174.69824,192.51824000000002,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,séances,196.69136,237.66824,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,à,241.84135999999998,247.97959999999998,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,laquelle,252.15272,290.07511999999997,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,étaient,294.24823999999995,327.20264,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,présents,331.4309599999999,373.66999999999996,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,mesdames,377.83,431.71,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,et,435.91,444.97384,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,messieurs,449.23,499.25176,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,les,503.43592,517.4898400000001,184.49840000000006,184.49840000000006,195.53840000000002,True,1
,1,612,1008,0,0,0,conseillers,106.46,158.39216000000002,197.09840000000008,197.09840000000008,208.13840000000005,True,1
,1,612,1008,0,0,0,Nadine,106.46,141.29119999999998,222.41840000000002,222.41840000000002,233.45839999999998,True,1
,1,612,1008,0,0,0,Brière,144.37135999999998,173.7488,222.41840000000002,222.41840000000002,233.45839999999998,True,1
,1,612,1008,0,0,0,District,276.29,309.92888000000005,222.41840000000002,222.41840000000002,233.45839999999998,True,1
,1,612,1008,0,0,0,1,313.08632,319.22456,222.41840000000002,222.41840000000002,233.45839999999998,True,1
,1,612,1008,0,0,0,Roch,106.46,132.17216,235.01840000000004,235.01840000000004,246.0584,True,1
,1,612,1008,0,0,0,Bédard,135.25232,170.76799999999997,235.01840000000004,235.01840000000004,246.0584,True,1
,1,612,1008,0,0,0,District,276.29,309.92888000000005,235.01840000000004,235.01840000000004,246.0584,True,1
,1,612,1008,0,0,0,2,313.08632,319.22456,235.01840000000004,235.01840000000004,246.0584,True,1
,1,612,1008,0,0,0,Gilles,106.46,133.93856,247.73840000000007,247.73840000000007,258.77840000000003,True,1
,1,612,1008,0,0,0,Legault,137.00768,173.10848,247.73840000000007,247.73840000000007,258.77840000000003,True,1
,1,612,1008,0,0,0,District,276.29,309.92888000000005,247.73840000000007,247.73840000000007,258.77840000000003,True,1
,1,612,1008,0,0,0,3,313.08632,319.22456,247.73840000000007,247.73840000000007,258.77840000000003,True,1
,1,612,1008,0,0,0,John,106.46,130.36159999999998,260.3384,260.3384,271.37839999999994,True,1
,1,612,1008,0,0,0,Butler,133.43072,162.22304,260.3384,260.3384,271.37839999999994,True,1
,1,612,1008,0,0,0,District,276.29,309.92888000000005,260.3384,260.3384,271.37839999999994,True,1
,1,612,1008,0,0,0,4,313.08632,319.22456,260.3384,260.3384,271.37839999999994,True,1
,1,612,1008,0,0,0,Diane,106.46,135.15295999999998,273.0584,273.0584,284.09839999999997,True,1
,1,612,1008,0,0,0,de,138.22208,150.49856,273.0584,273.0584,284.09839999999997,True,1
,1,612,1008,0,0,0,Passillé,153.6008,191.41279999999998,273.0584,273.0584,284.09839999999997,True,1
,1,612,1008,0,0,0,District,276.29,309.92888000000005,273.0584,273.0584,284.09839999999997,True,1
,1,612,1008,0,0,0,6,313.08632,319.22456,273.0584,273.0584,284.09839999999997,True,1
,1,612,1008,0,0,0,Sous,106.46,131.54336,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,la,134.65664,143.19056,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,présidence,146.25968,200.20111999999997,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,de,203.15983999999997,215.43631999999997,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,monsieur,218.40607999999997,263.60383999999993,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,le,266.75023999999996,275.28415999999993,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,maire,278.26496,305.86495999999994,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,suppléant,308.93,356.66696,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,Robert,359.83,392.77335999999997,298.2884,298.2884,309.3284,True,1
,1,612,1008,0,0,0,Lagacé.,395.95,435.01912,298.2884,298.2884,309.3284,True,1
