tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0.949,0.949,0.949,RÈGLEMENT,302.64,388.99301999999994,97.91904,97.91904,111.95903999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,SQ-2023,392.39772,447.22392,97.91904,97.91904,111.95903999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,Concernant,235.8,292.72656,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,la,296.49782400000004,305.03616,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,"circulation,",308.61864,361.114944,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,le,364.887312,373.425648,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,"stationnement,",377.12404799999996,449.17108799999994,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,la,452.9423519999999,461.47958399999993,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,paix,465.1779839999999,485.211168,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,et,488.81131200000004,497.996592,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,le,501.76785600000005,510.306192,125.26799999999992,125.26799999999992,136.30799999999988,True,1
,1,603.84,995.16,0.949,0.949,0.949,bon,235.8,254.17056,137.86799999999994,137.86799999999994,148.9079999999999,True,1
,1,603.84,995.16,0.949,0.949,0.949,ordre,257.2728,282.96729600000003,137.86799999999994,137.86799999999994,148.9079999999999,True,1
,1,603.84,995.16,0.949,0.949,0.949,Séance,106.44,143.76623999999998,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,ordinaire,147.3432,190.18502400000003,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,du,193.76198400000004,206.01638400000004,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,conseil,209.47632000000004,243.598752,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,"municipal,",247.14700799999997,296.640432,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,tenue,300.290256,327.89688,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,publiquement,331.35792000000004,397.2876960000002,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,le,400.9375200000002,409.4758560000002,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,15,413.07489600000025,425.3292960000002,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,mai,428.7848160000003,446.5923360000003,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,2023,450.23663999999997,474.60743999999994,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,à,478.20095999999995,484.33919999999995,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,"19h,",487.91615999999993,509.33376,194.38608,194.38608,205.42607999999996,True,1
,1,603.84,995.16,0.949,0.949,0.949,dans,106.44,130.30848,206.98271999999997,206.98271999999997,218.02271999999994,True,1
,1,603.84,995.16,0.949,0.949,0.949,la,133.669056,142.207392,206.98271999999997,206.98271999999997,218.02271999999994,True,1
,1,603.84,995.16,0.949,0.949,0.949,salle,145.428864,168.00345600000003,206.98271999999997,206.98271999999997,218.02271999999994,True,1
,1,603.84,995.16,0.949,0.949,0.949,du,171.34084800000002,183.59524800000003,206.98271999999997,206.98271999999997,218.02271999999994,True,1
,1,603.84,995.16,0.949,0.949,0.949,conseil,186.81782400000003,220.938048,206.98271999999997,206.98271999999997,218.02271999999994,True,1
,1,603.84,995.16,0.949,0.949,0.949,municipal,224.127504,270.6025919999999,206.98271999999997,206.98271999999997,218.02271999999994,True,1
,1,603.84,995.16,0.949,0.949,0.949,située,273.9112799999999,303.32183999999995,206.98271999999997,206.98271999999997,218.02271999999994,True,1
