tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,280.63,366.99004,39.38627999999994,39.38627999999994,53.42628000000002,True,1
,1,603.84,995.16,0,0,0,NUMÉRO,370.4158,431.6302,39.38627999999994,39.38627999999994,53.42628000000002,True,1
,1,603.84,995.16,0,0,0,1211,435.1,465.58696000000003,39.38627999999994,39.38627999999994,53.42628000000002,True,1
,1,603.84,995.16,0,0,0,décrétant,218.81,264.71432,67.68527999999992,67.68527999999992,78.72528,True,1
,1,603.84,995.16,0,0,0,des,271.71368,289.47704,67.68527999999992,67.68527999999992,78.72528,True,1
,1,603.84,995.16,0,0,0,travaux,296.47,332.5708,67.71839999999997,67.71839999999997,78.75839999999994,True,1
,1,603.84,995.16,0,0,0,pour,339.39352,361.45144,67.71839999999997,67.71839999999997,78.75839999999994,True,1
,1,603.84,995.16,0,0,0,l’automatisation,368.55016,444.86968,67.71839999999997,67.71839999999997,78.75839999999994,True,1
,1,603.84,995.16,0,0,0,(télémétrie),451.9,507.64095999999995,67.68527999999992,67.68527999999992,78.72528,True,1
,1,603.84,995.16,0,0,0,et,514.68,523.74384,67.68527999999992,67.68527999999992,78.72528,True,1
,1,603.84,995.16,,,,l’uniformisation,218.81,292.23464,80.40527999999995,80.40527999999995,91.47839999999997,True,1
,1,603.84,995.16,0,0,0,de,296.35,308.62648,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,la,312.54568,321.0796,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,communication,325.13128,399.04408,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,de,403.08472,415.3612,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,tous,419.2804,440.15704,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,les,444.10936000000004,458.16328,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,ouvrages,462.34,507.70336,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,du,511.68,523.81848,80.40527999999995,80.40527999999995,91.44528000000003,True,1
,1,603.84,995.16,0,0,0,réseau,218.81,252.55928,93.0584,93.0584,104.09839999999997,True,1
,1,603.84,995.16,,,,"d’aqueduc,",262.4732,316.33912,93.02527999999995,93.02527999999995,104.09839999999997,True,1
,1,603.84,995.16,0,0,0,et,326.21992,335.42728,93.02527999999995,93.02527999999995,104.06527999999992,True,1
,1,603.84,995.16,0,0,0,pour,345.286,367.34391999999997,93.02527999999995,93.02527999999995,104.06527999999992,True,1
,1,603.84,995.16,0,0,0,emprunter,377.31304,427.4235999999999,93.02527999999995,93.02527999999995,104.06527999999992,True,1
,1,603.84,995.16,0,0,0,une,437.38,455.7616,93.02527999999995,93.02527999999995,104.06527999999992,True,1
,1,603.84,995.16,0,0,0,somme,465.56512,501.688,93.02527999999995,93.02527999999995,104.06527999999992,True,1
,1,603.84,995.16,0,0,0,de,511.624,523.7569599999999,93.02527999999995,93.02527999999995,104.06527999999992,True,1
,1,603.84,995.16,0,0,0,414,218.81,237.18832,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,000$,240.29,264.78824,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,afin,269.33,287.08232,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,de,291.60872,303.8852,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,payer,308.40056,335.8570399999999,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,le,340.39,348.92392,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,coût,353.45032,374.28279999999995,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,des,378.87543999999997,396.63879999999995,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,travaux,401.18728,437.17767999999995,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,incluant,441.60471999999993,479.60439999999994,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,tous,484.1859999999999,505.06263999999993,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,les,509.61111999999997,523.81824,105.74527999999998,105.74527999999998,116.78527999999994,True,1
,1,603.84,995.16,0,0,0,frais,218.81,239.6756,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,"inhérents,",243.2636,291.49912,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,les,295.03,309.08392,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,taxes,312.53943999999996,338.8256799999999,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,et,342.3916,351.59896,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,les,355.09863999999993,369.15255999999994,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,imprévus,372.71847999999994,417.2538399999999,118.34528,118.34528,129.38528000000008,True,1
,1,603.84,995.16,0,0,0,et,420.94,430.00383999999997,118.34528,118.34528,129.38528000000008,True,1
