tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,316.03,402.39004,44.94839999999999,44.94839999999999,58.988399999999956,True,1
,1,603.84,995.16,0,0,0,1243,405.82,436.30696,44.94839999999999,44.94839999999999,58.988399999999956,True,1
,1,603.84,995.16,0,0,0,pour,232.37,254.42792,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,emprunter,263.08328,313.19383999999997,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,une,321.72776,340.10936,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,somme,348.59911999999997,384.722,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,de,393.2117599999999,405.4882399999999,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,250,413.9669599999999,432.3485599999999,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,000,435.58,453.9616,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,$,462.45135999999997,468.58959999999996,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,pour,477.1,499.15792,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,la,507.69184,516.22576,73.23839999999996,73.23839999999996,84.27839999999992,True,1
,1,603.84,995.16,0,0,0,conception,232.37,285.68216,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,de,290.31896,302.59544,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,plans,307.23224,333.51847999999995,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,et,338.1884,347.39576,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,devis,351.97736,377.53495999999996,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,pour,382.20488,404.26279999999997,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,le,408.9548,417.59824,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,réaménagement,422.24608,502.45167999999995,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,et,507.16576,516.2296,85.97839999999997,85.97839999999997,97.01839999999993,True,1
,1,603.84,995.16,0,0,0,réfection,232.37,274.598,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,sectorielle,277.91,327.34712,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,du,330.6812,342.95768,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,garage,346.26968,380.582,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,"municipal,",383.91607999999997,433.4083999999999,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,incluant,437.02,474.90927999999997,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,tous,478.16607999999997,499.0427199999999,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,les,502.38784,516.29824,98.57839999999999,98.57839999999999,109.61839999999995,True,1
,1,603.84,995.16,0,0,0,frais,232.37,253.2356,111.29840000000002,111.29840000000002,122.33839999999998,True,1
,1,603.84,995.16,0,0,0,"inhérents,",259.46216,307.81912,111.29840000000002,111.29840000000002,122.33839999999998,True,1
,1,603.84,995.16,0,0,0,les,314.11,328.16392,111.29840000000002,111.29840000000002,122.33839999999998,True,1
,1,603.84,995.16,0,0,0,"taxes,",334.37944,363.7348,111.29840000000002,111.29840000000002,122.33839999999998,True,1
,1,603.84,995.16,0,0,0,les,370.15,384.20392,111.29840000000002,111.29840000000002,122.33839999999998,True,1
