tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,310.99,397.34799999999996,66.0684,66.0684,80.10839999999996,True,1
,1,603.84,995.16,0,0,0,1250,400.78,431.26696,66.0684,66.0684,80.10839999999996,True,1
,1,603.84,995.16,0,0,0,de,229.13,241.40648,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,type,245.67896,266.46728,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,parapluie,270.61832,315.87127999999996,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,décrétant,320.16584,365.82728,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,un,370.27,382.40295999999995,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,emprunt,386.69752,426.93832,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,et,431.26,440.32383999999996,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,une,444.67359999999996,462.9448,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,dépense,467.21727999999996,509.35695999999996,94.37840000000006,94.37840000000006,105.41840000000002,True,1
,1,603.84,995.16,0,0,0,de,229.13,241.38827999999998,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,3,244.49,250.62824,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,825,253.73,272.1116,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,000$,275.08136,299.60824,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,en,302.71,314.98648,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,immobilisation,317.9452,387.41991999999993,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,pour,390.48903999999993,412.5800799999999,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,l’année,415.71543999999994,451.13175999999993,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,2018.,454.3,481.72912,107.09839999999997,107.09839999999997,118.13839999999993,True,1
,1,603.84,995.16,0,0,0,Séance,87.744,125.10336,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,ordinaire,128.29391999999999,171.01871999999997,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,du,174.23136,186.50784,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,conseil,189.65,223.78567999999999,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,"municipal,",226.95415999999997,276.44647999999995,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,tenue,279.60391999999996,307.23704,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,publiquement,310.30616,376.22599999999994,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,le,379.49384,388.02775999999994,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,15,391.3,403.57648,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,janvier,406.53520000000003,438.89344,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,2018,442.15024,466.52656,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,à,469.78,475.91823999999997,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,20,478.99839999999995,491.27487999999994,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,"h,",494.38,503.44383999999997,145.49839999999995,145.49839999999995,156.5383999999999,True,1
,1,603.84,995.16,0,0,0,dans,87.744,111.64559999999999,158.09839999999997,158.09839999999997,169.13839999999993,True,1
,1,603.84,995.16,0,0,0,la,115.10112,123.63504,158.09839999999997,158.09839999999997,169.13839999999993,True,1
,1,603.84,995.16,0,0,0,salle,127.09056000000001,149.54592,158.09839999999997,158.09839999999997,169.13839999999993,True,1
,1,603.84,995.16,0,0,0,du,153.00144,165.27792,158.09839999999997,158.09839999999997,169.13839999999993,True,1
,1,603.84,995.16,0,0,0,conseil,168.77,202.90568,158.09839999999997,158.09839999999997,169.13839999999993,True,1
,1,603.84,995.16,0,0,0,municipal,206.21,252.68840000000003,158.09839999999997,158.09839999999997,169.13839999999993,True,1
,1,603.84,995.16,0,0,0,située,256.09976,285.51032,158.09839999999997,158.09839999999997,169.13839999999993,True,1
