tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,RÈGLEMENT,310.97,397.328,72.66840000000002,72.66840000000002,86.70839999999998,True,1
,1,612,1008,0,0,0,1261,400.75,431.23696,72.66840000000002,72.66840000000002,86.70839999999998,True,1
,1,612,1008,0,0,0,concernant,229.13,283.71175999999997,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,les,287.93,301.98392,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,modalités,306.27848,353.29783999999995,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,entourant,357.67,404.17048,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,la,408.52024,417.05416,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,consommation,421.34872,492.76648,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,de,497.06104,509.33752,101.09840000000008,101.09840000000008,112.13840000000005,True,1
,1,612,1008,0,0,0,cannabis,229.13,273.1796,113.69839999999999,113.69839999999999,124.73839999999996,True,1
,1,612,1008,0,0,0,dans,276.29287999999997,300.19448,113.69839999999999,113.69839999999999,124.73839999999996,True,1
,1,612,1008,0,0,0,les,303.2636,317.33959999999996,113.69839999999999,113.69839999999999,124.73839999999996,True,1
,1,612,1008,0,0,0,endroits,320.33144,359.44615999999996,113.69839999999999,113.69839999999999,124.73839999999996,True,1
,1,612,1008,0,0,0,publics.,362.55944,399.83047999999997,113.69839999999999,113.69839999999999,124.73839999999996,True,1
,1,612,1008,0,0,0,Séance,87.744,125.10336,152.2184000000001,152.2184000000001,163.25840000000005,True,1
,1,612,1008,0,0,0,ordinaire,128.5368,171.38304,152.2184000000001,152.2184000000001,163.25840000000005,True,1
,1,612,1008,0,0,0,du,174.83855999999997,187.11503999999996,152.2184000000001,152.2184000000001,163.25840000000005,True,1
,1,612,1008,0,0,0,conseil,190.46,224.59568,152.2184000000001,152.2184000000001,163.25840000000005,True,1
