tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,RÈGLEMENT,302.69,389.05004,101.60840000000007,101.60840000000007,115.64840000000004,True,1
,1,612,1008,0,0,0,1275,392.47,422.95696000000004,101.60840000000007,101.60840000000007,115.64840000000004,True,1
,1,612,1008,0,0,0,concernant,223.37,277.95176,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,la,280.97,289.50392000000005,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,citation,292.57304000000005,327.42632000000003,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,de,330.50648,342.80824,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,la,345.6676,354.20152,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,maison,357.27064,392.85256000000004,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,Olivier-Rolland,395.82232,467.84584,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,à,471.1,477.23824,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,titre,480.21904,498.68896,129.29840000000002,129.29840000000002,140.33839999999998,True,1
,1,612,1008,0,0,0,d’immeuble,304.37,360.65192,142.01840000000004,142.01840000000004,153.0584,True,1
,1,612,1008,0,0,0,patrimonial,363.72104,417.55207999999993,142.01840000000004,142.01840000000004,153.0584,True,1
,1,612,1008,0,0,0,Séance,106.46,143.81936,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,ordinaire,147.49568,190.34192,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,du,193.90784,206.18431999999999,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,conseil,209.73919999999998,243.87488,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,"municipal,",247.52911999999998,297.02144,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,tenue,300.6536,328.28671999999995,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,publiquement,331.84159999999997,397.76143999999994,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,le,401.5150399999999,410.04895999999985,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,19,413.6148799999998,425.8913599999998,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,août,429.44623999999976,450.89695999999975,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,2019,454.5180799999997,478.8943999999997,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,à,482.5817599999997,488.7199999999997,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,19,492.28591999999963,504.5623999999996,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,"h,",508.1172799999996,517.1811199999996,180.41840000000002,180.41840000000002,191.45839999999998,True,1
,1,612,1008,0,0,0,dans,106.46,130.3616,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,la,135.25232,143.78624,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,salle,148.67695999999998,171.25375999999997,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,du,176.14448,188.42095999999998,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,conseil,193.17919999999998,227.43632,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,municipal,232.18352,278.66191999999995,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,située,283.51951999999994,312.93008,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,au,317.69935999999996,329.97583999999995,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,"1386,",334.73407999999995,362.16847999999993,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,rue,367.00399999999996,382.9899199999999,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,"Dumouchel,",387.86959999999993,446.48095999999987,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,"Sainte-Adèle,",451.3275199999999,517.4824,193.01840000000004,193.01840000000004,204.0584,True,1
,1,612,1008,0,0,0,lieu,106.46,123.52783999999998,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,ordinaire,126.71839999999999,169.56463999999997,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,des,172.77727999999996,190.54063999999997,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,séances,193.76431999999997,234.68959999999996,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,à,237.91327999999993,244.05151999999993,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,laquelle,247.26415999999995,285.18655999999993,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,sont,288.3991999999999,309.1102399999999,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,présents,312.3780799999999,354.4956799999999,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,les,357.71935999999994,371.7732799999999,205.73840000000007,205.73840000000007,216.77840000000003,True,1
,1,612,1008,0,0,0,membres,374.9859199999999,420.91231999999985,205.73840000000007,205.73840000000007,216.77840000000003,True,1
