tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,310.99,397.34799999999996,90.8084,90.8084,104.84839999999997,True,1
,1,603.84,995.16,0,0,0,1295,400.78,431.26624,90.8084,90.8084,104.84839999999997,True,1
,1,603.84,995.16,0,0,0,décrétant,229.13,275.04152,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,des,292.95944000000003,310.7228,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,dépenses,328.59656,376.25624,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,de,394.10792,406.38439999999997,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,1,424.22504,430.36328,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,700,433.54,451.91832,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,000$,454.9,479.27824,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,en,497.12991999999997,509.40639999999996,119.21839999999997,119.21839999999997,130.25839999999994,True,1
,1,603.84,995.16,0,0,0,immobilisations,229.13,304.35655999999994,131.8184,131.8184,142.85839999999996,True,1
,1,603.84,995.16,0,0,0,(type,307.42567999999994,331.84615999999994,131.8184,131.8184,142.85839999999996,True,1
,1,603.84,995.16,0,0,0,parapluie),334.92632,383.74519999999995,131.8184,131.8184,142.85839999999996,True,1
,1,603.84,995.16,0,0,0,Séance,87.744,125.10336,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,ordinaire,128.65824,171.37199999999999,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,du,174.93791999999996,187.21439999999996,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,conseil,190.64783999999997,224.78351999999998,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,"municipal,",228.31631999999996,277.80863999999997,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,tenue,281.33039999999994,308.9635199999999,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,à,312.55,318.68824,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,huis,322.13272,342.17032,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,clos,345.75832,365.33223999999996,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,le,368.83,377.36392,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,15,380.95,393.22648,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,juin,396.53848,413.70568,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,2020,417.15015999999997,441.66999999999996,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,à,445.06,451.19824,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,"19h,",454.78,476.08912,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,dans,479.59984,503.50143999999995,170.33839999999998,170.33839999999998,181.37839999999994,True,1
,1,603.84,995.16,0,0,0,la,87.744,96.27792,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,salle,102.12912,124.70591999999999,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,du,130.55712,142.8336,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,conseil,148.67376,182.93088,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,municipal,188.74895999999998,235.22735999999998,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,située,241.04543999999996,270.45599999999996,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,au,276.30719999999997,288.58367999999996,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,"1386,",294.4238399999999,321.9796799999999,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,rue,327.89712,343.7726399999999,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,"Dumouchel,",349.6128,408.35663999999997,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,"Sainte-Adèle,",414.2740799999999,480.30591999999996,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,lieu,486.21232,503.29648,182.9384,182.9384,193.97839999999997,True,1
,1,603.84,995.16,0,0,0,ordinaire,87.744,130.59024,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,des,136.07711999999998,153.84047999999999,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,séances,159.34944,200.28575999999998,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,à,205.65119999999996,211.78943999999996,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,laquelle,217.27631999999994,255.19871999999992,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,sont,260.81,281.64248,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,présents,287.11,329.2276,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,les,334.73656,348.79048,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,membres,354.27736,400.09335999999996,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,du,405.60231999999996,417.87879999999996,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,conseil,423.35464,457.36888,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,suivants,462.82264,503.14072,195.53840000000002,195.53840000000002,206.5784,True,1
,1,603.84,995.16,0,0,0,formant,87.744,125.1144,208.25840000000005,208.25840000000005,219.29840000000002,True,1
,1,603.84,995.16,0,0,0,le,128.16144,136.69536,208.25840000000005,208.25840000000005,219.29840000000002,True,1
,1,603.84,995.16,0,0,0,quorum,139.67615999999998,177.04655999999997,208.25840000000005,208.25840000000005,219.29840000000002,True,1
,1,603.84,995.16,0,0,0,:,180.17,183.23911999999999,208.25840000000005,208.25840000000005,219.29840000000002,True,1
,1,603.84,995.16,0,0,0,Monsieur,87.744,132.93071999999998,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,Pierre,136.07711999999998,165.47663999999997,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,Lafond,168.45744,202.18463999999997,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,Conseiller,292.99,341.79784,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,du,344.9332,357.20968,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,district,360.28984,392.0188,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,1,395.17624,401.31448,233.5784,233.5784,244.61839999999995,True,1
,1,603.84,995.16,0,0,0,Monsieur,87.744,132.93071999999998,246.1784,246.1784,257.2184,True,1
,1,603.84,995.16,0,0,0,Roch,136.07711999999998,161.78927999999996,246.1784,246.1784,257.2184,True,1
