tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,323.23,409.59568,67.38840000000005,67.38840000000005,81.42840000000001,True,1
,1,603.84,995.16,0,0,0,1297,413.14,443.62696,67.38840000000005,67.38840000000005,81.42840000000001,True,1
,1,603.84,995.16,0,0,0,décrétant,254.81,300.71432,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,un,308.43128,320.70776,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,emprunt,328.226,368.61031999999994,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,de,376.09543999999994,388.37191999999993,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,410,396.1,414.47832,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,000,417.58,435.9616,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,$,443.5,449.63824,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,pour,457.3,479.2144,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,faire,486.79888,508.28272,95.69839999999999,95.69839999999999,106.73839999999996,True,1
,1,603.84,995.16,0,0,0,préparer,254.81,296.53015999999997,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,des,301.87,319.63336,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,"études,",325.02088,361.0996,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,plans,366.3988,392.68503999999996,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,et,398.07255999999995,407.27991999999995,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,devis,412.78,438.45903999999996,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,pour,443.86,465.7744,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,la,471.19504,479.72896000000003,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,mise,485.02,508.30336,108.41840000000002,108.41840000000002,119.45839999999998,True,1
,1,603.84,995.16,0,0,0,aux,254.81,272.57336,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,normes,277.6076,314.30456,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,de,319.3388,331.61528,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,l’usine,336.6164,367.72711999999996,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,d’épuration,372.72823999999997,427.23272,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,Mont-Rolland,432.23384,497.75584000000003,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,y,502.8,508.32,121.01840000000004,121.01840000000004,132.0584,True,1
,1,603.84,995.16,0,0,0,incluant,254.81,292.69928,133.61839999999995,133.61839999999995,144.65839999999992,True,1
,1,603.84,995.16,0,0,0,les,302.558,316.61191999999994,133.61839999999995,133.61839999999995,144.65839999999992,True,1
,1,603.84,995.16,0,0,0,frais,326.42647999999997,347.29207999999994,133.61839999999995,133.61839999999995,144.65839999999992,True,1
