tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,RÈGLEMENT,304.97,391.33568,85.52840000000003,85.52840000000003,99.5684,True,1
,1,612,1008,0,0,0,1281-1,394.87,437.35624,85.52840000000003,85.52840000000003,99.5684,True,1
,1,612,1008,0,0,0,Amendant,231.65,281.89304,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,le,284.918,293.45192,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,règlement,296.52103999999997,345.43927999999994,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,1281,348.37591999999995,372.89576,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,relatif,376.03,402.98967999999996,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,aux,406.01464,423.77799999999996,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,fausses,426.76983999999993,464.70327999999995,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,alarmes,467.68407999999994,506.9312799999999,113.8184,113.8184,124.85839999999996,True,1
,1,612,1008,0,0,0,Séance,87.744,125.10336,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,ordinaire,132.74304,175.58927999999997,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,du,183.23999999999998,195.51647999999997,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,conseil,203.09,237.22712,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,"municipal,",244.84472,294.33704,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,tenue,302.054,329.68712,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,en,337.27,349.52828,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,visioconférence,357.19,433.6396,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,(zoom),441.16887999999994,475.42599999999993,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,le,483.22,491.75392000000005,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,14,499.40464000000003,511.5376,152.33839999999998,152.33839999999998,163.37839999999994,True,1
,1,612,1008,0,0,0,décembre,87.744,136.83888,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,"2020,",140.04048,167.60912,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,lieu,170.88799999999998,187.95584,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,temporaire,191.3,243.85039999999998,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,des,247.25,265.01336,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,séances,268.23704,309.28376,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,à,312.50744,318.64567999999997,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,laquelle,321.97976,359.67031999999995,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,sont,363.07,383.90247999999997,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,présents,387.31,429.54328,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,les,432.79,446.84392,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,membres,450.05656,496.01608,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,du,499.35016,511.62664,164.9384,164.9384,175.97839999999997,True,1
,1,612,1008,0,0,0,conseil,87.744,122.00112,177.65840000000003,177.65840000000003,188.6984,True,1
,1,612,1008,0,0,0,suivants,125.05919999999999,165.49872,177.65840000000003,177.65840000000003,188.6984,True,1
,1,612,1008,0,0,0,formant,168.5,205.74896,177.65840000000003,177.65840000000003,188.6984,True,1
,1,612,1008,0,0,0,le,208.796,217.32992,177.65840000000003,177.65840000000003,188.6984,True,1
,1,612,1008,0,0,0,quorum,220.39904,257.82464,177.65840000000003,177.65840000000003,188.6984,True,1
