tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612.12,1008.12,0,0,0,Règlement,324.67,384.346,51.0,51.0,63.0,True,1
,1,612.12,1008.12,0,0,0,1314-2021-Z-3,387.19,464.21200000000005,51.0,51.0,63.0,True,1
,1,612.12,1008.12,0,0,0,amendant,248.69,297.74072,77.3184,77.3184,88.35839999999996,True,1
,1,612.12,1008.12,0,0,0,le,303.03992,311.57383999999996,77.3184,77.3184,88.35839999999996,True,1
,1,612.12,1008.12,0,0,0,Règlement,316.97,370.20488,77.29631999999992,77.29631999999992,88.33632,True,1
,1,612.12,1008.12,0,0,0,de,375.51512,387.7916,77.29631999999992,77.29631999999992,88.33632,True,1
,1,612.12,1008.12,0,0,0,zonage,393.146,429.29096,77.29631999999992,77.29631999999992,88.33632,True,1
,1,612.12,1008.12,0,0,0,numéro,434.65639999999996,471.96056,77.29631999999992,77.29631999999992,88.33632,True,1
,1,612.12,1008.12,0,0,0,1314-2021-Z,477.34,540.36544,77.29631999999992,77.29631999999992,88.33632,True,1
,1,612.12,1008.12,0,0,0,visant,248.69,277.43816,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,à,281.78792,287.92616,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,apporter,292.08824,333.10184,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,certaines,337.30808,381.83239999999995,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,corrections,386.12695999999994,439.85864,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,à,444.16424,450.30248,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,la,454.46456,462.99848,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,règlementation,467.29304,540.0024799999999,89.9384,89.9384,100.97839999999997,True,1
,1,612.12,1008.12,0,0,0,d’urbanisme,248.69,308.70344,102.65840000000003,102.65840000000003,113.69839999999999,True,1
,1,612.12,1008.12,0,0,0,(omnibus),311.68424,360.5914399999999,102.65840000000003,102.65840000000003,113.69839999999999,True,1
,1,612.12,1008.12,0,0,0,_______________________________________________,248.69,536.3500799999999,127.85840000000007,127.85840000000007,138.89840000000004,True,1
,1,612.12,1008.12,0,0,0,Séance,121.1,158.45936,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,ordinaire,162.25712,205.10336,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,du,208.79072,221.06719999999999,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,conseil,224.74352,258.94086,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,"municipal,",262.73,312.22232,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,tenue,315.97592000000003,343.60904,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,en,347.35,359.60824,167.45839999999998,167.45839999999998,178.49839999999995,True,1
,1,612.12,1008.12,0,0,0,"visioconférence,",363.17416000000003,442.69912,167.45839999999998,167.45839999999998,178.49839999999995,True,1
