tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,305.11,391.47004000000004,31.028400000000033,31.028400000000033,45.0684,True,1
,1,603.84,995.16,0,0,0,1324,395.02,425.50696,31.028400000000033,31.028400000000033,45.0684,True,1
,1,603.84,995.16,0,0,0,relatif,230.33,257.28968000000003,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,au,261.6284,273.90488,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,paiement,278.05592,323.24264,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,d’une,327.5924,354.37543999999997,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,contribution,358.66999999999996,415.57016,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,pour,419.84263999999996,441.75703999999996,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,financer,445.97432,485.16632,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,en,489.50504,501.78152,59.4384,59.4384,70.47839999999997,True,1
,1,603.84,995.16,0,0,0,tout,230.33,248.75576,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,ou,259.4756,271.75208,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,en,282.3836,294.66008,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,partie,305.2916,332.77016,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,une,343.41272,361.68392,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,dépense,372.43688,414.72008,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,liée,425.35159999999996,442.41944,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,à,453.05096,459.18919999999997,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,"l’ajout,",469.71031999999997,501.56071999999995,72.03840000000002,72.03840000000002,83.07839999999999,True,1
,1,603.84,995.16,0,0,0,l’agrandissement,230.33,313.56056,84.77840000000003,84.77840000000003,95.8184,True,1
,1,603.84,995.16,0,0,0,ou,317.19272,329.4692,84.77840000000003,84.77840000000003,95.8184,True,1
,1,603.84,995.16,0,0,0,la,333.14552,341.67944,84.77840000000003,84.77840000000003,95.8184,True,1
,1,603.84,995.16,0,0,0,modification,345.12392,403.92296,84.77840000000003,84.77840000000003,95.8184,True,1
,1,603.84,995.16,0,0,0,d’infrastructures,407.61032,485.69624,84.77840000000003,84.77840000000003,95.8184,True,1
