tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,RÈGLEMENT,341.59,410.71144,81.51840000000004,81.51840000000004,92.5584,True,1
,1,612,1008,0,0,0,1327,413.78056,438.32828,81.51840000000004,81.51840000000004,92.5584,True,1
,1,612,1008,0,0,0,Décrétant,278.45,326.14712000000003,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,les,329.30456,343.40824,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,tarifs,346.38904,370.25752,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,de,373.3708,385.64728,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,certains,388.606,427.12456,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,"biens,",430.19368,459.46072,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,services,462.61816,502.93624,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,et,505.90600000000006,515.1133600000001,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,activités,298.73,338.5844,119.57839999999999,119.57839999999999,130.61839999999995,True,1
,1,612,1008,0,0,0,pour,341.65352,363.60103999999995,119.57839999999999,119.57839999999999,130.61839999999995,True,1
,1,612,1008,0,0,0,l’exercice,366.74744,412.47511999999995,119.57839999999999,119.57839999999999,130.61839999999995,True,1
,1,612,1008,0,0,0,financier,415.54423999999995,457.07671999999997,119.57839999999999,119.57839999999999,130.61839999999995,True,1
,1,612,1008,0,0,0,2023.,460.3,487.84911999999997,119.57839999999999,119.57839999999999,130.61839999999995,True,1
,1,612,1008,0,0,0,Séance,141.74,179.09936,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,ordinaire,183.97904,226.69279999999998,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,du,231.58352,243.85999999999999,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,conseil,248.61824,282.74287999999996,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,"municipal,",287.60047999999995,337.09279999999995,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,tenue,341.93935999999997,369.5724799999999,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,publiquement,374.47,440.42296,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,le,445.36888,453.9028,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,19,458.71,470.98648,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,décembre,475.74472,524.68504,161.8184,161.8184,172.85839999999996,True,1
,1,612,1008,0,0,0,2022,141.74,166.25984,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,à,173.41376,179.552,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,"19h23,",186.74,220.31912,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,dans,227.43992,251.34152,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,la,258.38504,266.91895999999997,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,salle,274.09495999999996,296.67175999999995,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,du,303.84776,316.12424,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,conseil,323.15671999999995,357.41383999999994,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,municipal,364.54567999999995,410.90263999999996,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,située,418.03448,447.44503999999995,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,au,454.62104,466.89752,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,"1386,",473.92999999999995,501.48583999999994,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,rue,508.78,524.7659199999999,174.41840000000002,174.41840000000002,185.45839999999998,True,1
,1,612,1008,0,0,0,"Dumouchel,",141.74,200.48095999999998,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,à,208.08751999999998,214.22575999999998,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,"Sainte-Adèle,",221.87648,287.77448000000004,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,lieu,295.48040000000003,312.54824,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,ordinaire,320.18792,363.03416,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,des,370.56344,388.2053599999999,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,séances,395.87816,436.92488,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,à,444.47623999999996,450.61447999999996,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,laquelle,458.14376,495.95575999999994,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,sont,503.48503999999997,524.31752,187.01840000000004,187.01840000000004,198.0584,True,1
,1,612,1008,0,0,0,présents,141.74,184.07840000000002,199.73840000000007,199.73840000000007,210.77840000000003,True,1
