tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,,,,Règlement,305.57,374.06120000000004,64.62840000000006,64.62840000000006,78.66840000000002,True,1
,1,612,1008,0,0,0,1314-2021-Z-9,377.54312000000004,467.83624,64.62840000000006,64.62840000000006,78.66840000000002,True,1
,1,612,1008,0,0,0,amendant,248.69,297.74072,94.13840000000005,94.13840000000005,105.17840000000001,True,1
,1,612,1008,0,0,0,le,301.60472,310.13864,94.13840000000005,94.13840000000005,105.17840000000001,True,1
,1,612,1008,0,0,0,Règlement,314.09,367.19239999999996,94.11631999999997,94.11631999999997,105.15632000000005,True,1
,1,612,1008,0,0,0,de,370.95703999999995,383.23351999999994,94.11631999999997,94.11631999999997,105.15632000000005,True,1
,1,612,1008,0,0,0,zonage,387.15271999999993,423.29767999999996,94.11631999999997,94.11631999999997,105.15632000000005,True,1
,1,612,1008,0,0,0,numéro,427.1064799999999,464.4216799999999,94.11631999999997,94.11631999999997,105.15632000000005,True,1
,1,612,1008,0,0,0,1314-2021-,468.35191999999995,524.69632,94.11631999999997,94.11631999999997,105.15632000000005,True,1
,1,612,1008,0,0,0,Z,248.69,255.43544,106.83632,106.83632,117.87632000000008,True,1
,1,612,1008,0,0,0,visant,260.45,289.19816,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,à,294.16616,300.3044,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,modifier,305.19512,344.3871199999999,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,les,349.322,363.37591999999995,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,usages,368.26663999999994,403.79335999999995,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,autorisés,408.82759999999996,453.46232,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,dans,458.37512000000004,482.27671999999995,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,la,487.28888,495.7124,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,zone,500.72456,524.62616,106.85840000000007,106.85840000000007,117.89840000000004,True,1
,1,612,1008,0,0,0,ZC.1-004,248.69,294.66832,119.45839999999998,119.45839999999998,130.49839999999995,True,1
,1,612,1008,0,0,0,_____________________________________________,248.69,524.1099999999999,132.1784,132.1784,143.21839999999997,True,1
,1,612,1008,0,0,0,Séance,121.1,158.45936,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,ordinaire,163.69232,206.53856,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,du,211.79359999999997,224.07007999999996,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,conseil,229.30303999999998,263.49656,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,"municipal,",268.70743999999996,318.19975999999997,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,tenue,323.51,351.14311999999995,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,publiquement,356.47,422.42296,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,le,427.75,436.28392,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,20,441.55,453.82648,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,mars,459.05944,483.51304,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,2023,488.74,513.2383600000001,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,à,518.5,524.63824,157.37840000000006,157.37840000000006,168.41840000000002,True,1
,1,612,1008,0,0,0,"19h,",121.1,142.52924,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,dans,147.26,171.1616,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,la,175.688,184.22191999999998,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,salle,188.86975999999999,211.44655999999998,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,du,216.09439999999998,228.37087999999997,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,conseil,233.00768,267.1433599999999,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,municipal,271.75807999999995,318.2364799999999,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,située,322.85119999999995,352.26176,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,au,356.78815999999995,369.06463999999994,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,"1386,",373.70143999999993,401.2572799999999,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,rue,405.8609599999999,421.8468799999999,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,"Dumouchel,",426.4836799999999,484.9735999999998,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,Sainte-,489.6876799999998,524.81632,170.09840000000008,170.09840000000008,181.13840000000005,True,1
,1,612,1008,0,0,0,"Adèle,",121.1,152.26592,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,lieu,155.64416,172.712,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,ordinaire,176.024,218.87023999999997,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,des,222.20432,239.96768,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,séances,243.31279999999998,284.35952,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,à,287.70464,293.84288,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,laquelle,297.17696,334.98895999999996,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,sont,338.32304,359.15551999999997,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,présents,362.42336,404.76176,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,les,408.12896,422.18287999999995,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,membres,425.3955199999999,471.32191999999986,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,du,474.6780799999999,486.8110399999998,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,conseil,490.1451199999998,524.4022399999998,182.6984,182.6984,193.73839999999996,True,1
,1,612,1008,0,0,0,suivants,121.1,161.53952,195.41840000000002,195.41840000000002,206.45839999999998,True,1
,1,612,1008,0,0,0,formant,164.5424,201.91279999999998,195.41840000000002,195.41840000000002,206.45839999999998,True,1
,1,612,1008,0,0,0,le,204.95983999999999,213.49375999999998,195.41840000000002,195.41840000000002,206.45839999999998,True,1
,1,612,1008,0,0,0,quorum,216.56287999999998,253.76767999999996,195.41840000000002,195.41840000000002,206.45839999999998,True,1
