tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612.12,1008.12,0,0,0,RÈGLEMENT,310.75,378.094,55.83840000000009,55.83840000000009,66.87840000000006,True,1
,1,612.12,1008.12,0,0,0,1314-2023-DEM,380.83,459.176,55.83840000000009,55.83840000000009,66.87840000000006,True,1
,1,612.12,1008.12,0,0,0,Régissant,281.93,330.8372,81.17840000000001,81.17840000000001,92.21839999999997,True,1
,1,612.12,1008.12,0,0,0,la,333.99464,342.52855999999997,81.17840000000001,81.17840000000001,92.21839999999997,True,1
,1,612.12,1008.12,0,0,0,démolition,345.59767999999997,395.68616,81.17840000000001,81.17840000000001,92.21839999999997,True,1
,1,612.12,1008.12,0,0,0,des,398.65592,416.41927999999996,81.17840000000001,81.17840000000001,92.21839999999997,True,1
,1,612.12,1008.12,0,0,0,constructions,419.53256,484.30424,81.17840000000001,81.17840000000001,92.21839999999997,True,1
,1,612.12,1008.12,0,0,0,Séance,120.62,157.97935999999999,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,ordinaire,161.4128,204.25904,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,du,207.71456,219.99104,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,conseil,223.30303999999998,257.43872,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,"municipal,",260.85007999999993,310.34239999999994,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,tenue,313.85311999999993,341.48623999999995,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,publiquement,344.95,410.90296,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,le,414.40263999999996,422.93656,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,20,426.43,438.70648,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,mars,442.06,466.5136,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,"2023,",470.02,497.44912,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,dans,500.98,524.8633600000001,119.09840000000008,119.09840000000008,130.13840000000005,True,1
,1,612.12,1008.12,0,0,0,la,120.62,129.15392,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,salle,134.04464000000002,156.62144,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,du,161.51216,173.78864,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,conseil,178.66832,212.92544,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,municipal,217.78304,264.15103999999997,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,située,269.00864,298.4192,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,au,303.30992,315.58639999999997,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,"1386,",320.46608,348.01912,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,rue,352.87,368.7124,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,"Dumouchel,",373.60312,432.37912,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,lieu,437.22568,454.29352,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,ordinaire,459.1732,501.898,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,des,506.78872,524.5520799999999,131.8184,131.8184,142.85839999999996,True,1
,1,612.12,1008.12,0,0,0,"séances,",120.62,164.72912,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,à,170.28224,176.42048,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,laquelle,181.78592,219.59792,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,sont,225.08479999999997,245.91727999999998,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,présents,251.47039999999998,293.70944,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,les,299.09695999999997,313.1508799999999,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,membres,318.63775999999996,364.4537599999999,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,du,369.8412799999999,382.1177599999999,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,conseil,387.5935999999999,421.8507199999999,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,suivants,427.3044799999999,467.7439999999998,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,formant,473.1315199999998,510.3804799999998,144.41840000000002,144.41840000000002,155.45839999999998,True,1
,1,612.12,1008.12,0,0,0,le,515.9335999999997,524.4675199999997,144.41840000000002,144.41840000000002,155.45839999999998,True,1
