tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,316.03,402.39004,81.20839999999998,81.20839999999998,95.24839999999995,True,1
,1,603.84,995.16,0,0,0,1304,405.94,436.42672,81.20839999999998,81.20839999999998,95.24839999999995,True,1
,1,603.84,995.16,0,0,0,décrétant,232.37,278.27432,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,un,282.86696,295.14344,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,emprunt,299.53736,339.7892,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,de,344.47,356.60296,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,2,361.15,367.28824,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,100,370.39,388.7716,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,000,393.17656,411.55816,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,$,416.14,422.27824,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,pour,426.7,448.6144,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,la,453.19599999999997,461.72992,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,réalisation,466.14592,516.20128,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,de,232.37,244.64648,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,travaux,248.68712,284.78792,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,de,288.91,301.18648,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,réfection,305.22712,347.34472,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,de,351.26392,363.5404,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,la,367.58104000000003,376.11496,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,rue,380.16664000000003,396.15256,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,"Saint-Georges,",400.1932,474.15568,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,incluant,478.3,516.18928,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,le,232.37,240.90392,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,coût,247.11944,267.95192,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,des,274.22264,291.986,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,"travaux,",298.09112,337.26104,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,les,343.63,357.5404,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,honoraires,363.76696,415.85367999999994,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,"professionnels,",422.06919999999997,496.02912,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,les,502.32,516.37392,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,frais,232.37,253.2356,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,"inhérents,",258.50168,306.73912,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,les,312.07,326.12392,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,taxes,331.24648,357.52167999999995,147.41840000000002,147.41840000000002,158.45839999999998,True,1
