tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,COMPILATION,248.69,318.48968,193.27160000000003,193.27160000000003,203.23159999999996,True,1
,1,612,1008,0,0,0,ADMINISTRATIVE,321.48764,406.32692,193.27160000000003,193.27160000000003,203.23159999999996,True,1
,1,612,1008,0,0,0,Mise,86.664,107.66964,239.47160000000008,239.47160000000008,249.4316,True,1
,1,612,1008,0,0,0,en,110.43852,121.58376000000001,239.47160000000008,239.47160000000008,249.4316,True,1
,1,612,1008,0,0,0,garde,124.35264000000001,149.89007999999998,239.47160000000008,239.47160000000008,249.4316,True,1
,1,612,1008,0,0,0,Le,86.664,97.73952000000001,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,lecteur,100.56816,130.39836,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,est,133.31664,146.6232,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,par,149.39208000000002,163.854,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,les,166.62288,179.43144,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,présentes,182.23020000000002,226.06416000000004,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,avisé,228.88284000000004,252.1494,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,que,255.00792,271.69091999999995,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,toute,274.4598,296.64071999999993,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,erreur,299.4892799999999,326.0625599999999,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,ou,328.9609199999999,340.03643999999986,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,omission,342.76547999999985,382.2469199999998,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,qui,385.0755599999998,398.3223599999998,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,pourrait,401.1509999999998,434.9751599999998,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,être,437.8436399999998,455.11427999999984,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,relevée,457.88315999999986,490.63163999999983,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,dans,493.46027999999984,515.0137199999998,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,le,517.9120799999998,525.7207199999999,262.39160000000004,262.39160000000004,272.35159999999996,True,1
,1,612,1008,0,0,0,texte,86.664,108.27720000000001,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,ci-après,115.55796000000001,151.04,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,n'a,158.38052,171.3584,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,pas,178.64912,194.66479999999999,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,pour,202.02524,222.00500000000002,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,effet,229.34552000000002,248.90696000000003,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,de,256.18772,267.26324,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,diminuer,274.53404,312.77048,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,le,320.111,327.81007999999997,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,caractère,335.10079999999994,376.7236399999999,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,exécutoire,384.03427999999985,429.9797599999998,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,des,437.27047999999985,453.5052799999998,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,règlements,460.86571999999984,510.2274799999998,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,et,517.5779599999998,525.8845999999999,273.9416,273.9416,283.9015999999999,True,1
,1,612,1008,0,0,0,"amendements,",86.664,152.86812,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,tels,157.05132,172.52131999999997,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,que,176.76427999999999,193.33772,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,sanctionnés,197.51096,250.79696,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,dans,255.03992000000002,276.70292000000006,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,leur,280.92596000000003,297.56912000000005,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,version,301.7822,334.0525999999999,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,originale,338.22583999999995,375.9045199999999,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,disponible,380.19727999999986,425.1666799999998,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,au,429.33991999999984,440.4154399999998,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,Service,444.6882799999998,477.9347599999998,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,du,482.10799999999983,493.2731599999998,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,greffe.,497.4463999999998,525.8921599999998,285.4616000000001,285.4616000000001,295.4216,True,1
,1,612,1008,0,0,0,Pour,86.664,107.61984000000001,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,vérifier,111.23532,141.19500000000002,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,les,144.81048,157.48956,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,dispositions,161.10504000000003,213.30540000000005,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,"applicables,",216.94080000000008,269.5794,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,le,273.41,281.10908,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,lecteur,284.68472,314.62448000000006,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,pourra,318.23996,347.15384,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,consulter,350.83,391.22776,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,le,394.83328,402.64191999999997,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,texte,406.21756,427.83076,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,officiel,431.39644,459.75255999999996,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,au,463.26843999999994,474.34396,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,Service,477.88972,511.2457599999999,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,du,514.8213999999999,525.9865599999999,296.98160000000007,296.98160000000007,306.9416,True,1
,1,612,1008,0,0,0,greffe,86.664,112.34088000000001,308.50160000000005,308.50160000000005,318.4616,True,1
,1,612,1008,0,0,0,de,115.10976,126.14544000000001,308.50160000000005,308.50160000000005,318.4616,True,1
,1,612,1008,0,0,0,la,128.91432,136.58352,308.50160000000005,308.50160000000005,318.4616,True,1
,1,612,1008,0,0,0,ville,139.43208,156.59316,308.50160000000005,308.50160000000005,318.4616,True,1
,1,612,1008,0,0,0,de,159.38,170.54515999999998,308.50160000000005,308.50160000000005,318.4616,True,1
,1,612,1008,0,0,0,Sainte-Adèle.,173.31404,233.33888,308.50160000000005,308.50160000000005,318.4616,True,1
,1,612,1008,0,0,0,La,86.664,97.73952000000001,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,mention,102.2514,137.78868,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,«,142.41012,147.94788,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,Modifié,152.66,184.82083999999998,331.28167999999994,331.28167999999994,341.24168,True,1
,1,612,1008,0,0,0,par,189.47216,203.82451999999998,331.28167999999994,331.28167999999994,341.24168,True,1
,1,612,1008,0,0,0,:,208.52564,211.29452,331.28167999999994,331.28167999999994,341.24168,True,1
,1,612,1008,0,0,0,»,215.93,221.46776,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,à,225.99956,231.53732,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,la,236.17868,243.87776,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,fin,248.51912000000002,259.14907999999997,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,d’un,263.68088,282.63475999999997,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,article,287.16656,313.80956,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,indique,318.46088,350.63168,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,que,355.26308,371.83652,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,ce,376.36832000000004,386.93588000000005,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,dernier,391.57724,422.61260000000004,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,a,427.30376,432.84152,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,fait,437.37332,450.7994,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,l’objet,455.34115999999995,481.38656,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,d'une,486.0279199999999,510.15103999999985,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,ou,514.6828399999999,525.8479999999998,331.3016,331.3016,341.26159999999993,True,1
,1,612,1008,0,0,0,plusieurs,86.664,126.52392000000002,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,modifications,129.3426,187.5588,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,dont,190.47708,209.90904000000003,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,la,212.67792000000003,220.35708,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,référence,223.12596000000002,265.3364399999999,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,est,268.1949599999999,281.50151999999997,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,alors,284.27039999999994,305.8736399999999,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,précisée.,308.7221999999999,349.2593999999998,342.9416,342.9416,352.9015999999999,True,1
,1,612,1008,0,0,0,RÈGLEMENT,86.664,149.35224,388.7816,388.7816,398.74159999999995,True,1
,1,612,1008,0,0,0,SQ-790-1993,152.3,212.21084,388.7816,388.7816,398.74159999999995,True,1
,1,612,1008,1,0,0,CONCERNANT,108.02,178.87543999999997,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,LA,181.85,195.3956,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,FORMATION,197.9354,258.36272,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,DU,261.24116000000004,275.6234,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,COMITÉ,278.39228,317.41556,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,CONSULTATIF,320.14459999999997,390.63151999999997,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,EN,393.4004,407.23483999999996,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,1,0,0,URBANISME,410.00371999999993,470.69996000000003,411.8216000000001,411.8216000000001,421.7816,True,1
,1,612,1008,0,0,0,Règlement,86.664,135.00984,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,"790-1993,",137.78,182.81888,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,adopté,185.57,216.16711999999998,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,le,218.89616,226.70479999999998,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,15,229.49,240.56552,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,février,243.40412,271.06304000000006,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,"1993,",273.9614,298.99888000000004,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,entré,301.76776,324.53632,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,en,327.43,338.50552,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,vigueur,341.33416,373.93324,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,le,376.83160000000004,384.53068,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,3,387.46,392.99775999999997,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,mars,395.76664,418.087,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,1993,420.93556,443.04676,457.9216,457.9216,467.88159999999993,True,1
,1,612,1008,0,0,0,Amendé,86.664,123.88452000000001,480.9616000000001,480.9616000000001,490.9216,True,1
,1,612,1008,0,0,0,par,126.61356,140.96592,480.9616000000001,480.9616000000001,490.9216,True,1
,1,612,1008,0,0,0,les,143.86428,156.54336,480.9616000000001,480.9616000000001,490.9216,True,1
,1,612,1008,0,0,0,règlements,159.34212000000002,208.80348000000004,480.9616000000001,480.9616000000001,490.9216,True,1
,1,612,1008,0,0,0,suivants,211.61220000000003,248.12555999999998,480.9616000000001,480.9616000000001,490.9216,True,1
,1,612,1008,0,0,0,:,250.93428,253.70316,480.9616000000001,480.9616000000001,490.9216,True,1
,1,612,1008,0,0,0,,90.024,94.6056,504.78135999999995,504.78135999999995,514.74136,True,1
,1,612,1008,0,0,0,"790A-1996,",108.02,159.62888,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,adopté,162.39776,192.97496,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,le,195.81356000000002,203.51264,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,5,206.45,211.98775999999998,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,février,214.75664,242.53231999999997,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,"1996,",245.3012,270.29888,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,entré,273.1574,295.83631999999994,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,en,298.68487999999996,309.76039999999995,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,vigueur,312.58903999999995,345.29768,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,le,348.06656,355.89511999999996,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,15,358.75,369.80772,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,février,372.55,400.32844000000006,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,1996,403.18,425.38084,504.72159999999997,504.72159999999997,514.6816,True,1
,1,612,1008,0,0,0,;,428.26,431.02888,504.72159999999997,504.72159999999997,514.6816,True,1
