sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,533,559,533,4,P,Document;H1;Span
I-Titre,I-Titre,sur,1,612,1008,BCDFEE+Lato,#555,208,243,533,559,533,4,P,Document;H1;Span
I-Titre,I-Titre,les,1,612,1008,BCDFEE+Lato,#555,248,278,533,559,533,4,P,Document;H1;Span
I-Titre,I-Titre,permis,1,612,1008,BCDFEE+Lato,#555,283,357,533,559,533,4,P,Document;H1;Span
I-Titre,I-Titre,et,1,612,1008,BCDFEE+Lato,#555,363,386,533,559,533,4,P,Document;H1;Span
I-Titre,I-Titre,certificats,1,612,1008,BCDFEE+Lato,#555,391,498,533,559,533,4,P,Document;H1;Span
I-Titre,B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,562,574,562,6,P,Document;H1
I-Titre,I-Titre,1314-2021-PC,1,612,1008,BCDEEE+Lato,#555,128,202,562,574,562,6,P,Document;H1
O,B-Tete,Règlement,2,612,1008,BCDGEE+ArialNarrow,#777,85,117,36,45,1045,,Artifact,
O,I-Tete,sur,2,612,1008,BCDGEE+ArialNarrow,#777,119,128,36,45,1045,,Artifact,
O,I-Tete,les,2,612,1008,BCDGEE+ArialNarrow,#777,130,138,36,45,1045,,Artifact,
O,I-Tete,permis,2,612,1008,BCDGEE+ArialNarrow,#777,140,160,36,45,1045,,Artifact,
O,I-Tete,et,2,612,1008,BCDGEE+ArialNarrow,#777,161,167,36,45,1045,,Artifact,
O,I-Tete,certificats,2,612,1008,BCDGEE+ArialNarrow,#777,169,196,36,45,1045,,Artifact,
O,I-Tete,numéro,2,612,1008,BCDGEE+ArialNarrow,#777,198,221,36,45,1045,,Artifact,
O,I-Tete,1314-2021-PC,2,612,1008,BCDGEE+ArialNarrow,#777,222,265,36,45,1045,,Artifact,
O,I-Tete,Table,2,612,1008,BCDGEE+ArialNarrow,#777,389,406,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,407,418,36,45,1045,,Artifact,
O,I-Tete,"matières,",2,612,1008,BCDGEE+ArialNarrow,#777,420,447,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,449,459,36,45,1045,,Artifact,
O,I-Tete,figures,2,612,1008,BCDGEE+ArialNarrow,#777,461,481,36,45,1045,,Artifact,
O,I-Tete,et,2,612,1008,BCDGEE+ArialNarrow,#777,483,488,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,490,500,36,45,1045,,Artifact,
O,I-Tete,tableaux,2,612,1008,BCDGEE+ArialNarrow,#777,502,527,36,45,1045,,Artifact,
O,B-Titre,Table,2,612,1008,BCDFEE+Lato,#555,85,143,77,103,1085,0,P,Document;H1;Span
O,I-Titre,des,2,612,1008,BCDFEE+Lato,#555,148,187,77,103,1085,0,P,Document;H1;Span
O,I-Titre,matières,2,612,1008,BCDFEE+Lato,#555,193,287,77,103,1085,0,P,Document;H1;Span
O,B-TOC,CHAPITRE,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,135,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,138,144,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,230,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,"DÉCLARATOIRES,",2,612,1008,BCDHEE+ArialNarrow-Bold,#222,233,320,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,323,414,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ET,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,417,429,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ADMINISTRATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,432,522,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,..................................................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,519,159,171,1167,4,P,Document;TOC;TOCI;Span
O,I-TOC,8,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,522,527,159,171,1167,5,Span,Document;TOC;TOCI;Link
O,I-TOC,SECTION,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,121,178,188,1186,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,124,128,178,188,1186,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,218,178,188,1186,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DÉCLARATOIRES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,220,291,178,188,1186,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,.....................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,292,522,178,188,1186,8,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,523,527,178,188,1186,9,Span,Document;TOC;TOCI;Link
O,I-TOC,1.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,196,206,1204,11,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Titre,2,612,1008,BCDGEE+ArialNarrow,#222,113,130,196,206,1204,11,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,du,2,612,1008,BCDGEE+ArialNarrow,#222,132,141,196,206,1204,11,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,143,180,196,206,1204,11,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,......................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,180,522,196,206,1204,12,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,196,206,1204,13,Span,Document;TOC;TOCI;Link
O,I-TOC,2.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,213,223,1221,15,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Abrogation,2,612,1008,BCDGEE+ArialNarrow,#222,113,153,213,223,1221,15,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,.................................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,155,522,213,223,1221,16,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,213,223,1221,17,Span,Document;TOC;TOCI;Link
O,I-TOC,3.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Portée,2,612,1008,BCDGEE+ArialNarrow,#222,113,137,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,du,2,612,1008,BCDGEE+ArialNarrow,#222,140,149,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,151,188,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,et,2,612,1008,BCDGEE+ArialNarrow,#222,190,197,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,territoire,2,612,1008,BCDGEE+ArialNarrow,#222,199,229,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,assujetti,2,612,1008,BCDGEE+ArialNarrow,#222,231,261,230,240,1239,19,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,..................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,262,522,230,240,1239,20,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,230,240,1239,21,Span,Document;TOC;TOCI;Link
O,I-TOC,4.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,248,258,1256,23,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Domaine,2,612,1008,BCDJEE+ArialNarrow,#222,113,146,248,258,1256,23,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,d’application,2,612,1008,BCDJEE+ArialNarrow,#222,148,194,248,258,1256,23,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,...............................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,196,522,248,258,1256,24,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,248,258,1256,25,Span,Document;TOC;TOCI;Link
O,I-TOC,5.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Dispositions,2,612,1008,BCDJEE+ArialNarrow,#222,113,157,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,des,2,612,1008,BCDJEE+ArialNarrow,#222,160,173,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,lois,2,612,1008,BCDJEE+ArialNarrow,#222,175,188,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,et,2,612,1008,BCDJEE+ArialNarrow,#222,190,197,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,d’autres,2,612,1008,BCDJEE+ArialNarrow,#222,199,228,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,règlements,2,612,1008,BCDJEE+ArialNarrow,#222,230,271,265,275,1273,27,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,..............................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,271,522,265,275,1273,28,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,265,275,1273,29,Span,Document;TOC;TOCI;Link
O,I-TOC,6.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,283,293,1291,31,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Documents,2,612,1008,BCDGEE+ArialNarrow,#222,113,155,283,293,1291,31,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,de,2,612,1008,BCDGEE+ArialNarrow,#222,157,166,283,293,1291,31,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,renvoi,2,612,1008,BCDGEE+ArialNarrow,#222,168,191,283,293,1291,31,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,.................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,192,522,283,293,1291,32,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,283,293,1291,33,Span,Document;TOC;TOCI;Link
O,I-TOC,7.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,300,310,1308,35,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Entrée,2,612,1008,BCDGEE+ArialNarrow,#222,113,137,300,310,1308,35,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,en,2,612,1008,BCDGEE+ArialNarrow,#222,140,149,300,310,1308,35,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,vigueur,2,612,1008,BCDGEE+ArialNarrow,#222,151,178,300,310,1308,35,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,......................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,180,522,300,310,1308,36,P,Document;TOC;TOCI;Span
O,I-TOC,9,2,612,1008,BCDGEE+ArialNarrow,#222,523,527,300,310,1308,37,Span,Document;TOC;TOCI;Link
O,I-TOC,SECTION,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,121,317,327,1326,39,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,2,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,124,128,317,327,1326,39,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,218,317,327,1326,39,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,220,296,317,327,1326,39,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,299,518,317,327,1326,39,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,10,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,518,527,317,327,1326,39,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,8.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,335,345,1343,41,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Ville,2,612,1008,BCDGEE+ArialNarrow,#222,113,129,335,345,1343,41,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,..........................................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,130,518,335,345,1343,41,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,10,2,612,1008,BCDGEE+ArialNarrow,#222,518,527,335,345,1343,41,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,9.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,352,362,1360,43,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Structure,2,612,1008,BCDGEE+ArialNarrow,#222,113,147,352,362,1360,43,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,du,2,612,1008,BCDGEE+ArialNarrow,#222,149,158,352,362,1360,43,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,160,197,352,362,1360,43,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,............................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,198,518,352,362,1360,43,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,10,2,612,1008,BCDGEE+ArialNarrow,#222,518,527,352,362,1360,43,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,10.,2,612,1008,BCDGEE+ArialNarrow,#222,85,96,370,380,1378,45,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,Interprétation,2,612,1008,BCDGEE+ArialNarrow,#222,113,162,370,380,1378,45,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,du,2,612,1008,BCDGEE+ArialNarrow,#222,164,173,370,380,1378,45,Span,Document;TOC;TOCI;Link;Span
