sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,1,612,792,BCDEEE+ArialNarrow,#777,97,128,36,45,36,,Artifact,
I-Titre,I-Tete,relatif,1,612,792,BCDEEE+ArialNarrow,#777,130,146,36,45,36,,Artifact,
I-Titre,I-Tete,aux,1,612,792,BCDEEE+ArialNarrow,#777,148,159,36,45,36,,Artifact,
I-Titre,I-Tete,PIIA,1,612,792,BCDEEE+ArialNarrow,#777,160,173,36,45,36,,Artifact,
I-Titre,I-Tete,numéro,1,612,792,BCDEEE+ArialNarrow,#777,175,197,36,45,36,,Artifact,
I-Titre,I-Tete,1314-2021-PIIA,1,612,792,BCDEEE+ArialNarrow,#777,199,245,36,45,36,,Artifact,
O,I-Tete,Entrée,1,612,792,BCDEEE+ArialNarrow,#777,505,525,36,45,36,,Artifact,
O,I-Tete,en,1,612,792,BCDEEE+ArialNarrow,#777,527,534,36,45,36,,Artifact,
O,I-Tete,vigueur,1,612,792,BCDEEE+ArialNarrow,#777,536,557,36,45,36,,Artifact,
O,B-Titre,Ville,1,612,792,BCDIEE+Cambria-Bold,#000,239,269,320,334,320,3,Span,Document;Table;TR;TH;P
O,I-Titre,de,1,612,792,BCDIEE+Cambria-Bold,#000,272,288,320,334,320,3,Span,Document;Table;TR;TH;P
O,I-Titre,Sainte-Adèle,1,612,792,BCDIEE+Cambria-Bold,#000,291,372,320,334,320,3,Span,Document;Table;TR;TH;P
B-Titre,B-Titre,Règlement,1,612,792,BCDJEE+Calibri-Bold,#000,145,306,361,397,361,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,relatif,1,612,792,BCDJEE+Calibri-Bold,#000,314,405,361,397,361,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,aux,1,612,792,BCDJEE+Calibri-Bold,#000,413,466,361,397,361,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,plans,1,612,792,BCDKEE+Calibri-Bold,#000,131,211,408,444,408,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,d’implantation,1,612,792,BCDKEE+Calibri-Bold,#000,219,441,408,444,408,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,et,1,612,792,BCDKEE+Calibri-Bold,#000,449,480,408,444,408,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,d’intégration,1,612,792,BCDKEE+Calibri-Bold,#000,208,403,456,492,456,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,architecturale,1,612,792,BCDJEE+Calibri-Bold,#000,201,410,503,539,503,5,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,numéro,1,612,792,BCDJEE+Calibri-Bold,#000,187,266,556,580,556,6,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,1314-2021-PIIA,1,612,792,BCDJEE+Calibri-Bold,#000,272,424,556,580,556,6,Span,Document;Table;TR;TH;P
O,B-Titre,Codification,1,612,792,BCDJEE+Calibri-Bold,#000,153,223,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,administrative,1,612,792,BCDJEE+Calibri-Bold,#000,226,310,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,:,1,612,792,BCDJEE+Calibri-Bold,#000,314,318,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,à,1,612,792,BCDJEE+Calibri-Bold,#000,324,331,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,jour,1,612,792,BCDJEE+Calibri-Bold,#000,334,357,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,–,1,612,792,BCDKEE+Calibri-Bold,#000,361,368,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,22,1,612,792,BCDJEE+Calibri-Bold,#000,371,385,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,février,1,612,792,BCDJEE+Calibri-Bold,#000,388,427,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Titre,2023,1,612,792,BCDJEE+Calibri-Bold,#000,430,458,616,630,616,8,Span,Document;Table;TR;TH;P
O,B-Pied,1,1,612,792,BCDEEE+ArialNarrow,#777,555,558,749,757,749,,Artifact,
O,B-Tete,Règlement,2,612,792,BCDEEE+ArialNarrow,#777,97,128,36,45,828,,Artifact,
O,I-Tete,relatif,2,612,792,BCDEEE+ArialNarrow,#777,130,146,36,45,828,,Artifact,
O,I-Tete,aux,2,612,792,BCDEEE+ArialNarrow,#777,148,159,36,45,828,,Artifact,
O,I-Tete,PIIA,2,612,792,BCDEEE+ArialNarrow,#777,160,173,36,45,828,,Artifact,
O,I-Tete,numéro,2,612,792,BCDEEE+ArialNarrow,#777,175,197,36,45,828,,Artifact,
O,I-Tete,1314-2021-PIIA,2,612,792,BCDEEE+ArialNarrow,#777,199,245,36,45,828,,Artifact,
O,I-Tete,Entrée,2,612,792,BCDEEE+ArialNarrow,#777,505,525,36,45,828,,Artifact,
O,I-Tete,en,2,612,792,BCDEEE+ArialNarrow,#777,527,534,36,45,828,,Artifact,
O,I-Tete,vigueur,2,612,792,BCDEEE+ArialNarrow,#777,536,557,36,45,828,,Artifact,
O,B-Alinea,PROVINCE,2,612,792,ArialMT,#444,97,154,111,122,903,1,Span,Document;H1
O,I-Alinea,DE,2,612,792,ArialMT,#444,157,172,111,122,903,1,Span,Document;H1
O,I-Alinea,QUEBEC,2,612,792,ArialMT,#444,175,222,111,122,903,1,Span,Document;H1
O,I-Alinea,REGLEMENT,2,612,792,ArialMT,#444,338,406,111,122,903,1,Span,Document;H1
O,I-Alinea,NUMERO,2,612,792,ArialMT,#444,409,458,111,122,903,1,Span,Document;H1
O,I-Alinea,1314-2021-PIIA,2,612,792,ArialMT,#444,461,538,111,122,903,1,Span,Document;H1
O,B-Titre,VILLE,2,612,792,ArialMT,#444,97,127,129,140,921,2,Span,Document;H1
O,I-Titre,DE,2,612,792,ArialMT,#444,130,145,129,140,921,2,Span,Document;H1
O,I-Titre,Sainte-Adèle,2,612,792,ArialMT,#444,148,211,129,140,921,2,Span,Document;H1
O,I-Titre,REGLEMENT,2,612,792,ArialMT,#444,338,406,129,140,921,2,Span,Document;H1
O,I-Titre,RELATIF,2,612,792,ArialMT,#444,409,454,129,140,921,2,Span,Document;H1
O,I-Titre,AUX,2,612,792,ArialMT,#444,457,480,129,140,921,2,Span,Document;H1
O,I-Titre,PLANS,2,612,792,ArialMT,#444,483,519,129,140,921,2,Span,Document;H1
O,I-Titre,D’IMPLANTATION,2,612,792,ArialMT,#444,337,429,142,153,934,2,Span,Document;H1
O,I-Titre,ET,2,612,792,ArialMT,#444,432,446,142,153,934,2,Span,Document;H1
O,I-Titre,D’INTÉGRATION,2,612,792,ArialMT,#444,449,535,142,153,934,2,Span,Document;H1
O,I-Titre,ARCHITECTURALE,2,612,792,ArialMT,#444,337,437,155,166,947,2,Span,Document;H1
O,B-Alinea,Avis,2,612,792,ArialMT,#444,97,117,209,220,1001,4,Span,Document;H1
O,I-Alinea,de,2,612,792,ArialMT,#444,120,133,209,220,1001,4,Span,Document;H1
O,I-Alinea,motion,2,612,792,ArialMT,#444,136,169,209,220,1001,4,Span,Document;H1
O,I-Alinea,:,2,612,792,ArialMT,#444,172,175,209,220,1001,4,Span,Document;H1
O,I-Alinea,17,2,612,792,ArialMT,#444,231,243,209,220,1001,4,Span,Document;H1
O,I-Alinea,mai,2,612,792,ArialMT,#444,247,264,209,220,1001,4,Span,Document;H1
O,I-Alinea,2021,2,612,792,ArialMT,#444,267,292,209,220,1001,4,Span,Document;H1
O,B-Alinea,Adoption,2,612,792,ArialMT,#444,97,140,234,245,1026,5,Span,Document;H1
O,I-Alinea,:,2,612,792,ArialMT,#444,143,146,234,245,1026,5,Span,Document;H1
O,I-Alinea,19,2,612,792,ArialMT,#444,231,243,234,245,1026,5,Span,Document;H1
O,I-Alinea,juillet,2,612,792,ArialMT,#444,247,272,234,245,1026,5,Span,Document;H1
O,I-Alinea,2021,2,612,792,ArialMT,#444,275,299,234,245,1026,5,Span,Document;H1
O,B-Titre,Entrée,2,612,792,ArialMT,#444,97,129,258,269,1050,6,Span,Document;H1
O,I-Titre,en,2,612,792,ArialMT,#444,132,144,258,269,1050,6,Span,Document;H1
O,I-Titre,vigueur,2,612,792,ArialMT,#444,147,183,258,269,1050,6,Span,Document;H1
O,I-Titre,:,2,612,792,ArialMT,#444,186,190,258,269,1050,6,Span,Document;H1
O,I-Titre,23,2,612,792,ArialMT,#444,231,243,258,269,1050,6,Span,Document;H1
O,I-Titre,septembre,2,612,792,ArialMT,#444,247,299,258,269,1050,6,Span,Document;H1
O,I-Titre,2021,2,612,792,ArialMT,#444,302,326,258,269,1050,6,Span,Document;H1
O,B-Titre,Numéro,2,612,792,Arial-BoldMT,#444,178,219,311,322,1103,8,Span,Document;Table;TR;TH;P
O,I-Titre,du,2,612,792,Arial-BoldMT,#444,222,236,311,322,1103,8,Span,Document;Table;TR;TH;P
O,I-Titre,règlement,2,612,792,Arial-BoldMT,#444,239,291,311,322,1103,8,Span,Document;Table;TR;TH;P
O,I-Titre,Date,2,612,792,Arial-BoldMT,#444,391,415,311,322,1103,9,Span,Document;Table;TR;TH;P
O,I-Titre,d’entrée,2,612,792,Arial-BoldMT,#444,418,461,311,322,1103,9,Span,Document;Table;TR;TH;P
O,I-Titre,en,2,612,792,Arial-BoldMT,#444,464,477,311,322,1103,9,Span,Document;Table;TR;TH;P
O,I-Titre,vigueur,2,612,792,Arial-BoldMT,#444,480,520,311,322,1103,9,Span,Document;Table;TR;TH;P
O,I-Titre,1314-2021-PIIA-1,2,612,792,ArialMT,#444,191,278,351,362,1143,10,Span,Document;Table;TR;TH;P
O,I-Titre,17,2,612,792,ArialMT,#444,419,431,351,362,1143,11,Span,Document;Table;TR;TD;P
O,I-Titre,février,2,612,792,ArialMT,#444,434,465,351,362,1143,11,Span,Document;Table;TR;TD;P
O,I-Titre,2023,2,612,792,ArialMT,#444,468,492,351,362,1143,11,Span,Document;Table;TR;TD;P
O,B-Pied,2,2,612,792,BCDEEE+ArialNarrow,#777,555,558,749,757,1541,,Artifact,
O,B-Tete,Règlement,3,612,792,BCDEEE+ArialNarrow,#777,54,86,36,45,1620,,Artifact,
O,I-Tete,relatif,3,612,792,BCDEEE+ArialNarrow,#777,87,104,36,45,1620,,Artifact,
O,I-Tete,aux,3,612,792,BCDEEE+ArialNarrow,#777,105,116,36,45,1620,,Artifact,
O,I-Tete,PIIA,3,612,792,BCDEEE+ArialNarrow,#777,118,130,36,45,1620,,Artifact,
O,I-Tete,numéro,3,612,792,BCDEEE+ArialNarrow,#777,132,154,36,45,1620,,Artifact,
O,I-Tete,1314-2021-PIIA,3,612,792,BCDEEE+ArialNarrow,#777,156,202,36,45,1620,,Artifact,
O,I-Tete,Table,3,612,792,BCDEEE+ArialNarrow,#777,419,436,36,45,1620,,Artifact,
O,I-Tete,des,3,612,792,BCDEEE+ArialNarrow,#777,438,448,36,45,1620,,Artifact,
O,I-Tete,"matières,",3,612,792,BCDEEE+ArialNarrow,#777,450,477,36,45,1620,,Artifact,
O,I-Tete,des,3,612,792,BCDEEE+ArialNarrow,#777,479,489,36,45,1620,,Artifact,
O,I-Tete,figures,3,612,792,BCDEEE+ArialNarrow,#777,491,511,36,45,1620,,Artifact,
O,I-Tete,et,3,612,792,BCDEEE+ArialNarrow,#777,513,518,36,45,1620,,Artifact,
