tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0.349,0.349,0.349,Ville,246.89,282.00007999999997,710.23,710.23,730.27,True,1
,1,612,1008,0.349,0.349,0.349,de,286.469,307.01,710.23,710.23,730.27,True,1
,1,612,1008,0.349,0.349,0.349,Sainte-Adèle,311.53904,414.8032,710.23,710.23,730.27,True,1
,1,612,1008,0.349,0.349,0.349,Projet,248.45,311.64907999999997,744.25,744.25,770.29,True,1
,1,612,1008,0.349,0.349,0.349,de,317.45,343.87376,744.25,744.25,770.29,True,1
,1,612,1008,0.349,0.349,0.349,Plan,349.75,394.4086,744.25,744.25,770.29,True,1
,1,612,1008,0.349,0.349,0.349,d’urbanisme,400.29364,531.0925599999999,744.25,744.25,770.29,True,1
,1,612,1008,0.349,0.349,0.349,2021-2036,248.45,361.99228,772.81,772.81,798.85,True,1
,1,612,1008,0.349,0.349,0.349,Service,246.89,275.86364,811.51,811.51,821.47,True,1
,1,612,1008,0.349,0.349,0.349,de,278.05484,288.31364,811.51,811.51,821.47,True,1
,1,612,1008,0.349,0.349,0.349,l’urbanisme,290.52476,338.55188,811.51,811.51,821.47,True,1
,1,612,1008,0.349,0.349,0.349,et,340.90244,349.15927999999997,811.51,811.51,821.47,True,1
,1,612,1008,0.349,0.349,0.349,de,351.45008,361.67900000000003,811.51,811.51,821.47,True,1
,1,612,1008,0.349,0.349,0.349,l’environnement,363.89012,431.3990000000001,811.51,811.51,821.47,True,1
,1,612,1008,0.349,0.349,0.349,Eric,246.89,261.78992,823.75,823.75,833.71,True,1
,1,612,1008,0.349,0.349,0.349,"Généreux,",264.04088,305.97248,823.75,823.75,833.71,True,1
,1,612,1008,0.349,0.349,0.349,urbaniste,308.25332000000003,346.90808000000004,823.75,823.75,833.71,True,1
,1,612,1008,0.349,0.349,0.349,Juillet,246.89,270.48524,835.87,835.87,845.83,True,1
,1,612,1008,0.349,0.349,0.349,2021,272.81,292.97972,835.87,835.87,845.83,True,1
,2,612,1008,0.349,0.349,0.349,Crédits,113.42,141.779,388.12700000000007,1396.127,397.12700000000007,True,1
,2,612,1008,0.349,0.349,0.349,Ville,113.42,126.79712,410.25248,1418.25248,417.21248,True,1
,2,612,1008,0.349,0.349,0.349,de,128.61368,136.26272,410.25248,1418.25248,417.21248,True,1
,2,612,1008,0.349,0.349,0.349,Sainte-Adèle,138.07928,177.43400000000003,410.25248,1418.25248,417.21248,True,1
,2,612,1008,0.349,0.349,0.349,Rédaction,113.42,144.26672,419.97248,1427.97248,426.93248000000006,True,1
,2,612,1008,0.349,0.349,0.349,:,146.06,147.8,419.97248,1427.97248,426.93248000000006,True,1
,2,612,1008,0.349,0.349,0.349,Eric,149.66,161.27072,419.97248,1427.97248,426.93248000000006,True,1
,2,612,1008,0.349,0.349,0.349,"Généreux,",163.07336,194.51864,419.97248,1427.97248,426.93248000000006,True,1
