sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,13,595,842,CIDFont+F1,#777,52,83,71,79,10174,,,
I-Titre,I-Tete,de,13,595,842,CIDFont+F1,#777,85,92,71,79,10174,,,
I-Titre,I-Tete,construction,13,595,842,CIDFont+F1,#777,94,128,71,79,10174,,,
I-Titre,I-Tete,1314-2021-C,13,595,842,CIDFont+F1,#777,130,168,71,79,10174,,,
O,I-Tete,Chapitre,13,595,842,CIDFont+F1,#777,239,264,71,79,10174,,,
O,I-Tete,2,13,595,842,CIDFont+F1,#777,265,269,71,79,10174,,,
O,I-Tete,–,13,595,842,CIDFont+F1,#777,270,274,71,79,10174,,,
O,I-Tete,Dispositions,13,595,842,CIDFont+F1,#777,276,310,71,79,10174,,,
O,I-Tete,applicables,13,595,842,CIDFont+F1,#777,312,344,71,79,10174,,,
O,I-Tete,aux,13,595,842,CIDFont+F1,#777,346,356,71,79,10174,,,
O,I-Tete,normes,13,595,842,CIDFont+F1,#777,358,379,71,79,10174,,,
O,I-Tete,de,13,595,842,CIDFont+F1,#777,381,388,71,79,10174,,,
O,I-Tete,"construction,",13,595,842,CIDFont+F1,#777,390,426,71,79,10174,,,
O,I-Tete,de,13,595,842,CIDFont+F1,#777,428,435,71,79,10174,,,
O,I-Tete,"résistance,",13,595,842,CIDFont+F1,#777,437,468,71,79,10174,,,
O,I-Tete,de,13,595,842,CIDFont+F1,#777,469,476,71,79,10174,,,
O,I-Tete,salubrité,13,595,842,CIDFont+F1,#777,478,502,71,79,10174,,,
O,I-Tete,et,13,595,842,CIDFont+F1,#777,504,509,71,79,10174,,,
O,I-Tete,de,13,595,842,CIDFont+F1,#777,511,518,71,79,10174,,,
O,I-Tete,sécurité,13,595,842,CIDFont+F1,#777,520,542,71,79,10174,,,
O,B-Section,SECTION,13,595,842,CIDFont+F8,#222,52,102,131,145,10234,,,
O,I-Section,1,13,595,842,CIDFont+F8,#222,105,112,131,145,10234,,,
O,I-Section,DISPOSITIONS,13,595,842,CIDFont+F8,#000,125,205,131,145,10234,,,
O,I-Section,GÉNÉRALES,13,595,842,CIDFont+F8,#000,208,277,131,145,10234,,,
O,B-Article,19.,13,595,842,CIDFont+F8,#222,52,63,170,179,10273,,,
O,I-Article,Conformité,13,595,842,CIDFont+F8,#000,80,123,170,179,10273,,,
O,I-Article,aux,13,595,842,CIDFont+F8,#000,125,139,170,179,10273,,,
O,I-Article,Codes,13,595,842,CIDFont+F8,#000,141,165,170,179,10273,,,
O,B-Alinea,Tout,13,595,842,CIDFont+F1,#000,52,68,187,196,10290,,,
O,I-Alinea,propriétaire,13,595,842,CIDFont+F1,#000,71,111,187,196,10290,,,
O,I-Alinea,et,13,595,842,CIDFont+F1,#000,113,120,187,196,10290,,,
O,I-Alinea,tout,13,595,842,CIDFont+F1,#000,122,135,187,196,10290,,,
O,I-Alinea,entrepreneur,13,595,842,CIDFont+F1,#000,137,183,187,196,10290,,,
O,I-Alinea,doivent,13,595,842,CIDFont+F1,#000,185,211,187,196,10290,,,
O,I-Alinea,obligatoirement,13,595,842,CIDFont+F1,#000,213,267,187,196,10290,,,
O,I-Alinea,respecter,13,595,842,CIDFont+F1,#000,269,303,187,196,10290,,,
O,I-Alinea,les,13,595,842,CIDFont+F1,#000,305,315,187,196,10290,,,
O,I-Alinea,normes,13,595,842,CIDFont+F1,#000,317,344,187,196,10290,,,
O,I-Alinea,relatives,13,595,842,CIDFont+F1,#000,346,376,187,196,10290,,,
O,I-Alinea,Code,13,595,842,CIDFont+F1,#000,378,397,187,196,10290,,,
O,I-Alinea,nationales,13,595,842,CIDFont+F1,#000,399,435,187,196,10290,,,
O,I-Alinea,du,13,595,842,CIDFont+F1,#000,437,446,187,196,10290,,,
O,I-Alinea,bâtiment,13,595,842,CIDFont+F1,#000,448,479,187,196,10290,,,
O,I-Alinea,du,13,595,842,CIDFont+F1,#000,481,490,187,196,10290,,,
O,I-Alinea,Canada,13,595,842,CIDFont+F1,#000,492,520,187,196,10290,,,
O,I-Alinea,et,13,595,842,CIDFont+F1,#000,522,529,187,196,10290,,,
O,I-Alinea,ses,13,595,842,CIDFont+F1,#000,531,543,187,196,10290,,,
O,I-Alinea,amendements,13,595,842,CIDFont+F1,#000,52,103,198,207,10301,,,
O,I-Alinea,en,13,595,842,CIDFont+F1,#000,105,114,198,207,10301,,,
O,I-Alinea,vigueur,13,595,842,CIDFont+F1,#000,116,142,198,207,10301,,,
O,I-Alinea,au,13,595,842,CIDFont+F1,#000,145,154,198,207,10301,,,
O,I-Alinea,Québec.,13,595,842,CIDFont+F1,#000,156,186,198,207,10301,,,
O,I-Alinea,Tout,13,595,842,CIDFont+F1,#000,188,204,198,207,10301,,,
O,I-Alinea,bâtiment,13,595,842,CIDFont+F1,#000,207,237,198,207,10301,,,
O,I-Alinea,projeté,13,595,842,CIDFont+F1,#000,239,264,198,207,10301,,,
O,I-Alinea,doit,13,595,842,CIDFont+F1,#000,266,279,198,207,10301,,,
O,I-Alinea,être,13,595,842,CIDFont+F1,#000,281,295,198,207,10301,,,
O,I-Alinea,conforme,13,595,842,CIDFont+F1,#000,297,330,198,207,10301,,,
O,I-Alinea,aux,13,595,842,CIDFont+F1,#000,333,345,198,207,10301,,,
O,I-Alinea,dispositions,13,595,842,CIDFont+F1,#000,348,389,198,207,10301,,,
O,I-Alinea,de,13,595,842,CIDFont+F1,#000,392,401,198,207,10301,,,
O,I-Alinea,la,13,595,842,CIDFont+F1,#000,403,409,198,207,10301,,,
O,I-Alinea,plus,13,595,842,CIDFont+F1,#000,411,426,198,207,10301,,,
O,I-Alinea,récente,13,595,842,CIDFont+F1,#000,428,455,198,207,10301,,,
O,I-Alinea,édition,13,595,842,CIDFont+F1,#000,457,480,198,207,10301,,,
O,I-Alinea,du,13,595,842,CIDFont+F1,#000,483,492,198,207,10301,,,
O,I-Alinea,Code,13,595,842,CIDFont+F1,#000,494,513,198,207,10301,,,
O,I-Alinea,national,13,595,842,CIDFont+F1,#000,515,543,198,207,10301,,,
