sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Tete,2,2,612,1008,TimesNewRomanPSMT,#000,295,301,37,49,1045,,Artifact,
O,B-Alinea,Le,2,612,1008,ArialMT,#000,121,133,65,76,1073,0,P,Document;P
O,I-Alinea,comité,2,612,1008,ArialMT,#000,137,170,65,76,1073,0,P,Document;P
O,I-Alinea,rend,2,612,1008,ArialMT,#000,174,196,65,76,1073,0,P,Document;P
O,I-Alinea,ses,2,612,1008,ArialMT,#000,200,218,65,76,1073,0,P,Document;P
O,I-Alinea,décisions,2,612,1008,ArialMT,#000,222,268,65,76,1073,0,P,Document;P
O,I-Alinea,en,2,612,1008,ArialMT,#000,272,284,65,76,1073,0,P,Document;P
O,I-Alinea,assemblée,2,612,1008,ArialMT,#000,289,342,65,76,1073,0,P,Document;P
O,I-Alinea,publique,2,612,1008,ArialMT,#000,346,388,65,76,1073,0,P,Document;P
O,I-Alinea,par,2,612,1008,ArialMT,#000,392,408,65,76,1073,0,P,Document;P
O,I-Alinea,voie,2,612,1008,ArialMT,#000,412,433,65,76,1073,0,P,Document;P
O,I-Alinea,de,2,612,1008,ArialMT,#000,437,449,65,76,1073,0,P,Document;P
O,I-Alinea,résolution,2,612,1008,ArialMT,#000,454,501,65,76,1073,0,P,Document;P
O,I-Alinea,à,2,612,1008,ArialMT,#000,506,512,65,76,1073,0,P,Document;P
O,I-Alinea,la,2,612,1008,ArialMT,#000,516,525,65,76,1073,0,P,Document;P
O,I-Alinea,majorité.,2,612,1008,ArialMT,#000,121,163,77,88,1085,0,P,Document;P
O,B-Article,Article,2,612,1008,Arial-BoldMT,#000,121,158,103,115,1111,2,P,Document;L;LI;LBody
O,I-Article,5,2,612,1008,Arial-BoldMT,#000,165,171,103,115,1111,2,P,Document;L;LI;LBody
O,I-Article,Interdictions,2,612,1008,ArialMT,#000,184,244,104,115,1112,2,P,Document;L;LI;LBody
O,B-Alinea,La,2,612,1008,ArialMT,#000,121,133,129,140,1137,4,P,Document;P
O,I-Alinea,démolition,2,612,1008,ArialMT,#000,136,186,129,140,1137,4,P,Document;P
O,I-Alinea,d’une,2,612,1008,ArialMT,#000,190,216,129,140,1137,4,P,Document;P
O,I-Alinea,construction,2,612,1008,ArialMT,#000,220,279,129,140,1137,4,P,Document;P
O,I-Alinea,identifiée,2,612,1008,ArialMT,#000,282,326,129,140,1137,4,P,Document;P
O,I-Alinea,au,2,612,1008,ArialMT,#000,330,342,129,140,1137,4,P,Document;P
O,I-Alinea,présent,2,612,1008,ArialMT,#000,345,382,129,140,1137,4,P,Document;P
O,I-Alinea,"article,",2,612,1008,ArialMT,#000,385,418,129,140,1137,4,P,Document;P
O,I-Alinea,à,2,612,1008,ArialMT,#000,421,427,129,140,1137,4,P,Document;P
O,I-Alinea,plus,2,612,1008,ArialMT,#000,430,450,129,140,1137,4,P,Document;P
O,I-Alinea,de,2,612,1008,ArialMT,#000,454,466,129,140,1137,4,P,Document;P
O,I-Alinea,25,2,612,1008,ArialMT,#000,469,481,129,140,1137,4,P,Document;P
O,I-Alinea,%,2,612,1008,ArialMT,#000,485,494,129,140,1137,4,P,Document;P
O,I-Alinea,de,2,612,1008,ArialMT,#000,498,510,129,140,1137,4,P,Document;P
O,I-Alinea,sa,2,612,1008,ArialMT,#000,513,525,129,140,1137,4,P,Document;P
O,I-Alinea,valeur,2,612,1008,ArialMT,#000,121,151,142,153,1150,4,P,Document;P
O,I-Alinea,"marchande,",2,612,1008,ArialMT,#000,154,212,142,153,1150,4,P,Document;P
O,I-Alinea,est,2,612,1008,ArialMT,#000,216,230,142,153,1150,4,P,Document;P
O,I-Alinea,"interdite,",2,612,1008,ArialMT,#000,234,276,142,153,1150,4,P,Document;P
O,I-Alinea,à,2,612,1008,ArialMT,#000,280,286,142,153,1150,4,P,Document;P
O,I-Alinea,moins,2,612,1008,ArialMT,#000,289,319,142,153,1150,4,P,Document;P
O,I-Alinea,que,2,612,1008,ArialMT,#000,322,340,142,153,1150,4,P,Document;P
O,I-Alinea,le,2,612,1008,ArialMT,#000,344,353,142,153,1150,4,P,Document;P
O,I-Alinea,propriétaire,2,612,1008,ArialMT,#000,356,412,142,153,1150,4,P,Document;P
O,I-Alinea,n’ait,2,612,1008,ArialMT,#000,415,435,142,153,1150,4,P,Document;P
O,I-Alinea,été,2,612,1008,ArialMT,#000,439,454,142,153,1150,4,P,Document;P
O,I-Alinea,autorisé,2,612,1008,ArialMT,#000,458,497,142,153,1150,4,P,Document;P
O,I-Alinea,à,2,612,1008,ArialMT,#000,500,506,142,153,1150,4,P,Document;P
O,I-Alinea,cet,2,612,1008,ArialMT,#000,510,524,142,153,1150,4,P,Document;P
O,I-Alinea,effet,2,612,1008,ArialMT,#000,121,142,154,165,1162,4,P,Document;P
O,I-Alinea,conformément,2,612,1008,ArialMT,#000,145,215,154,165,1162,4,P,Document;P
O,I-Alinea,au,2,612,1008,ArialMT,#000,218,231,154,165,1162,4,P,Document;P
O,I-Alinea,présent,2,612,1008,ArialMT,#000,234,271,154,165,1162,4,P,Document;P
O,I-Alinea,règlement.,2,612,1008,ArialMT,#000,274,325,154,165,1162,4,P,Document;P
O,B-Liste,1.,2,612,1008,ArialMT,#000,121,130,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,Tout,2,612,1008,ArialMT,#000,142,164,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,bâtiment,2,612,1008,ArialMT,#000,168,210,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,faisant,2,612,1008,ArialMT,#000,214,246,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,l’objet,2,612,1008,ArialMT,#000,250,279,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,d’un,2,612,1008,ArialMT,#000,282,303,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,statut,2,612,1008,ArialMT,#000,307,334,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,de,2,612,1008,ArialMT,#000,338,350,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,protection,2,612,1008,ArialMT,#000,354,402,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,en,2,612,1008,ArialMT,#000,406,418,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,vertu,2,612,1008,ArialMT,#000,422,446,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,de,2,612,1008,ArialMT,#000,450,462,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,la,2,612,1008,ArialMT,#000,466,475,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,Loi,2,612,1008,Arial-ItalicMT,#000,479,493,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,sur,2,612,1008,Arial-ItalicMT,#000,497,512,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,le,2,612,1008,Arial-ItalicMT,#000,516,525,179,190,1188,6,P,Document;L;LI;LBody
O,I-Liste,patrimoine,2,612,1008,Arial-ItalicMT,#000,142,193,192,203,1200,6,P,Document;L;LI;LBody
O,I-Liste,culturel,2,612,1008,Arial-ItalicMT,#000,196,232,192,203,1200,6,P,Document;L;LI;LBody
O,I-Liste,(LRQ,2,612,1008,ArialMT,#000,235,261,192,203,1200,6,P,Document;L;LI;LBody
O,I-Liste,P-9.002);,2,612,1008,ArialMT,#000,264,309,192,203,1200,6,P,Document;L;LI;LBody
O,B-Liste,2.,2,612,1008,ArialMT,#000,121,130,205,216,1213,7,P,Document;L;LI;LBody
O,I-Liste,Tout,2,612,1008,ArialMT,#000,142,164,205,216,1213,7,P,Document;L;LI;LBody
