sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,311,378,56,67,56,1,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Titre,1314-2023-DEM,1,612,1008,Arial-BoldMT,#000,381,459,56,67,56,1,P,Document;Table;TBody;TR;TD;P
I-Titre,B-Alinea,Régissant,1,612,1008,ArialMT,#000,282,331,81,92,81,3,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,la,1,612,1008,ArialMT,#000,334,343,81,92,81,3,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,démolition,1,612,1008,ArialMT,#000,346,396,81,92,81,3,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,des,1,612,1008,ArialMT,#000,399,416,81,92,81,3,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,constructions,1,612,1008,ArialMT,#000,420,484,81,92,81,3,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,Séance,1,612,1008,ArialMT,#000,121,158,119,130,119,6,P,Document;P
O,I-Alinea,ordinaire,1,612,1008,ArialMT,#000,161,204,119,130,119,6,P,Document;P
O,I-Alinea,du,1,612,1008,ArialMT,#000,208,220,119,130,119,6,P,Document;P
O,I-Alinea,conseil,1,612,1008,ArialMT,#000,223,257,119,130,119,6,P,Document;P
O,I-Alinea,"municipal,",1,612,1008,ArialMT,#000,261,310,119,130,119,6,P,Document;P
O,I-Alinea,tenue,1,612,1008,ArialMT,#000,314,341,119,130,119,6,P,Document;P
O,I-Alinea,publiquement,1,612,1008,ArialMT,#000,345,411,119,130,119,6,P,Document;P
O,I-Alinea,le,1,612,1008,ArialMT,#000,414,423,119,130,119,6,P,Document;P
O,I-Alinea,20,1,612,1008,ArialMT,#000,426,439,119,130,119,6,P,Document;P
O,I-Alinea,mars,1,612,1008,ArialMT,#000,442,467,119,130,119,6,P,Document;P
O,I-Alinea,"2023,",1,612,1008,ArialMT,#000,470,497,119,130,119,6,P,Document;P
O,I-Alinea,dans,1,612,1008,ArialMT,#000,501,525,119,130,119,6,P,Document;P
O,I-Alinea,la,1,612,1008,ArialMT,#000,121,129,132,143,132,6,P,Document;P
O,I-Alinea,salle,1,612,1008,ArialMT,#000,134,157,132,143,132,6,P,Document;P
O,I-Alinea,du,1,612,1008,ArialMT,#000,162,174,132,143,132,6,P,Document;P
O,I-Alinea,conseil,1,612,1008,ArialMT,#000,179,213,132,143,132,6,P,Document;P
O,I-Alinea,municipal,1,612,1008,ArialMT,#000,218,264,132,143,132,6,P,Document;P
O,I-Alinea,située,1,612,1008,ArialMT,#000,269,298,132,143,132,6,P,Document;P
O,I-Alinea,au,1,612,1008,ArialMT,#000,303,316,132,143,132,6,P,Document;P
