sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Annexe,A,1,612,1008,BCDEEE+Arial-BoldMT,#000,425,439,80,100,80,0,P,Document;P
O,I-Annexe,D,1,612,1008,BCDEEE+Arial-BoldMT,#000,499,513,80,100,80,0,P,Document;P
O,I-Annexe,NNEXE,1,612,1008,BCDEEE+Arial-BoldMT,#000,439,494,83,99,83,0,P,Document;P
O,I-Annexe,P,1,612,1008,BCDEEE+Arial-BoldMT,#000,174,188,109,129,109,1,P,Document;P
O,I-Annexe,LAN,1,612,1008,BCDEEE+Arial-BoldMT,#000,187,220,112,128,112,1,P,Document;P
O,I-Annexe,DE,1,612,1008,BCDEEE+Arial-BoldMT,#000,225,247,112,128,112,1,P,Document;P
O,I-Annexe,RENATURALISATION,1,612,1008,BCDEEE+Arial-BoldMT,#000,251,416,112,128,112,1,P,Document;P
O,I-Annexe,DES,1,612,1008,BCDEEE+Arial-BoldMT,#000,420,453,112,128,112,1,P,Document;P
O,I-Annexe,GOLFS,1,612,1008,BCDEEE+Arial-BoldMT,#000,458,513,112,128,112,1,P,Document;P
O,B-Annexe,A,5,612,1008,BCDEEE+Arial-BoldMT,#000,454,468,74,94,4106,0,P,Document;P
O,I-Annexe,E,5,612,1008,BCDEEE+Arial-BoldMT,#000,528,541,74,94,4106,0,P,Document;P
O,I-Annexe,NNEXE,5,612,1008,BCDEEE+Arial-BoldMT,#000,468,523,77,93,4109,0,P,Document;P
O,I-Annexe,L,5,612,1008,BCDEEE+Arial-BoldMT,#000,219,231,103,123,4135,1,P,Document;P
O,I-Annexe,IMITE,5,612,1008,BCDEEE+Arial-BoldMT,#000,231,274,106,122,4138,1,P,Document;P
O,I-Annexe,DE,5,612,1008,BCDEEE+Arial-BoldMT,#000,278,300,106,122,4138,1,P,Document;P
O,I-Annexe,LA,5,612,1008,BCDEEE+Arial-BoldMT,#000,305,326,106,122,4138,1,P,Document;P
O,I-Annexe,PLAINE,5,612,1008,BCDEEE+Arial-BoldMT,#000,331,389,106,122,4138,1,P,Document;P
O,I-Annexe,INONDABLE,5,612,1008,BCDEEE+Arial-BoldMT,#000,393,489,106,122,4138,1,P,Document;P
O,I-Annexe,DE,5,612,1008,BCDEEE+Arial-BoldMT,#000,493,515,106,122,4138,1,P,Document;P
O,I-Annexe,LA,5,612,1008,BCDEEE+Arial-BoldMT,#000,520,541,106,122,4138,1,P,Document;P
O,I-Annexe,-,5,612,1008,BCDEEE+Arial-BoldMT,#000,458,464,132,152,4164,2,P,Document;P
O,I-Annexe,-,5,612,1008,BCDEEE+Arial-BoldMT,#000,487,494,132,152,4164,2,P,Document;P
O,I-Annexe,RIVIÈRE,5,612,1008,BCDEEE+Arial-BoldMT,#000,394,458,135,151,4167,2,P,Document;P
O,I-Annexe,DU,5,612,1008,BCDEEE+Arial-BoldMT,#000,464,487,135,151,4167,2,P,Document;P
O,I-Annexe,NORD,5,612,1008,BCDEEE+Arial-BoldMT,#000,494,541,135,151,4167,2,P,Document;P
O,B-Annexe,A,7,612,1008,BCDEEE+Arial-BoldMT,#000,423,438,74,94,6122,0,P,Document;P
O,I-Annexe,G,7,612,1008,BCDEEE+Arial-BoldMT,#000,498,513,74,94,6122,0,P,Document;P
O,I-Annexe,NNEXE,7,612,1008,BCDEEE+Arial-BoldMT,#000,438,493,77,93,6125,0,P,Document;P
O,I-Annexe,P,7,612,1008,BCDEEE+Arial-BoldMT,#000,249,262,103,123,6151,1,P,Document;P
O,I-Annexe,ROTECTION,7,612,1008,BCDEEE+Arial-BoldMT,#000,262,356,106,122,6154,1,P,Document;P
O,I-Annexe,DU,7,612,1008,BCDEEE+Arial-BoldMT,#000,361,384,106,122,6154,1,P,Document;P
O,I-Annexe,PARC,7,612,1008,BCDEEE+Arial-BoldMT,#000,388,434,106,122,6154,1,P,Document;P
O,I-Annexe,LINÉAIRE,7,612,1008,BCDEEE+Arial-BoldMT,#000,438,513,106,122,6154,1,P,Document;P
O,B-Annexe,A,9,612,1008,CIDFont+F1,#000,424,439,80,100,8144,,,
O,I-Annexe,H,9,612,1008,CIDFont+F1,#000,498,513,80,100,8144,,,
O,I-Annexe,NNEXE,9,612,1008,CIDFont+F1,#000,439,494,83,99,8147,,,
O,I-Annexe,R,9,612,1008,CIDFont+F1,#000,240,255,109,129,8173,,,
O,I-Annexe,S,9,612,1008,CIDFont+F1,#000,328,341,109,129,8173,,,
O,I-Annexe,–,9,612,1008,CIDFont+F1,#000,387,398,109,129,8173,,,
O,I-Annexe,V,9,612,1008,CIDFont+F1,#000,403,416,109,129,8173,,,
O,I-Annexe,IVIÈRE,9,612,1008,CIDFont+F1,#000,255,307,112,128,8176,,,
O,I-Annexe,À,9,612,1008,CIDFont+F1,#000,312,323,112,128,8176,,,
O,I-Annexe,IMON,9,612,1008,CIDFont+F1,#000,341,383,112,128,8176,,,
O,I-Annexe,UE,9,612,1008,CIDFont+F1,#000,416,438,112,128,8176,,,
O,I-Annexe,EN,9,612,1008,CIDFont+F1,#000,443,465,112,128,8176,,,
O,I-Annexe,PLAN,9,612,1008,CIDFont+F1,#000,469,513,112,128,8176,,,
O,I-Annexe,DES,9,612,1008,CIDFont+F1,#000,308,341,141,157,8205,,,
O,I-Annexe,ZONES,9,612,1008,CIDFont+F1,#000,345,400,141,157,8205,,,
O,I-Annexe,INONDABLES,9,612,1008,CIDFont+F1,#000,405,510,141,157,8205,,,
