sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,9,595,842,CIDFont+F1,#777,52,83,71,79,6807,,,
I-Titre,I-Tete,de,9,595,842,CIDFont+F1,#777,85,92,71,79,6807,,,
I-Titre,I-Tete,construction,9,595,842,CIDFont+F1,#777,94,128,71,79,6807,,,
I-Titre,I-Tete,1314-2021-C,9,595,842,CIDFont+F1,#777,130,168,71,79,6807,,,
O,I-Tete,Chapitre,9,595,842,CIDFont+F1,#777,338,362,71,79,6807,,,
O,I-Tete,1,9,595,842,CIDFont+F1,#777,364,367,71,79,6807,,,
O,I-Tete,–,9,595,842,CIDFont+F1,#777,369,373,71,79,6807,,,
O,I-Tete,Dispositions,9,595,842,CIDFont+F1,#777,375,409,71,79,6807,,,
O,I-Tete,"déclaratoires,",9,595,842,CIDFont+F1,#777,410,449,71,79,6807,,,
O,I-Tete,interprétatives,9,595,842,CIDFont+F1,#777,451,491,71,79,6807,,,
O,I-Tete,et,9,595,842,CIDFont+F1,#777,493,498,71,79,6807,,,
O,I-Tete,administratives,9,595,842,CIDFont+F1,#777,500,542,71,79,6807,,,
O,B-Section,SECTION,9,595,842,CIDFont+F8,#222,52,102,119,133,6855,,,
O,I-Section,2,9,595,842,CIDFont+F8,#222,105,112,119,133,6855,,,
O,I-Section,DISPOSITIONS,9,595,842,CIDFont+F8,#000,125,205,119,133,6855,,,
O,I-Section,INTERPRÉTATIVES,9,595,842,CIDFont+F8,#000,208,312,119,133,6855,,,
O,B-Article,9.,9,595,842,CIDFont+F8,#222,52,59,158,168,6893,,,
O,I-Article,Ville,9,595,842,CIDFont+F8,#000,80,96,158,168,6893,,,
O,B-Alinea,L’expression,9,595,842,CIDFont+F1,#000,52,97,175,185,6910,,,
O,I-Alinea,«,9,595,842,CIDFont+F1,#000,99,104,175,185,6910,,,
O,I-Alinea,Ville,9,595,842,CIDFont+F1,#000,106,121,175,185,6910,,,
O,I-Alinea,»,9,595,842,CIDFont+F1,#000,123,128,175,185,6910,,,
O,I-Alinea,est,9,595,842,CIDFont+F1,#000,130,141,175,185,6910,,,
O,I-Alinea,définie,9,595,842,CIDFont+F1,#000,143,166,175,185,6910,,,
O,I-Alinea,comme,9,595,842,CIDFont+F1,#000,169,195,175,185,6910,,,
O,I-Alinea,étant,9,595,842,CIDFont+F1,#000,197,215,175,185,6910,,,
O,I-Alinea,la,9,595,842,CIDFont+F1,#000,217,223,175,185,6910,,,
O,I-Alinea,Ville,9,595,842,CIDFont+F1,#000,226,240,175,185,6910,,,
O,I-Alinea,de,9,595,842,CIDFont+F1,#000,243,251,175,185,6910,,,
O,I-Alinea,Sainte-Adèle.,9,595,842,CIDFont+F1,#000,254,302,175,185,6910,,,
O,B-Article,10.,9,595,842,CIDFont+F8,#222,52,63,204,213,6939,,,
O,I-Article,Structure,9,595,842,CIDFont+F8,#000,80,116,204,213,6939,,,
O,I-Article,du,9,595,842,CIDFont+F8,#000,118,127,204,213,6939,,,
O,I-Article,règlement,9,595,842,CIDFont+F8,#000,130,168,204,213,6939,,,
O,B-Alinea,L’interprétation,9,595,842,CIDFont+F1,#000,52,105,221,230,6956,,,
O,I-Alinea,du,9,595,842,CIDFont+F1,#000,108,117,221,230,6956,,,
O,I-Alinea,présent,9,595,842,CIDFont+F1,#000,120,147,221,230,6956,,,
O,I-Alinea,règlement,9,595,842,CIDFont+F1,#000,150,186,221,230,6956,,,
