sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Chapitre,CHAPITRE,8,612,1008,CIDFont+F3,#222,85,161,490,508,7546,,,
O,I-Chapitre,1,8,612,1008,CIDFont+F3,#222,165,173,490,508,7546,,,
O,I-Chapitre,DISPOSITIONS,8,612,1008,CIDFont+F3,#222,191,296,490,508,7546,,,
O,I-Chapitre,"DÉCLARATOIRES,",8,612,1008,CIDFont+F3,#222,301,432,490,508,7546,,,
O,I-Chapitre,INTERPRÉTATIVES,8,612,1008,CIDFont+F3,#222,191,328,513,531,7569,,,
O,I-Chapitre,ET,8,612,1008,CIDFont+F3,#222,333,351,513,531,7569,,,
O,I-Chapitre,ADMINISTRATIVES,8,612,1008,CIDFont+F3,#222,355,491,513,531,7569,,,
O,B-Pied,8,8,612,1008,CIDFont+F2,#777,523,527,965,973,8021,,,
B-Titre,B-Tete,Règlement,9,612,1008,CIDFont+F2,#777,85,117,36,45,8100,,,
I-Titre,I-Tete,sur,9,612,1008,CIDFont+F2,#777,119,128,36,45,8100,,,
I-Titre,I-Tete,les,9,612,1008,CIDFont+F2,#777,130,138,36,45,8100,,,
I-Titre,I-Tete,permis,9,612,1008,CIDFont+F2,#777,140,160,36,45,8100,,,
I-Titre,I-Tete,et,9,612,1008,CIDFont+F2,#777,161,167,36,45,8100,,,
I-Titre,I-Tete,certificats,9,612,1008,CIDFont+F2,#777,169,196,36,45,8100,,,
I-Titre,I-Tete,numéro,9,612,1008,CIDFont+F2,#777,198,221,36,45,8100,,,
I-Titre,I-Tete,1314-2021-PC,9,612,1008,CIDFont+F2,#777,222,265,36,45,8100,,,
O,I-Tete,Chapitre,9,612,1008,CIDFont+F2,#777,317,342,36,45,8100,,,
O,I-Tete,1,9,612,1008,CIDFont+F2,#777,344,347,36,45,8100,,,
O,I-Tete,–,9,612,1008,CIDFont+F2,#777,349,353,36,45,8100,,,
O,I-Tete,Dispositions,9,612,1008,CIDFont+F2,#777,355,390,36,45,8100,,,
O,I-Tete,"déclaratoires,",9,612,1008,CIDFont+F2,#777,392,431,36,45,8100,,,
O,I-Tete,interprétatives,9,612,1008,CIDFont+F2,#777,433,474,36,45,8100,,,
O,I-Tete,et,9,612,1008,CIDFont+F2,#777,476,482,36,45,8100,,,
O,I-Tete,administratives,9,612,1008,CIDFont+F2,#777,483,527,36,45,8100,,,
O,B-Section,SECTION,9,612,1008,CIDFont+F3,#222,85,136,98,112,8162,,,
O,I-Section,1,9,612,1008,CIDFont+F3,#222,139,146,98,112,8162,,,
O,I-Section,DISPOSITIONS,9,612,1008,CIDFont+F3,#222,160,242,98,112,8162,,,
O,I-Section,DÉCLARATOIRES,9,612,1008,CIDFont+F3,#222,245,344,98,112,8162,,,
O,B-Article,1.,9,612,1008,CIDFont+F3,#222,85,92,138,148,8202,,,
O,I-Article,Titre,9,612,1008,CIDFont+F3,#222,113,131,138,148,8202,,,
O,I-Article,du,9,612,1008,CIDFont+F3,#222,134,144,138,148,8202,,,
O,I-Article,règlement,9,612,1008,CIDFont+F3,#222,146,185,138,148,8202,,,
O,B-Alinea,Le,9,612,1008,CIDFont+F2,#222,85,94,155,165,8219,,,
O,I-Alinea,présent,9,612,1008,CIDFont+F2,#222,97,124,155,165,8219,,,
O,I-Alinea,règlement,9,612,1008,CIDFont+F2,#222,126,163,155,165,8219,,,
O,I-Alinea,est,9,612,1008,CIDFont+F2,#222,165,176,155,165,8219,,,
O,I-Alinea,intitulé,9,612,1008,CIDFont+F2,#222,179,202,155,165,8219,,,
O,I-Alinea,«,9,612,1008,CIDFont+F2,#222,205,209,155,165,8219,,,
O,I-Alinea,Règlement,9,612,1008,CIDFont+F2,#222,212,251,155,165,8219,,,
O,I-Alinea,sur,9,612,1008,CIDFont+F2,#222,254,265,155,165,8219,,,
O,I-Alinea,les,9,612,1008,CIDFont+F2,#222,268,278,155,165,8219,,,
O,I-Alinea,permis,9,612,1008,CIDFont+F2,#222,281,305,155,165,8219,,,
O,I-Alinea,et,9,612,1008,CIDFont+F2,#222,308,314,155,165,8219,,,
O,I-Alinea,certificats,9,612,1008,CIDFont+F2,#222,317,352,155,165,8219,,,
O,I-Alinea,de,9,612,1008,CIDFont+F2,#222,354,363,155,165,8219,,,
O,I-Alinea,la,9,612,1008,CIDFont+F2,#222,366,372,155,165,8219,,,
O,I-Alinea,Ville,9,612,1008,CIDFont+F2,#222,374,390,155,165,8219,,,
O,I-Alinea,de,9,612,1008,CIDFont+F2,#222,392,401,155,165,8219,,,
O,I-Alinea,Sainte-Adèle,9,612,1008,CIDFont+F2,#222,404,451,155,165,8219,,,
O,I-Alinea,»,9,612,1008,CIDFont+F2,#222,453,458,155,165,8219,,,
O,I-Alinea,et,9,612,1008,CIDFont+F2,#222,460,467,155,165,8219,,,
O,I-Alinea,porte,9,612,1008,CIDFont+F2,#222,469,488,155,165,8219,,,
O,I-Alinea,le,9,612,1008,CIDFont+F2,#222,491,497,155,165,8219,,,
O,I-Alinea,numéro,9,612,1008,CIDFont+F2,#222,499,527,155,165,8219,,,
O,I-Alinea,1314-2021-PC.,9,612,1008,CIDFont+F2,#222,85,141,166,176,8230,,,
O,B-Article,2.,9,612,1008,CIDFont+F3,#222,85,92,196,206,8260,,,
O,I-Article,Abrogation,9,612,1008,CIDFont+F3,#222,113,157,196,206,8260,,,
O,B-Alinea,Le,9,612,1008,CIDFont+F2,#222,85,94,213,223,8277,,,
O,I-Alinea,présent,9,612,1008,CIDFont+F2,#222,98,126,213,223,8277,,,
O,I-Alinea,règlement,9,612,1008,CIDFont+F2,#222,130,166,213,223,8277,,,
O,I-Alinea,abroge,9,612,1008,CIDFont+F2,#222,171,196,213,223,8277,,,
O,I-Alinea,le,9,612,1008,CIDFont+F2,#222,200,207,213,223,8277,,,
O,I-Alinea,règlement,9,612,1008,CIDFont+F2,#222,211,247,213,223,8277,,,
O,I-Alinea,numéro,9,612,1008,CIDFont+F2,#222,252,279,213,223,8277,,,
O,I-Alinea,1200-2012-PC,9,612,1008,CIDFont+F2,#222,284,337,213,223,8277,,,
O,I-Alinea,«,9,612,1008,CIDFont+F2,#222,341,346,213,223,8277,,,
O,I-Alinea,Règlement,9,612,1008,CIDFont+F2,#222,350,389,213,223,8277,,,
O,I-Alinea,relatif,9,612,1008,CIDFont+F2,#222,394,414,213,223,8277,,,
O,I-Alinea,aux,9,612,1008,CIDFont+F2,#222,418,431,213,223,8277,,,
O,I-Alinea,permis,9,612,1008,CIDFont+F2,#222,435,460,213,223,8277,,,
O,I-Alinea,et,9,612,1008,CIDFont+F2,#222,464,471,213,223,8277,,,
O,I-Alinea,aux,9,612,1008,CIDFont+F2,#222,475,488,213,223,8277,,,
O,I-Alinea,certificats,9,612,1008,CIDFont+F2,#222,493,527,213,223,8277,,,
O,I-Alinea,d’autorisation,9,612,1008,CIDFont+F2,#222,85,134,225,235,8289,,,
O,I-Alinea,»,9,612,1008,CIDFont+F2,#222,136,141,225,235,8289,,,
O,I-Alinea,tel,9,612,1008,CIDFont+F2,#222,145,154,225,235,8289,,,
O,I-Alinea,que,9,612,1008,CIDFont+F2,#222,158,172,225,235,8289,,,
O,I-Alinea,modifié,9,612,1008,CIDFont+F2,#222,176,203,225,235,8289,,,
O,I-Alinea,par,9,612,1008,CIDFont+F2,#222,207,219,225,235,8289,,,
O,I-Alinea,tous,9,612,1008,CIDFont+F2,#222,224,239,225,235,8289,,,
O,I-Alinea,leurs,9,612,1008,CIDFont+F2,#222,243,261,225,235,8289,,,
O,I-Alinea,amendements,9,612,1008,CIDFont+F2,#222,266,318,225,235,8289,,,
O,I-Alinea,ainsi,9,612,1008,CIDFont+F2,#222,322,339,225,235,8289,,,
O,I-Alinea,que,9,612,1008,CIDFont+F2,#222,343,357,225,235,8289,,,
O,I-Alinea,toutes,9,612,1008,CIDFont+F2,#222,361,384,225,235,8289,,,
O,I-Alinea,dispositions,9,612,1008,CIDFont+F2,#222,388,431,225,235,8289,,,
O,I-Alinea,inconciliables,9,612,1008,CIDFont+F2,#222,435,484,225,235,8289,,,
O,I-Alinea,d’un,9,612,1008,CIDFont+F2,#222,489,504,225,235,8289,,,
O,I-Alinea,autre,9,612,1008,CIDFont+F2,#222,509,527,225,235,8289,,,
O,I-Alinea,règlement,9,612,1008,CIDFont+F2,#222,85,122,236,246,8300,,,
O,I-Alinea,en,9,612,1008,CIDFont+F2,#222,124,133,236,246,8300,,,
O,I-Alinea,vigueur.,9,612,1008,CIDFont+F2,#222,135,164,236,246,8300,,,
O,B-Alinea,Ces,9,612,1008,CIDFont+F2,#222,85,100,260,270,8324,,,
O,I-Alinea,abrogations,9,612,1008,CIDFont+F2,#222,102,145,260,270,8324,,,
O,I-Alinea,n’affectent,9,612,1008,CIDFont+F2,#222,147,185,260,270,8324,,,
O,I-Alinea,pas,9,612,1008,CIDFont+F2,#222,187,200,260,270,8324,,,
O,I-Alinea,les,9,612,1008,CIDFont+F2,#222,203,213,260,270,8324,,,
O,I-Alinea,permis,9,612,1008,CIDFont+F2,#222,215,240,260,270,8324,,,
O,I-Alinea,et,9,612,1008,CIDFont+F2,#222,242,249,260,270,8324,,,
O,I-Alinea,certificats,9,612,1008,CIDFont+F2,#222,251,286,260,270,8324,,,
O,I-Alinea,légalement,9,612,1008,CIDFont+F2,#222,288,329,260,270,8324,,,
O,I-Alinea,émis,9,612,1008,CIDFont+F2,#222,331,348,260,270,8324,,,
O,I-Alinea,sous,9,612,1008,CIDFont+F2,#222,350,368,260,270,8324,,,
O,I-Alinea,l’autorité,9,612,1008,CIDFont+F2,#222,370,401,260,270,8324,,,
O,I-Alinea,des,9,612,1008,CIDFont+F2,#222,403,416,260,270,8324,,,
O,I-Alinea,règlements,9,612,1008,CIDFont+F2,#222,419,459,260,270,8324,,,
O,I-Alinea,ainsi,9,612,1008,CIDFont+F2,#222,462,478,260,270,8324,,,
O,I-Alinea,remplacés,9,612,1008,CIDFont+F2,#222,481,519,260,270,8324,,,
O,I-Alinea,ni,9,612,1008,CIDFont+F2,#222,521,527,260,270,8324,,,
O,I-Alinea,les,9,612,1008,CIDFont+F2,#222,85,96,271,281,8335,,,
O,I-Alinea,droits,9,612,1008,CIDFont+F2,#222,98,118,271,281,8335,,,
O,I-Alinea,acquis,9,612,1008,CIDFont+F2,#222,120,144,271,281,8335,,,
O,I-Alinea,avant,9,612,1008,CIDFont+F2,#222,146,166,271,281,8335,,,
O,I-Alinea,l’entrée,9,612,1008,CIDFont+F2,#222,168,195,271,281,8335,,,
O,I-Alinea,en,9,612,1008,CIDFont+F2,#222,198,207,271,281,8335,,,
O,I-Alinea,vigueur,9,612,1008,CIDFont+F2,#222,209,236,271,281,8335,,,
O,I-Alinea,du,9,612,1008,CIDFont+F2,#222,238,247,271,281,8335,,,
O,I-Alinea,présent,9,612,1008,CIDFont+F2,#222,250,277,271,281,8335,,,
O,I-Alinea,règlement.,9,612,1008,CIDFont+F2,#222,279,318,271,281,8335,,,
O,B-Article,3.,9,612,1008,CIDFont+F3,#222,85,92,301,311,8365,,,
O,I-Article,Portée,9,612,1008,CIDFont+F3,#000,113,139,301,311,8365,,,
O,I-Article,du,9,612,1008,CIDFont+F3,#000,141,151,301,311,8365,,,
O,I-Article,règlement,9,612,1008,CIDFont+F3,#000,154,193,301,311,8365,,,
O,I-Article,et,9,612,1008,CIDFont+F3,#000,195,202,301,311,8365,,,
O,I-Article,territoire,9,612,1008,CIDFont+F3,#000,205,238,301,311,8365,,,
O,I-Article,assujetti,9,612,1008,CIDFont+F3,#000,241,274,301,311,8365,,,
O,B-Alinea,Le,9,612,1008,CIDFont+F2,#000,85,94,318,328,8382,,,
O,I-Alinea,présent,9,612,1008,CIDFont+F2,#000,97,124,318,328,8382,,,
O,I-Alinea,"règlement,",9,612,1008,CIDFont+F2,#000,127,165,318,328,8382,,,
O,I-Alinea,dont,9,612,1008,CIDFont+F2,#000,168,184,318,328,8382,,,
O,I-Alinea,les,9,612,1008,CIDFont+F2,#000,186,197,318,328,8382,,,
O,I-Alinea,dispositions,9,612,1008,CIDFont+F2,#000,199,242,318,328,8382,,,
O,I-Alinea,s’appliquent,9,612,1008,CIDFont+F2,#000,245,288,318,328,8382,,,
O,I-Alinea,aux,9,612,1008,CIDFont+F2,#000,291,304,318,328,8382,,,
O,I-Alinea,personnes,9,612,1008,CIDFont+F2,#000,306,345,318,328,8382,,,
O,I-Alinea,physiques,9,612,1008,CIDFont+F2,#000,347,384,318,328,8382,,,
O,I-Alinea,comme,9,612,1008,CIDFont+F2,#000,387,414,318,328,8382,,,
O,I-Alinea,aux,9,612,1008,CIDFont+F2,#000,416,429,318,328,8382,,,
O,I-Alinea,personnes,9,612,1008,CIDFont+F2,#000,432,470,318,328,8382,,,
O,I-Alinea,morales,9,612,1008,CIDFont+F2,#000,473,502,318,328,8382,,,
O,I-Alinea,autant,9,612,1008,CIDFont+F2,#000,504,527,318,328,8382,,,
O,I-Alinea,de,9,612,1008,CIDFont+F2,#000,85,94,330,340,8394,,,
O,I-Alinea,droits,9,612,1008,CIDFont+F2,#000,96,116,330,340,8394,,,
O,I-Alinea,publics,9,612,1008,CIDFont+F2,#000,119,144,330,340,8394,,,
O,I-Alinea,que,9,612,1008,CIDFont+F2,#000,147,160,330,340,8394,,,
O,I-Alinea,"privés,",9,612,1008,CIDFont+F2,#000,162,187,330,340,8394,,,
O,I-Alinea,s’applique,9,612,1008,CIDFont+F2,#000,189,226,330,340,8394,,,
O,I-Alinea,à,9,612,1008,CIDFont+F2,#000,228,233,330,340,8394,,,
O,I-Alinea,l’ensemble,9,612,1008,CIDFont+F2,#000,235,274,330,340,8394,,,
O,I-Alinea,du,9,612,1008,CIDFont+F2,#000,277,286,330,340,8394,,,
O,I-Alinea,territoire,9,612,1008,CIDFont+F2,#000,288,318,330,340,8394,,,
O,I-Alinea,de,9,612,1008,CIDFont+F2,#000,320,330,330,340,8394,,,
O,I-Alinea,la,9,612,1008,CIDFont+F2,#000,332,338,330,340,8394,,,
O,I-Alinea,Ville,9,612,1008,CIDFont+F2,#000,341,356,330,340,8394,,,
O,I-Alinea,de,9,612,1008,CIDFont+F2,#000,358,367,330,340,8394,,,
O,I-Alinea,Sainte-Adèle.,9,612,1008,CIDFont+F2,#000,370,419,330,340,8394,,,
O,B-Article,4.,9,612,1008,CIDFont+F3,#222,85,92,359,369,8423,,,
O,I-Article,Domaine,9,612,1008,CIDFont+F3,#000,113,148,359,369,8423,,,
O,I-Article,d’application,9,612,1008,CIDFont+F3,#000,150,201,359,369,8423,,,
O,B-Alinea,La,9,612,1008,CIDFont+F2,#000,85,94,377,387,8441,,,
O,I-Alinea,délivrance,9,612,1008,CIDFont+F2,#000,96,134,377,387,8441,,,
O,I-Alinea,d’un,9,612,1008,CIDFont+F2,#000,136,152,377,387,8441,,,
O,I-Alinea,permis,9,612,1008,CIDFont+F2,#000,154,179,377,387,8441,,,
O,I-Alinea,ou,9,612,1008,CIDFont+F2,#000,181,190,377,387,8441,,,
O,I-Alinea,certificat,9,612,1008,CIDFont+F2,#000,192,223,377,387,8441,,,
O,I-Alinea,d’autorisation,9,612,1008,CIDFont+F2,#000,225,274,377,387,8441,,,
O,I-Alinea,doit,9,612,1008,CIDFont+F2,#000,276,289,377,387,8441,,,
O,I-Alinea,se,9,612,1008,CIDFont+F2,#000,292,300,377,387,8441,,,
O,I-Alinea,faire,9,612,1008,CIDFont+F2,#000,302,318,377,387,8441,,,
O,I-Alinea,en,9,612,1008,CIDFont+F2,#000,321,330,377,387,8441,,,
O,I-Alinea,conformité,9,612,1008,CIDFont+F2,#000,332,371,377,387,8441,,,
O,I-Alinea,avec,9,612,1008,CIDFont+F2,#000,373,390,377,387,8441,,,
O,I-Alinea,les,9,612,1008,CIDFont+F2,#000,392,403,377,387,8441,,,
O,I-Alinea,dispositions,9,612,1008,CIDFont+F2,#000,405,448,377,387,8441,,,
O,I-Alinea,du,9,612,1008,CIDFont+F2,#000,450,459,377,387,8441,,,
O,I-Alinea,règlement.,9,612,1008,CIDFont+F2,#000,462,501,377,387,8441,,,
O,B-Article,5.,9,612,1008,CIDFont+F3,#222,85,92,406,416,8470,,,
O,I-Article,Dispositions,9,612,1008,CIDFont+F3,#000,113,163,406,416,8470,,,
O,I-Article,des,9,612,1008,CIDFont+F3,#000,165,179,406,416,8470,,,
O,I-Article,lois,9,612,1008,CIDFont+F3,#000,181,196,406,416,8470,,,
O,I-Article,et,9,612,1008,CIDFont+F3,#000,198,205,406,416,8470,,,
O,I-Article,d’autres,9,612,1008,CIDFont+F3,#000,207,239,406,416,8470,,,
O,I-Article,règlements,9,612,1008,CIDFont+F3,#000,241,285,406,416,8470,,,
O,B-Alinea,Aucune,9,612,1008,CIDFont+F2,#000,85,113,424,434,8488,,,
