sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,O,ZC.1-001,1,3370,2384,QDBAAA+TahomaGras,#000,1196,1306,95,119,95,,,
O,O,ZC.3-001,1,3370,2384,QDBAAA+TahomaGras,#000,1923,2034,95,119,95,,,
O,O,AGRANDISSEMENT,1,3370,2384,QDBAAA+TahomaGras,#000,72,418,104,140,104,,,
O,O,1,1,3370,2384,QDBAAA+TahomaGras,#000,428,451,104,140,104,,,
O,O,T3.1,1,3370,2384,QDBAAA+TahomaGras,#000,2537,2590,165,189,165,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,2597,2607,165,189,165,,,
O,O,015,1,3370,2384,QDBAAA+TahomaGras,#000,2614,2660,165,189,165,,,
O,O,CE,1,3370,2384,QDBAAA+TahomaGras,#000,1658,1689,203,228,203,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1696,1707,203,228,203,,,
O,O,001,1,3370,2384,QDBAAA+TahomaGras,#000,1714,1760,203,228,203,,,
O,O,CE-002,1,3370,2384,QDBAAA+TahomaGras,#000,1897,1961,221,239,221,,,
O,O,T3.2,1,3370,2384,QDBAAA+TahomaGras,#000,153,206,223,247,223,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,213,223,223,247,223,,,
O,O,006,1,3370,2384,QDBAAA+TahomaGras,#000,230,276,223,247,223,,,
O,O,CU-001,1,3370,2384,QDBAAA+TahomaGras,#fff,2019,2110,226,251,226,,,
O,O,T4.3,1,3370,2384,QDBAAA+TahomaGras,#000,1330,1379,253,275,253,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1385,1395,253,275,253,,,
O,O,001,1,3370,2384,QDBAAA+TahomaGras,#000,1402,1444,253,275,253,,,
O,O,T4.1,1,3370,2384,QDBAAA+TahomaGras,#000,744,797,283,307,283,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,804,814,283,307,283,,,
O,O,002,1,3370,2384,QDBAAA+TahomaGras,#000,821,867,283,307,283,,,
O,O,ZC.1-002,1,3370,2384,QDBAAA+TahomaGras,#000,1208,1319,329,353,329,,,
O,O,T5.2,1,3370,2384,QDBAAA+TahomaGras,#000,1802,1841,360,378,360,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1846,1854,360,378,360,,,
O,O,001,1,3370,2384,QDBAAA+TahomaGras,#000,1859,1893,360,378,360,,,
O,O,CI-001,1,3370,2384,QDBAAA+TahomaGras,#000,2009,2093,363,387,363,,,
O,O,T4.1,1,3370,2384,QDBAAA+TahomaGras,#000,1514,1567,386,410,386,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1574,1584,386,410,386,,,
O,O,003,1,3370,2384,QDBAAA+TahomaGras,#000,1592,1638,386,410,386,,,
O,O,T3.3,1,3370,2384,QDBAAA+TahomaGras,#000,2551,2604,386,410,386,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,2611,2622,386,410,386,,,
O,O,006,1,3370,2384,QDBAAA+TahomaGras,#000,2629,2675,386,410,386,,,
O,O,ZC.1-003,1,3370,2384,QDBAAA+TahomaGras,#000,1343,1445,404,426,404,,,
O,O,T4.2,1,3370,2384,QDBAAA+TahomaGras,#000,1672,1725,450,474,450,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1732,1742,450,474,450,,,
O,O,001,1,3370,2384,QDBAAA+TahomaGras,#000,1749,1795,450,474,450,,,
O,O,T1.1,1,3370,2384,QDBAAA+TahomaGras,#000,1086,1139,479,503,479,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1146,1157,479,503,479,,,
O,O,005,1,3370,2384,QDBAAA+TahomaGras,#000,1164,1210,479,503,479,,,
O,O,T4.3,1,3370,2384,QDBAAA+TahomaGras,#000,1927,1980,512,536,512,,,
O,O,-,1,3370,2384,QDBAAA+TahomaGras,#000,1987,1997,512,536,512,,,
O,O,002,1,3370,2384,QDBAAA+TahomaGras,#000,2004,2050,512,536,512,,,
O,O,T5.1,1,3370,2384,QDBAAA+TahomaGras,#000,1639,1692,521,545,521,,,
