sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,O,V,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,161,171,233,246,233,3,P,Document;P
O,O,P,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,242,253,233,246,233,3,P,Document;P
O,O,ILLE,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,173,206,235,246,235,3,P,Document;P
O,O,DE,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,214,234,235,246,235,3,P,Document;P
O,O,RÉVOST,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,255,318,235,246,235,3,P,Document;P
O,O,R,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,161,173,268,282,268,6,P,Document;P
O,O,C,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,417,430,268,282,268,6,P,Document;P
O,O,ÈGLEMENT,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,175,261,271,282,271,6,P,Document;P
O,O,CONSTITUANT,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,269,383,271,282,271,6,P,Document;P
O,O,LE,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,392,409,271,282,271,6,P,Document;P
O,O,OMITÉ,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,432,482,271,282,271,6,P,Document;P
O,O,’,1,612,792,BCDGEE+Swiss721BT-BoldExtended,#000,293,298,285,299,285,6,P,Document;P
O,O,O,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,417,424,285,292,285,6,P,Document;P
O,O,605,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,432,466,285,299,285,6,P,Document;P
O,O,CONSULTATIF,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,161,273,287,298,287,6,P,Document;P
O,O,D,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,281,291,287,298,287,6,P,Document;P
O,O,URBANISME,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,300,397,287,298,287,6,P,Document;P
O,O,N,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,405,415,287,298,287,6,P,Document;P
O,O,C,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,161,173,309,323,309,7,P,Document;P
O,O,–,1,612,792,BCDHEE+Swiss721BT-RomanExtended,#f00,369,376,309,323,309,7,P,Document;P
O,O,–,1,612,792,BCDHEE+Swiss721BT-RomanExtended,#f00,534,541,309,323,309,7,P,Document;P
O,O,ODIFICATION,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,173,252,311,322,311,7,P,Document;P
O,O,ADMINISTRATIVE,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,259,362,311,322,311,7,P,Document;P
O,O,SANS,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,383,417,311,322,311,7,P,Document;P
O,O,VALEUR,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,424,473,311,322,311,7,P,Document;P
O,O,LÉGALE,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,480,527,311,322,311,7,P,Document;P
O,O,21,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,266,285,326,340,326,7,P,Document;P
O,O,2023,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,327,365,326,340,326,7,P,Document;P
O,O,MISE,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,161,191,328,339,328,7,P,Document;P
O,O,À,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,195,203,328,339,328,7,P,Document;P
O,O,JOUR,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,207,240,328,339,328,7,P,Document;P
O,O,DU,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,244,262,328,339,328,7,P,Document;P
O,O,AVRIL,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#f00,288,324,328,339,328,7,P,Document;P
O,O,24,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,161,172,580,588,580,33,P,Document;P
O,O,novembre,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,175,223,580,588,580,33,P,Document;P
O,O,2008,1,612,792,BCDFEE+Swiss721BT-BoldExtended,#000,226,249,580,588,580,33,P,Document;P
O,O,Réalisé,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,161,188,608,615,608,36,P,Document;P
O,O,par,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,190,203,608,615,608,36,P,Document;P
O,O,:,1,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,205,207,608,615,608,36,P,Document;P
O,I-Alinea,PROVINCE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,161,213,110,118,1694,0,P,Document;P
O,I-Alinea,DE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,215,229,110,118,1694,0,P,Document;P
O,I-Alinea,QUÉBEC,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,232,274,110,118,1694,0,P,Document;P
O,I-Alinea,VILLE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,161,188,120,129,1704,1,P,Document;P
O,I-Alinea,DE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,190,204,120,129,1704,1,P,Document;P
O,I-Alinea,PRÉVOST,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,207,254,120,129,1704,1,P,Document;P
O,I-Alinea,RÈGLEMENT,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,444,507,227,236,1811,11,P,Document;P
O,I-Alinea,NO,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,509,521,227,236,1811,11,P,Document;P
B-Numero,I-Alinea,605,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,523,541,227,236,1811,11,P,Document;P
B-Titre,B-Titre,RÈGLEMENT,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,390,453,261,270,1845,14,P,Document;P
I-Titre,I-Titre,CONSTITUANT,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,455,527,261,270,1845,14,P,Document;P
I-Titre,I-Titre,LE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,529,541,261,270,1845,14,P,Document;P
I-Titre,I-Titre,COMITÉ,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,430,469,272,281,1856,15,P,Document;P
I-Titre,I-Titre,CONSULTATIF,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,472,541,272,281,1856,15,P,Document;P
I-Titre,I-Titre,D’URBANISME,3,612,792,BCDHEE+Swiss721BT-RomanExtended,#000,470,541,283,292,1867,15,P,Document;P
O,B-Alinea,AVIS,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,161,184,359,368,1943,22,P,Document;P
O,I-Alinea,DE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,186,200,359,368,1943,22,P,Document;P
O,I-Alinea,MOTION,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,202,243,359,368,1943,22,P,Document;P
O,I-Alinea,:,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,246,249,359,368,1943,22,P,Document;P
O,I-Alinea,15,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,302,314,359,368,1943,22,P,Document;P
O,I-Alinea,OCTOBRE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,317,366,359,368,1943,22,P,Document;P
O,I-Alinea,2008,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,369,393,359,368,1943,22,P,Document;P
O,B-Alinea,ADOPTION,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,161,214,380,389,1964,24,P,Document;P
O,I-Alinea,:,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,217,220,380,389,1964,24,P,Document;P
O,I-Alinea,24,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,302,314,380,389,1964,24,P,Document;P
O,I-Alinea,NOVEMBRE,3,612,792,BCDEEE+Swiss721BT-RomanExtended,#000,317,375,380,389,1964,24,P,Document;P
