sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,TITRE,1,612,792,UYGWGJ+Gilroy-Bold,#fff,54,114,641,665,641,0,H1,Document;Sect;H1
I-Titre,I-Titre,10,1,612,792,UYGWGJ+Gilroy-Bold,#fff,120,144,641,665,641,0,H1,Document;Sect;H1
I-Titre,I-Titre,Territoires,1,612,792,UYGWGJ+Gilroy-Bold,#fff,167,280,641,665,641,0,H1,Document;Sect;H1
I-Titre,I-Titre,particuliers,1,612,792,UYGWGJ+Gilroy-Bold,#fff,286,412,641,665,641,0,H1,Document;Sect;H1
B-Titre,B-Tete,PIIA,14,612,792,UYGWGJ+Gilroy-Bold,#e43,54,70,44,53,10340,,Artifact,
I-Titre,I-Tete,TITRE,14,612,792,UYGWGJ+Gilroy-Bold,#e43,444,467,44,53,10340,,Artifact,
I-Titre,I-Tete,10,14,612,792,UYGWGJ+Gilroy-Bold,#e43,469,478,44,53,10340,,Artifact,
I-Titre,I-Tete,–,14,612,792,UYGWGJ+Gilroy-Bold,#e43,481,485,45,52,10341,,Artifact,
I-Titre,I-Tete,Territoires,14,612,792,UYGWGJ+Gilroy-Bold,#e43,487,520,45,52,10341,,Artifact,
I-Titre,I-Tete,particuliers,14,612,792,UYGWGJ+Gilroy-Bold,#e43,522,558,45,52,10341,,Artifact,
O,B-Alinea,"1331,",14,612,792,VFTXUH+Gilroy-Regular,#000,60,75,77,85,10373,1,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,rue,14,612,792,VFTXUH+Gilroy-Regular,#000,78,89,77,85,10373,1,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,Victor,14,612,792,VFTXUH+Gilroy-Regular,#000,91,112,77,85,10373,1,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,"Implantation,",14,612,792,VFTXUH+Gilroy-Regular,#000,229,278,77,85,10373,3,P,Document;Sect;Table;TR;TD;P
O,I-Alinea,volumétrie,14,612,792,VFTXUH+Gilroy-Regular,#000,280,319,77,85,10373,3,P,Document;Sect;Table;TR;TD;P
O,I-Alinea,"1299,",14,612,792,VFTXUH+Gilroy-Regular,#000,60,77,95,103,10391,6,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,rue,14,612,792,VFTXUH+Gilroy-Regular,#000,79,91,95,103,10391,6,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,Louis-Morin,14,612,792,VFTXUH+Gilroy-Regular,#000,93,135,95,103,10391,6,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,"Volumétrie,",14,612,792,VFTXUH+Gilroy-Regular,#000,229,270,95,103,10391,8,P,Document;Sect;Table;TR;TD;P
O,I-Alinea,"ouvertures,",14,612,792,VFTXUH+Gilroy-Regular,#000,272,313,95,103,10391,8,P,Document;Sect;Table;TR;TD;P
O,I-Alinea,"revêtements,",14,612,792,VFTXUH+Gilroy-Regular,#000,315,363,95,103,10391,8,P,Document;Sect;Table;TR;TD;P
O,I-Alinea,galeries,14,612,792,VFTXUH+Gilroy-Regular,#000,365,394,95,103,10391,8,P,Document;Sect;Table;TR;TD;P
O,I-Alinea,"683,",14,612,792,VFTXUH+Gilroy-Regular,#000,60,74,112,120,10408,11,P,Document;Sect;Table;TR;TH;P
O,I-Alinea,rue,14,612,792,VFTXUH+Gilroy-Regular,#000,76,88,112,120,10408,11,P,Document;Sect;Table;TR;TH;P
