sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Section,16.4,51,612,1008,BCDLEE+Lato,#444,120,144,116,128,48176,0,P,H4
O,I-Section,Boulevard,51,612,1008,BCDLEE+Lato,#444,149,203,116,128,48176,0,P,H4
O,I-Section,"Sainte-Adèle,",51,612,1008,BCDLEE+Lato,#444,206,276,116,128,48176,0,P,H4
O,I-Section,Nord,51,612,1008,BCDLEE+Lato,#444,280,307,116,128,48176,0,P,H4
O,I-Section,et,51,612,1008,BCDLEE+Lato,#444,310,320,116,128,48176,0,P,H4
O,I-Section,Sud,51,612,1008,BCDLEE+Lato,#444,323,343,116,128,48176,0,P,H4
O,B-Alinea,Développer,51,612,1008,BCDMEE+Lato,#555,113,160,142,151,48202,1,P,H1
O,I-Alinea,un,51,612,1008,BCDMEE+Lato,#555,162,172,142,151,48202,1,P,H1
O,I-Alinea,Programme,51,612,1008,BCDMEE+Lato,#555,175,220,142,151,48202,1,P,H1
O,I-Alinea,particulier,51,612,1008,BCDMEE+Lato,#555,223,263,142,151,48202,1,P,H1
O,I-Alinea,d’urbanisme,51,612,1008,BCDMEE+Lato,#555,265,313,142,151,48202,1,P,H1
O,I-Alinea,pour,51,612,1008,BCDMEE+Lato,#555,316,334,142,151,48202,1,P,H1
O,I-Alinea,le,51,612,1008,BCDMEE+Lato,#555,337,343,142,151,48202,1,P,H1
O,I-Alinea,secteur,51,612,1008,BCDMEE+Lato,#555,346,375,142,151,48202,1,P,H1
O,I-Alinea,commercial,51,612,1008,BCDMEE+Lato,#555,378,423,142,151,48202,1,P,H1
O,I-Alinea,artériel,51,612,1008,BCDMEE+Lato,#555,425,453,142,151,48202,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,456,465,142,151,48202,1,P,H1
O,I-Alinea,la,51,612,1008,BCDMEE+Lato,#555,468,475,142,151,48202,1,P,H1
O,I-Alinea,route,51,612,1008,BCDMEE+Lato,#555,477,498,142,151,48202,1,P,H1
O,I-Alinea,117.,51,612,1008,BCDLEE+Lato,#555,113,131,154,163,48214,1,P,H1
O,I-Alinea,Se,51,612,1008,BCDLEE+Lato,#555,136,145,154,163,48214,1,P,H1
O,I-Alinea,situant,51,612,1008,BCDLEE+Lato,#555,149,177,154,163,48214,1,P,H1
O,I-Alinea,des,51,612,1008,BCDLEE+Lato,#555,181,195,154,163,48214,1,P,H1
O,I-Alinea,limites,51,612,1008,BCDLEE+Lato,#555,199,224,154,163,48214,1,P,H1
O,I-Alinea,de,51,612,1008,BCDLEE+Lato,#555,229,239,154,163,48214,1,P,H1
O,I-Alinea,la,51,612,1008,BCDLEE+Lato,#555,243,249,154,163,48214,1,P,H1
O,I-Alinea,municipalité,51,612,1008,BCDLEE+Lato,#555,254,302,154,163,48214,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,306,316,154,163,48214,1,P,H1
O,I-Alinea,Piedmont,51,612,1008,BCDMEE+Lato,#555,320,358,154,163,48214,1,P,H1
O,I-Alinea,jusqu’au,51,612,1008,BCDMEE+Lato,#555,363,395,154,163,48214,1,P,H1
O,I-Alinea,pont,51,612,1008,BCDMEE+Lato,#555,400,418,154,163,48214,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,422,432,154,163,48214,1,P,H1
O,I-Alinea,la,51,612,1008,BCDMEE+Lato,#555,436,443,154,163,48214,1,P,H1
O,I-Alinea,sortie,51,612,1008,BCDMEE+Lato,#555,447,470,154,163,48214,1,P,H1
O,I-Alinea,67,51,612,1008,BCDMEE+Lato,#555,474,484,154,163,48214,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,489,499,154,163,48214,1,P,H1
O,I-Alinea,l’autoroute,51,612,1008,BCDMEE+Lato,#555,113,157,167,176,48227,1,P,H1
O,I-Alinea,15,51,612,1008,BCDMEE+Lato,#555,159,170,167,176,48227,1,P,H1
O,I-Alinea,et,51,612,1008,BCDMEE+Lato,#555,173,181,167,176,48227,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,183,193,167,176,48227,1,P,H1
O,I-Alinea,l’intersection,51,612,1008,BCDMEE+Lato,#555,196,247,167,176,48227,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,249,259,167,176,48227,1,P,H1
O,I-Alinea,la,51,612,1008,BCDMEE+Lato,#555,262,268,167,176,48227,1,P,H1
O,I-Alinea,rue,51,612,1008,BCDMEE+Lato,#555,271,284,167,176,48227,1,P,H1
O,I-Alinea,Dumouchel,51,612,1008,BCDMEE+Lato,#555,287,332,167,176,48227,1,P,H1
O,I-Alinea,à,51,612,1008,BCDMEE+Lato,#555,335,340,167,176,48227,1,P,H1
O,I-Alinea,la,51,612,1008,BCDMEE+Lato,#555,342,349,167,176,48227,1,P,H1
O,I-Alinea,frontière,51,612,1008,BCDMEE+Lato,#555,351,386,167,176,48227,1,P,H1
O,I-Alinea,avec,51,612,1008,BCDMEE+Lato,#555,389,407,167,176,48227,1,P,H1
O,I-Alinea,la,51,612,1008,BCDMEE+Lato,#555,410,416,167,176,48227,1,P,H1
O,I-Alinea,municipalité,51,612,1008,BCDMEE+Lato,#555,419,467,167,176,48227,1,P,H1
O,I-Alinea,de,51,612,1008,BCDMEE+Lato,#555,470,479,167,176,48227,1,P,H1
O,I-Alinea,Val-,51,612,1008,BCDMEE+Lato,#555,482,499,167,176,48227,1,P,H1
O,I-Alinea,Morin.,51,612,1008,BCDLEE+Lato,#555,113,140,179,188,48239,1,P,H1
O,B-Article,16.4.1,51,612,1008,BCDLEE+Lato,#444,113,141,202,212,48262,2,P,H2
O,I-Article,Principes,51,612,1008,BCDLEE+Lato,#444,149,189,202,212,48262,2,P,H2
O,I-Article,applicables,51,612,1008,BCDLEE+Lato,#444,192,240,202,212,48262,2,P,H2
O,I-Article,aux,51,612,1008,BCDLEE+Lato,#444,243,258,202,212,48262,2,P,H2
O,I-Article,secteurs,51,612,1008,BCDLEE+Lato,#444,261,298,202,212,48262,2,P,H2
O,I-Article,Nord,51,612,1008,BCDLEE+Lato,#444,300,323,202,212,48262,2,P,H2
O,I-Article,et,51,612,1008,BCDLEE+Lato,#444,325,334,202,212,48262,2,P,H2
O,I-Article,Sud,51,612,1008,BCDLEE+Lato,#444,337,353,202,212,48262,2,P,H2
O,B-Liste,"Développer,",51,612,1008,BCDLEE+Lato,#555,113,162,221,230,48281,3,P,H1
O,I-Liste,pour,51,612,1008,BCDLEE+Lato,#555,169,187,221,230,48281,3,P,H1
O,I-Liste,ce,51,612,1008,BCDLEE+Lato,#555,194,203,221,230,48281,3,P,H1
O,I-Liste,"secteur,",51,612,1008,BCDLEE+Lato,#555,209,241,221,230,48281,3,P,H1
O,I-Liste,une,51,612,1008,BCDLEE+Lato,#555,247,262,221,230,48281,3,P,H1
O,I-Liste,stratégie,51,612,1008,BCDLEE+Lato,#555,269,303,221,230,48281,3,P,H1
O,I-Liste,de,51,612,1008,BCDLEE+Lato,#555,310,320,221,230,48281,3,P,H1
O,I-Liste,développement,51,612,1008,BCDLEE+Lato,#555,327,389,221,230,48281,3,P,H1
O,I-Liste,commercial,51,612,1008,BCDLEE+Lato,#555,395,441,221,230,48281,3,P,H1
O,I-Liste,et,51,612,1008,BCDLEE+Lato,#555,447,455,221,230,48281,3,P,H1
O,I-Liste,industriel,51,612,1008,BCDLEE+Lato,#555,462,499,221,230,48281,3,P,H1
O,I-Liste,complémentaire,51,612,1008,BCDLEE+Lato,#555,113,177,234,243,48294,3,P,H1
O,I-Liste,selon,51,612,1008,BCDLEE+Lato,#555,180,200,234,243,48294,3,P,H1
O,I-Liste,les,51,612,1008,BCDLEE+Lato,#555,203,213,234,243,48294,3,P,H1
O,I-Liste,principes,51,612,1008,BCDLEE+Lato,#555,216,251,234,243,48294,3,P,H1
O,I-Liste,suivants,51,612,1008,BCDLEE+Lato,#555,254,286,234,243,48294,3,P,H1
O,I-Liste,:,51,612,1008,BCDLEE+Lato,#555,289,291,234,243,48294,3,P,H1
O,B-Liste,•,51,612,1008,SymbolMT,#000,149,153,256,265,48316,4,P,H1
O,I-Liste,Favoriser,51,612,1008,BCDMEE+Lato,#555,167,204,256,265,48316,4,P,H1
O,I-Liste,l’implantation,51,612,1008,BCDMEE+Lato,#555,206,259,256,265,48316,4,P,H1
O,I-Liste,d’entreprises,51,612,1008,BCDMEE+Lato,#555,261,312,256,265,48316,4,P,H1
O,I-Liste,génératrices,51,612,1008,BCDMEE+Lato,#555,315,363,256,265,48316,4,P,H1
O,I-Liste,d’emploi,51,612,1008,BCDMEE+Lato,#555,365,399,256,265,48316,4,P,H1
O,I-Liste,et,51,612,1008,BCDMEE+Lato,#555,401,409,256,265,48316,4,P,H1
O,I-Liste,génératrices,51,612,1008,BCDMEE+Lato,#555,411,460,256,265,48316,4,P,H1
O,I-Liste,de,51,612,1008,BCDMEE+Lato,#555,462,472,256,265,48316,4,P,H1
O,I-Liste,valeur,51,612,1008,BCDMEE+Lato,#555,474,498,256,265,48316,4,P,H1
O,I-Liste,ajoutée,51,612,1008,BCDLEE+Lato,#555,167,196,269,278,48329,4,P,H1
O,I-Liste,sur,51,612,1008,BCDLEE+Lato,#555,199,211,269,278,48329,4,P,H1
O,I-Liste,le,51,612,1008,BCDLEE+Lato,#555,213,220,269,278,48329,4,P,H1
O,I-Liste,territoire,51,612,1008,BCDLEE+Lato,#555,222,258,269,278,48329,4,P,H1
O,I-Liste,;,51,612,1008,BCDLEE+Lato,#555,260,262,269,278,48329,4,P,H1
O,B-Liste,•,51,612,1008,SymbolMT,#000,149,153,291,300,48351,5,P,H1
O,I-Liste,Mettre,51,612,1008,BCDMEE+Lato,#555,167,194,291,300,48351,5,P,H1
O,I-Liste,en,51,612,1008,BCDMEE+Lato,#555,200,210,291,300,48351,5,P,H1
O,I-Liste,place,51,612,1008,BCDMEE+Lato,#555,216,236,291,300,48351,5,P,H1
O,I-Liste,une,51,612,1008,BCDMEE+Lato,#555,242,257,291,300,48351,5,P,H1
O,I-Liste,structure,51,612,1008,BCDMEE+Lato,#555,262,298,291,300,48351,5,P,H1
O,I-Liste,d’accueil,51,612,1008,BCDMEE+Lato,#555,304,338,291,300,48351,5,P,H1
O,I-Liste,pour,51,612,1008,BCDMEE+Lato,#555,344,362,291,300,48351,5,P,H1
O,I-Liste,les,51,612,1008,BCDMEE+Lato,#555,368,379,291,300,48351,5,P,H1
O,I-Liste,entreprises,51,612,1008,BCDMEE+Lato,#555,385,429,291,300,48351,5,P,H1
O,I-Liste,et,51,612,1008,BCDMEE+Lato,#555,434,442,291,300,48351,5,P,H1
O,I-Liste,faciliter,51,612,1008,BCDLEE+Lato,#555,448,478,291,300,48351,5,P,H1
O,I-Liste,leur,51,612,1008,BCDLEE+Lato,#555,484,499,291,300,48351,5,P,H1
O,I-Liste,implantation,51,612,1008,BCDLEE+Lato,#555,167,216,304,313,48364,5,P,H1
