sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Tete,Stationnement,213,612,792,QZBYXM+Arial-BoldMT,#000,316,392,39,50,167943,,Artifact,
O,I-Tete,et,213,612,792,QZBYXM+Arial-BoldMT,#000,395,405,39,50,167943,,Artifact,
O,I-Tete,accès,213,612,792,QZBYXM+Arial-BoldMT,#000,408,438,39,50,167943,,Artifact,
O,I-Tete,aux,213,612,792,QZBYXM+Arial-BoldMT,#000,442,461,39,50,167943,,Artifact,
O,I-Tete,emplacements,213,612,792,QZBYXM+Arial-BoldMT,#000,464,540,39,50,167943,,Artifact,
O,B-Alinea,captation,213,612,792,GCDQNG+ArialMT,#000,162,207,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,des,213,612,792,GCDQNG+ArialMT,#000,210,227,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,eaux,213,612,792,GCDQNG+ArialMT,#000,230,254,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,pluviales,213,612,792,GCDQNG+ArialMT,#000,257,300,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,approuvé,213,612,792,GCDQNG+ArialMT,#000,303,349,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,par,213,612,792,GCDQNG+ArialMT,#000,352,367,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,le,213,612,792,GCDQNG+ArialMT,#000,370,379,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,service,213,612,792,GCDQNG+ArialMT,#000,382,417,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,des,213,612,792,GCDQNG+ArialMT,#000,420,437,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,travaux,213,612,792,GCDQNG+ArialMT,#000,440,476,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,publics,213,612,792,GCDQNG+ArialMT,#000,479,513,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,de,213,612,792,GCDQNG+ArialMT,#000,516,529,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,la,213,612,792,GCDQNG+ArialMT,#000,532,540,75,86,167979,0,P,Document;Sect;P
O,I-Alinea,Ville.,213,612,792,GCDQNG+ArialMT,#000,162,186,87,99,167991,0,P,Document;Sect;P
O,B-Article,12.1.9,213,612,792,GCDQNG+ArialMT,#000,108,139,112,123,168016,1,H3,Document;Sect;H3
O,I-Article,Aménagement,213,612,792,QZBYXM+Arial-BoldMT,#000,162,237,113,124,168017,1,H3,Document;Sect;H3
O,I-Article,et,213,612,792,QZBYXM+Arial-BoldMT,#000,240,249,113,124,168017,1,H3,Document;Sect;H3
O,I-Article,tenue,213,612,792,QZBYXM+Arial-BoldMT,#000,252,281,113,124,168017,1,H3,Document;Sect;H3
O,I-Article,des,213,612,792,QZBYXM+Arial-BoldMT,#000,284,303,113,124,168017,1,H3,Document;Sect;H3
O,I-Article,aires,213,612,792,QZBYXM+Arial-BoldMT,#000,306,331,113,124,168017,1,H3,Document;Sect;H3
O,I-Article,de,213,612,792,QZBYXM+Arial-BoldMT,#000,334,346,113,124,168017,1,H3,Document;Sect;H3
O,I-Article,stationnement,213,612,792,QZBYXM+Arial-BoldMT,#000,349,423,113,124,168017,1,H3,Document;Sect;H3
B-Amendement,B-Alinea,"(modifié,",213,612,792,GCDQNG+ArialMT,#000,108,139,130,138,168034,2,P,Document;Sect;P
I-Amendement,I-Alinea,règlement,213,612,792,GCDQNG+ArialMT,#000,141,177,130,138,168034,2,P,Document;Sect;P
I-Amendement,I-Alinea,numéro,213,612,792,GCDQNG+ArialMT,#000,179,206,130,138,168034,2,P,Document;Sect;P
