sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Tete,Ville,14,612,792,QZBYXM+Arial-BoldMT,#000,72,95,39,50,10335,,Artifact,
O,I-Tete,de,14,612,792,QZBYXM+Arial-BoldMT,#000,98,111,39,50,10335,,Artifact,
O,I-Tete,Sainte-Agathe-des-Monts,14,612,792,QZBYXM+Arial-BoldMT,#000,114,246,39,50,10335,,Artifact,
O,B-TOC,3.5.7,14,612,792,GCDQNG+ArialMT,#000,72,97,111,122,10407,2,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Demande,14,612,792,GCDQNG+ArialMT,#000,117,165,111,122,10407,2,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,suspendue,14,612,792,GCDQNG+ArialMT,#000,168,222,111,122,10407,2,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,..................................................................................,14,612,792,GCDQNG+ArialMT,#000,225,481,111,122,10407,2,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-19,14,612,792,GCDQNG+ArialMT,#000,482,504,111,122,10407,2,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.5.8,14,612,792,GCDQNG+ArialMT,#000,72,97,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Préparation,14,612,792,GCDQNG+ArialMT,#000,117,174,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,d'un,14,612,792,GCDQNG+ArialMT,#000,177,198,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,terrain,14,612,792,GCDQNG+ArialMT,#000,201,232,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,avant,14,612,792,GCDQNG+ArialMT,#000,235,262,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,le,14,612,792,GCDQNG+ArialMT,#000,265,273,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,début,14,612,792,GCDQNG+ArialMT,#000,276,304,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,des,14,612,792,GCDQNG+ArialMT,#000,307,325,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,travaux,14,612,792,GCDQNG+ArialMT,#000,328,364,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,.....................................,14,612,792,GCDQNG+ArialMT,#000,365,481,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-19,14,612,792,GCDQNG+ArialMT,#000,482,504,126,138,10422,6,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.5.9,14,612,792,GCDQNG+ArialMT,#000,72,97,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Nécessité,14,612,792,GCDQNG+ArialMT,#000,117,165,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,de,14,612,792,GCDQNG+ArialMT,#000,168,181,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,vérification,14,612,792,GCDQNG+ArialMT,#000,184,236,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,des,14,612,792,GCDQNG+ArialMT,#000,239,257,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,marges,14,612,792,GCDQNG+ArialMT,#000,260,297,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,..........................................................,14,612,792,GCDQNG+ArialMT,#000,300,481,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-19,14,612,792,GCDQNG+ArialMT,#000,482,504,142,153,10438,10,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.5.10,14,612,792,GCDQNG+ArialMT,#000,72,103,158,169,10454,14,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Abrogé,14,612,792,GCDQNG+ArialMT,#000,117,153,158,169,10454,14,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,.........................................................................................................,14,612,792,GCDQNG+ArialMT,#000,153,481,158,169,10454,14,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-20,14,612,792,GCDQNG+ArialMT,#000,482,504,158,169,10454,14,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.6,14,612,792,QZBYXM+Arial-BoldMT,#000,72,87,177,188,10473,18,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Certificat,14,612,792,QZBYXM+Arial-BoldMT,#000,117,165,177,188,10473,18,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,d'autorisation,14,612,792,QZBYXM+Arial-BoldMT,#000,168,240,177,188,10473,18,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,.............................................................................,14,612,792,QZBYXM+Arial-BoldMT,#000,240,481,177,188,10473,18,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-20,14,612,792,QZBYXM+Arial-BoldMT,#000,482,504,177,188,10473,18,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.6.1,14,612,792,GCDQNG+ArialMT,#000,72,97,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Nécessité,14,612,792,GCDQNG+ArialMT,#000,117,165,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,du,14,612,792,GCDQNG+ArialMT,#000,168,181,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,certificat,14,612,792,GCDQNG+ArialMT,#000,184,225,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,d'autorisation,14,612,792,GCDQNG+ArialMT,#000,228,293,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,............................................................,14,612,792,GCDQNG+ArialMT,#000,293,481,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-20,14,612,792,GCDQNG+ArialMT,#000,482,504,192,203,10488,22,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.6.2,14,612,792,GCDQNG+ArialMT,#000,72,97,208,219,10504,26,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Forme,14,612,792,GCDQNG+ArialMT,#000,117,149,208,219,10504,26,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,de,14,612,792,GCDQNG+ArialMT,#000,152,164,208,219,10504,26,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,la,14,612,792,GCDQNG+ArialMT,#000,167,176,208,219,10504,26,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,demande..................................................................................,14,612,792,GCDQNG+ArialMT,#000,179,481,208,219,10504,26,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-21,14,612,792,GCDQNG+ArialMT,#000,482,504,208,219,10504,26,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.6.3,14,612,792,GCDQNG+ArialMT,#000,72,97,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Suite,14,612,792,GCDQNG+ArialMT,#000,117,142,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,à,14,612,792,GCDQNG+ArialMT,#000,145,151,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,la,14,612,792,GCDQNG+ArialMT,#000,154,163,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,demande,14,612,792,GCDQNG+ArialMT,#000,166,212,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,......................................................................................,14,612,792,GCDQNG+ArialMT,#000,212,481,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-31,14,612,792,GCDQNG+ArialMT,#000,482,504,223,234,10519,30,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3.6.4,14,612,792,GCDQNG+ArialMT,#000,72,97,239,250,10535,34,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,Menus,14,612,792,GCDQNG+ArialMT,#000,117,150,239,250,10535,34,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,travaux,14,612,792,GCDQNG+ArialMT,#000,153,189,239,250,10535,34,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,.............................................................................................,14,612,792,GCDQNG+ArialMT,#000,190,481,239,250,10535,34,Reference,Document;Sect;TOC;TOCI;Reference
O,I-TOC,3-32,14,612,792,GCDQNG+ArialMT,#000,482,504,239,250,10535,34,Reference,Document;Sect;TOC;TOCI;Reference
