sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Chapitre,CHAPITRE,7,612,792,QZBYXM+Arial-BoldMT,#000,108,180,102,116,4854,24,H1,Document;Sect;H1
O,I-Chapitre,23,7,612,792,QZBYXM+Arial-BoldMT,#000,184,199,102,116,4854,24,H1,Document;Sect;H1
O,I-Chapitre,USAGES,7,612,792,QZBYXM+Arial-BoldMT,#000,216,274,102,116,4854,24,H1,Document;Sect;H1
O,I-Chapitre,CONDITIONNELS,7,612,792,QZBYXM+Arial-BoldMT,#000,278,392,102,116,4854,24,H1,Document;Sect;H1
O,B-Article,23.1,7,612,792,QZBYXM+Arial-BoldMT,#000,108,129,161,172,4913,1,H2,Document;Sect;H2
O,I-Article,Disposition,7,612,792,QZBYXM+Arial-BoldMT,#000,162,222,161,172,4913,2,Span,Document;Sect;H2;Span
O,I-Article,générale,7,612,792,QZBYXM+Arial-BoldMT,#000,225,270,161,172,4913,2,Span,Document;Sect;H2;Span
O,B-Article,23.1.1,7,612,792,GCDQNG+ArialMT,#000,111,142,185,196,4937,4,H3,Document;Sect;H3
O,I-Article,Règlement,7,612,792,QZBYXM+Arial-BoldMT,#000,165,220,185,196,4937,4,H3,Document;Sect;H3
O,I-Article,remplacé,7,612,792,QZBYXM+Arial-BoldMT,#000,223,271,185,196,4937,4,H3,Document;Sect;H3
O,B-Alinea,Le,7,612,792,GCDQNG+ArialMT,#000,165,177,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,présent,7,612,792,GCDQNG+ArialMT,#000,180,216,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,règlement,7,612,792,GCDQNG+ArialMT,#000,219,268,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,sur,7,612,792,GCDQNG+ArialMT,#000,270,286,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,les,7,612,792,GCDQNG+ArialMT,#000,288,302,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,usages,7,612,792,GCDQNG+ArialMT,#000,305,340,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,conditionnels,7,612,792,GCDQNG+ArialMT,#000,343,407,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,"remplace,",7,612,792,GCDQNG+ArialMT,#000,410,458,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,461,467,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,toutes,7,612,792,GCDQNG+ArialMT,#000,469,499,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,fins,7,612,792,GCDQNG+ArialMT,#000,502,519,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,que,7,612,792,GCDQNG+ArialMT,#000,522,540,203,214,4955,5,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,165,177,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,"droit,",7,612,792,GCDQNG+ArialMT,#000,181,205,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,le,7,612,792,GCDQNG+ArialMT,#000,210,218,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,règlement,7,612,792,GCDQNG+ArialMT,#000,222,271,216,227,4968,5,P,Document;Sect;P
B-Numero,I-Alinea,2003-U28,7,612,792,GCDQNG+ArialMT,#000,275,323,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,327,337,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,ses,7,612,792,GCDQNG+ArialMT,#000,341,358,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,amendements,7,612,792,GCDQNG+ArialMT,#000,362,431,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,435,448,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,la,7,612,792,GCDQNG+ArialMT,#000,452,460,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,Ville,7,612,792,GCDQNG+ArialMT,#000,464,485,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,489,501,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,Sainte-,7,612,792,GCDQNG+ArialMT,#000,505,540,216,227,4968,5,P,Document;Sect;P
O,I-Alinea,Agathe-des-Monts.,7,612,792,GCDQNG+ArialMT,#000,165,258,229,240,4981,5,P,Document;Sect;P
O,B-Article,23.1.2,7,612,792,GCDQNG+ArialMT,#000,108,139,253,264,5005,6,H3,Document;Sect;H3
O,I-Article,Territoire,7,612,792,QZBYXM+Arial-BoldMT,#000,162,209,254,265,5006,6,H3,Document;Sect;H3
O,I-Article,assujetti,7,612,792,QZBYXM+Arial-BoldMT,#000,212,256,254,265,5006,6,H3,Document;Sect;H3
O,B-Alinea,Le,7,612,792,GCDQNG+ArialMT,#000,165,177,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,présent,7,612,792,GCDQNG+ArialMT,#000,180,216,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,règlement,7,612,792,GCDQNG+ArialMT,#000,219,268,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,s'applique,7,612,792,GCDQNG+ArialMT,#000,270,319,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,322,328,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,l'ensemble,7,612,792,GCDQNG+ArialMT,#000,331,383,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,du,7,612,792,GCDQNG+ArialMT,#000,385,398,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,territoire,7,612,792,GCDQNG+ArialMT,#000,400,441,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,443,455,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,la,7,612,792,GCDQNG+ArialMT,#000,458,466,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,ville,7,612,792,GCDQNG+ArialMT,#000,469,488,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,490,503,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,Sainte-,7,612,792,GCDQNG+ArialMT,#000,505,540,272,283,5024,7,P,Document;Sect;P
O,I-Alinea,Agathe-des-Monts.,7,612,792,GCDQNG+ArialMT,#000,165,258,285,296,5037,7,P,Document;Sect;P
O,B-Article,23.1.3,7,612,792,GCDQNG+ArialMT,#000,108,139,309,320,5061,8,H3,Document;Sect;H3
O,I-Article,Interprétation,7,612,792,QZBYXM+Arial-BoldMT,#000,162,232,310,321,5062,8,H3,Document;Sect;H3
O,B-Alinea,Exception,7,612,792,GCDQNG+ArialMT,#000,165,213,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,faite,7,612,792,GCDQNG+ArialMT,#000,216,237,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,des,7,612,792,GCDQNG+ArialMT,#000,239,257,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,mots,7,612,792,GCDQNG+ArialMT,#000,260,284,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,définis,7,612,792,GCDQNG+ArialMT,#000,286,318,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,ci-après,7,612,792,GCDQNG+ArialMT,#000,321,360,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,363,372,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,au,7,612,792,GCDQNG+ArialMT,#000,375,387,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,Règlement,7,612,792,GCDQNG+ArialMT,#000,390,443,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,446,458,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,"zonage,",7,612,792,GCDQNG+ArialMT,#000,461,500,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,tous,7,612,792,GCDQNG+ArialMT,#000,502,523,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,les,7,612,792,GCDQNG+ArialMT,#000,526,540,328,339,5080,9,P,Document;Sect;P
O,I-Alinea,mots,7,612,792,GCDQNG+ArialMT,#000,165,189,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,utilisés,7,612,792,GCDQNG+ArialMT,#000,192,225,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,dans,7,612,792,GCDQNG+ArialMT,#000,228,252,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,ce,7,612,792,GCDQNG+ArialMT,#000,255,267,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,règlement,7,612,792,GCDQNG+ArialMT,#000,270,319,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,conservent,7,612,792,GCDQNG+ArialMT,#000,322,376,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,leur,7,612,792,GCDQNG+ArialMT,#000,379,397,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,signification,7,612,792,GCDQNG+ArialMT,#000,400,458,340,351,5092,9,P,Document;Sect;P
O,I-Alinea,habituelle.,7,612,792,GCDQNG+ArialMT,#000,461,511,340,351,5092,9,P,Document;Sect;P
O,B-Alinea,Dans,7,612,792,GCDQNG+ArialMT,#000,165,190,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,le,7,612,792,GCDQNG+ArialMT,#000,197,205,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,présent,7,612,792,GCDQNG+ArialMT,#000,212,248,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,"règlement,",7,612,792,GCDQNG+ArialMT,#000,255,306,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,313,319,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,moins,7,612,792,GCDQNG+ArialMT,#000,325,355,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,que,7,612,792,GCDQNG+ArialMT,#000,361,379,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,le,7,612,792,GCDQNG+ArialMT,#000,386,394,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,contexte,7,612,792,GCDQNG+ArialMT,#000,400,442,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,n'indique,7,612,792,GCDQNG+ArialMT,#000,448,492,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,un,7,612,792,GCDQNG+ArialMT,#000,498,511,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,sens,7,612,792,GCDQNG+ArialMT,#000,517,540,362,373,5114,10,P,Document;Sect;P
O,I-Alinea,"différent,",7,612,792,GCDQNG+ArialMT,#000,165,208,375,386,5127,10,P,Document;Sect;P
O,I-Alinea,on,7,612,792,GCDQNG+ArialMT,#000,211,223,375,386,5127,10,P,Document;Sect;P
O,I-Alinea,entend,7,612,792,GCDQNG+ArialMT,#000,226,260,375,386,5127,10,P,Document;Sect;P
O,I-Alinea,par,7,612,792,GCDQNG+ArialMT,#000,263,278,375,386,5127,10,P,Document;Sect;P
O,I-Alinea,:,7,612,792,GCDQNG+ArialMT,#000,282,285,375,386,5127,10,P,Document;Sect;P
O,B-Alinea,Centre,7,612,792,GCDQNG+ArialMT,#000,165,198,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,communautaire,7,612,792,GCDQNG+ArialMT,#000,200,276,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,socio-récréatif,7,612,792,GCDQNG+ArialMT,#000,279,348,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,350,363,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,villégiature,7,612,792,GCDQNG+ArialMT,#000,365,418,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,:,7,612,792,GCDQNG+ArialMT,#000,421,424,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,établissement,7,612,792,GCDQNG+ArialMT,#000,426,494,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,public,7,612,792,GCDQNG+ArialMT,#000,497,525,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,ou,7,612,792,GCDQNG+ArialMT,#000,528,540,396,407,5148,11,P,Document;Sect;P
O,I-Alinea,"privé,",7,612,792,GCDQNG+ArialMT,#000,165,192,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,195,201,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,but,7,612,792,GCDQNG+ArialMT,#000,204,219,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,non,7,612,792,GCDQNG+ArialMT,#000,222,240,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,"lucratif,",7,612,792,GCDQNG+ArialMT,#000,243,278,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,qui,7,612,792,GCDQNG+ArialMT,#000,281,296,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,offre,7,612,792,GCDQNG+ArialMT,#000,299,321,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,324,336,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,l'hébergement,7,612,792,GCDQNG+ArialMT,#000,339,408,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,411,423,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,groupe,7,612,792,GCDQNG+ArialMT,#000,426,460,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,pour,7,612,792,GCDQNG+ArialMT,#000,463,485,409,420,5161,11,P,Document;Sect;P
