sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,RÈGLEMENT,1,612,792,Helvetica-Bold,#000,231,319,404,418,404,11,P,Part;P
I-Titre,I-Titre,229-2018,1,612,792,Helvetica-Bold,#000,322,382,404,418,404,11,P,Part;P
I-Titre,I-Titre,RELATIF,1,612,792,Helvetica-Bold,#000,168,227,420,434,420,12,P,Part;P
I-Titre,I-Titre,AUX,1,612,792,Helvetica-Bold,#000,231,261,420,434,420,12,P,Part;P
I-Titre,I-Titre,USAGES,1,612,792,Helvetica-Bold,#000,265,324,420,434,420,12,P,Part;P
I-Titre,I-Titre,CONDITIONNELS,1,612,792,Helvetica-Bold,#000,328,444,420,434,420,12,P,Part;P
B-Titre,B-Tete,Règlement,3,612,792,Helvetica-Bold,#000,405,477,37,51,1621,,Artifact,
I-Titre,I-Tete,229-2018,3,612,792,Helvetica-Bold,#000,481,540,37,51,1621,,Artifact,
I-Titre,I-Tete,Relatif,3,612,792,Helvetica,#000,368,402,53,65,1637,,Artifact,
I-Titre,I-Tete,aux,3,612,792,Helvetica,#000,405,425,53,65,1637,,Artifact,
I-Titre,I-Tete,usages,3,612,792,Helvetica,#000,428,467,53,65,1637,,Artifact,
I-Titre,I-Tete,conditionnels,3,612,792,Helvetica,#000,470,540,53,65,1637,,Artifact,
O,B-Titre,TABLE,3,612,792,Helvetica-Bold,#000,72,112,117,129,1701,0,P,Part;TOC;TOCI
O,I-Titre,DES,3,612,792,Helvetica-Bold,#000,115,140,117,129,1701,0,P,Part;TOC;TOCI
O,I-Titre,MATIÈRES,3,612,792,Helvetica-Bold,#000,143,205,117,129,1701,0,P,Part;TOC;TOCI
O,B-TOC,1,3,612,792,Helvetica,#fff,54,60,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,CHAPITRE,3,612,792,Helvetica,#000,72,128,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,1,3,612,792,Helvetica,#000,130,136,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,:,3,612,792,Helvetica,#000,139,142,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,3,612,792,Helvetica,#000,145,223,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,"DÉCLARATOIRES,",3,612,792,Helvetica,#000,226,322,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,ADMINISTRATIVES,3,612,792,Helvetica,#000,324,424,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,ET,3,612,792,Helvetica,#000,426,440,145,156,1729,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,INTERPRÉTATIVES,3,612,792,Helvetica,#000,144,246,158,169,1742,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,.................................................................................,3,612,792,ABCDEE+Souvenir,#000,249,521,158,169,1742,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,1-1,3,612,792,ABCDEE+Souvenir,#000,523,540,158,169,1742,2,Span,Part;TOC;TOCI;Link;Span
O,I-TOC,1.1,3,612,792,Helvetica-Oblique,#000,90,105,180,191,1764,4,Span,Part;TOC;TOCI;Link;Span
