sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,RÈGLEMENT,1,612,792,Arial-BoldMT,#000,156,244,354,368,354,10,P,Document;P
I-Titre,I-Titre,RELATIF,1,612,792,Arial-BoldMT,#000,248,307,354,368,354,10,P,Document;P
I-Titre,I-Titre,AUX,1,612,792,Arial-BoldMT,#000,311,340,354,368,354,10,P,Document;P
I-Titre,I-Titre,CONDITIONS,1,612,792,Arial-BoldMT,#000,344,432,354,368,354,10,P,Document;P
I-Titre,I-Titre,DE,1,612,792,Arial-BoldMT,#000,436,456,354,368,354,10,P,Document;P
I-Titre,I-Titre,DÉLIVRANCE,1,612,792,Arial-BoldMT,#000,145,236,370,384,370,10,P,Document;P
I-Titre,I-Titre,DES,1,612,792,Arial-BoldMT,#000,240,269,370,384,370,10,P,Document;P
I-Titre,I-Titre,PERMIS,1,612,792,Arial-BoldMT,#000,273,327,370,384,370,10,P,Document;P
I-Titre,I-Titre,DE,1,612,792,Arial-BoldMT,#000,331,350,370,384,370,10,P,Document;P
I-Titre,I-Titre,CONSTRUCTION,1,612,792,Arial-BoldMT,#000,354,466,370,384,370,10,P,Document;P
O,B-Titre,Règlement,1,612,792,Arial-BoldMT,#000,211,283,387,401,387,11,P,Document;P
O,I-Titre,numéro,1,612,792,Arial-BoldMT,#000,287,338,387,401,387,11,P,Document;P
B-Numero,I-Titre,227-2008,1,612,792,Arial-BoldMT,#000,342,401,387,401,387,11,P,Document;P
O,B-Tete,1-2,6,612,792,TimesNewRomanPSMT,#000,72,88,37,49,3997,,Artifact,
O,B-Section,SECTION,6,612,792,ArialMT,#000,175,227,74,86,4034,0,P,Document;H2
O,I-Section,2,6,612,792,ArialMT,#000,229,236,74,86,4034,0,P,Document;H2
O,I-Section,:,6,612,792,ArialMT,#000,239,242,74,86,4034,0,P,Document;H2
O,I-Section,DISPOSITIONS,6,612,792,ArialMT,#000,245,328,74,86,4034,0,P,Document;H2
O,I-Section,INTERPRÉTATIVES,6,612,792,ArialMT,#000,331,438,74,86,4034,0,P,Document;H2
O,B-Article,7.,6,612,792,Arial-BoldMT,#000,72,82,102,114,4062,1,P,Document;H3
O,I-Article,UNITÉS,6,612,792,Arial-BoldMT,#000,108,152,102,114,4062,1,P,Document;H3
O,I-Article,DE,6,612,792,Arial-BoldMT,#000,155,172,102,114,4062,1,P,Document;H3
O,I-Article,MESURE,6,612,792,Arial-BoldMT,#000,175,227,102,114,4062,1,P,Document;H3
O,B-Alinea,Toute,6,612,792,ArialMT,#000,108,138,125,137,4085,2,P,Document;P
O,I-Alinea,mesure,6,612,792,ArialMT,#000,144,183,125,137,4085,2,P,Document;P
O,I-Alinea,employée,6,612,792,ArialMT,#000,189,239,125,137,4085,2,P,Document;P
O,I-Alinea,dans,6,612,792,ArialMT,#000,246,271,125,137,4085,2,P,Document;P
O,I-Alinea,le,6,612,792,ArialMT,#000,277,286,125,137,4085,2,P,Document;P
O,I-Alinea,présent,6,612,792,ArialMT,#000,293,331,125,137,4085,2,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,337,389,125,137,4085,2,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,395,411,125,137,4085,2,P,Document;P
O,I-Alinea,exprimée,6,612,792,ArialMT,#000,417,464,125,137,4085,2,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,471,484,125,137,4085,2,P,Document;P
O,I-Alinea,unités,6,612,792,ArialMT,#000,490,521,125,137,4085,2,P,Document;P
O,I-Alinea,du,6,612,792,ArialMT,#000,527,540,125,137,4085,2,P,Document;P
O,I-Alinea,Système,6,612,792,ArialMT,#000,108,153,142,154,4102,2,P,Document;P
O,I-Alinea,International,6,612,792,ArialMT,#000,156,219,142,154,4102,2,P,Document;P
O,I-Alinea,(SI).,6,612,792,ArialMT,#000,222,244,142,154,4102,2,P,Document;P
O,B-Article,8.,6,612,792,Arial-BoldMT,#000,72,82,170,182,4130,3,P,Document;H3
O,I-Article,RENVOIS,6,612,792,Arial-BoldMT,#000,108,162,170,182,4130,3,P,Document;H3
O,B-Alinea,Tous,6,612,792,ArialMT,#000,108,134,193,205,4153,4,P,Document;P
O,I-Alinea,les,6,612,792,ArialMT,#000,139,154,193,205,4153,4,P,Document;P
O,I-Alinea,renvois,6,612,792,ArialMT,#000,159,197,193,205,4153,4,P,Document;P
O,I-Alinea,à,6,612,792,ArialMT,#000,202,209,193,205,4153,4,P,Document;P
O,I-Alinea,un,6,612,792,ArialMT,#000,214,227,193,205,4153,4,P,Document;P
O,I-Alinea,autre,6,612,792,ArialMT,#000,232,259,193,205,4153,4,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,264,315,193,205,4153,4,P,Document;P
O,I-Alinea,contenus,6,612,792,ArialMT,#000,321,368,193,205,4153,4,P,Document;P
O,I-Alinea,dans,6,612,792,ArialMT,#000,373,398,193,205,4153,4,P,Document;P
O,I-Alinea,le,6,612,792,ArialMT,#000,404,413,193,205,4153,4,P,Document;P
O,I-Alinea,présent,6,612,792,ArialMT,#000,418,456,193,205,4153,4,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,462,513,193,205,4153,4,P,Document;P
O,I-Alinea,sont,6,612,792,ArialMT,#000,518,540,193,205,4153,4,P,Document;P
O,I-Alinea,"ouverts,",6,612,792,ArialMT,#000,108,149,209,221,4169,4,P,Document;P
O,I-Alinea,c’est-à-dire,6,612,792,ArialMT,#000,153,209,209,221,4169,4,P,Document;P
O,I-Alinea,qu’ils,6,612,792,ArialMT,#000,213,239,209,221,4169,4,P,Document;P
O,I-Alinea,s’étendent,6,612,792,ArialMT,#000,242,295,209,221,4169,4,P,Document;P
O,I-Alinea,à,6,612,792,ArialMT,#000,299,306,209,221,4169,4,P,Document;P
O,I-Alinea,toute,6,612,792,ArialMT,#000,309,335,209,221,4169,4,P,Document;P
O,I-Alinea,modification,6,612,792,ArialMT,#000,338,400,209,221,4169,4,P,Document;P
O,I-Alinea,que,6,612,792,ArialMT,#000,403,423,209,221,4169,4,P,Document;P
O,I-Alinea,pourrait,6,612,792,ArialMT,#000,426,465,209,221,4169,4,P,Document;P
O,I-Alinea,subir,6,612,792,ArialMT,#000,469,494,209,221,4169,4,P,Document;P
O,I-Alinea,un,6,612,792,ArialMT,#000,497,510,209,221,4169,4,P,Document;P
O,I-Alinea,autre,6,612,792,ArialMT,#000,514,540,209,221,4169,4,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,108,159,226,238,4186,4,P,Document;P
O,I-Alinea,faisant,6,612,792,ArialMT,#000,163,197,226,238,4186,4,P,Document;P
O,I-Alinea,l’objet,6,612,792,ArialMT,#000,201,231,226,238,4186,4,P,Document;P
O,I-Alinea,du,6,612,792,ArialMT,#000,235,248,226,238,4186,4,P,Document;P
O,I-Alinea,renvoi,6,612,792,ArialMT,#000,252,283,226,238,4186,4,P,Document;P
O,I-Alinea,postérieurement,6,612,792,ArialMT,#000,287,370,226,238,4186,4,P,Document;P
O,I-Alinea,à,6,612,792,ArialMT,#000,374,381,226,238,4186,4,P,Document;P
O,I-Alinea,l’entrée,6,612,792,ArialMT,#000,385,422,226,238,4186,4,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,426,439,226,238,4186,4,P,Document;P
O,I-Alinea,vigueur,6,612,792,ArialMT,#000,443,481,226,238,4186,4,P,Document;P
O,I-Alinea,du,6,612,792,ArialMT,#000,485,498,226,238,4186,4,P,Document;P
O,I-Alinea,présent,6,612,792,ArialMT,#000,502,540,226,238,4186,4,P,Document;P
O,I-Alinea,règlement.,6,612,792,ArialMT,#000,108,163,242,254,4202,4,P,Document;P
O,B-Article,9.,6,612,792,Arial-BoldMT,#000,72,82,271,283,4231,5,P,Document;H3
O,I-Article,PRÉSÉANCE,6,612,792,Arial-BoldMT,#000,108,183,271,283,4231,5,P,Document;H3
O,B-Alinea,En,6,612,792,ArialMT,#000,108,122,293,305,4253,6,P,Document;P
O,I-Alinea,cas,6,612,792,ArialMT,#000,125,144,293,305,4253,6,P,Document;P
O,I-Alinea,d’incompatibilité,6,612,792,ArialMT,#000,146,228,293,305,4253,6,P,Document;P
O,I-Alinea,entre,6,612,792,ArialMT,#000,231,257,293,305,4253,6,P,Document;P
O,I-Alinea,une,6,612,792,ArialMT,#000,260,279,293,305,4253,6,P,Document;P
O,I-Alinea,disposition,6,612,792,ArialMT,#000,282,337,293,305,4253,6,P,Document;P
O,I-Alinea,du,6,612,792,ArialMT,#000,339,353,293,305,4253,6,P,Document;P
O,I-Alinea,présent,6,612,792,ArialMT,#000,355,394,293,305,4253,6,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,397,448,293,305,4253,6,P,Document;P
O,I-Alinea,et,6,612,792,ArialMT,#000,451,461,293,305,4253,6,P,Document;P
O,I-Alinea,une,6,612,792,ArialMT,#000,464,483,293,305,4253,6,P,Document;P
O,I-Alinea,disposition,6,612,792,ArialMT,#000,486,540,293,305,4253,6,P,Document;P
O,I-Alinea,de,6,612,792,ArialMT,#000,108,121,310,322,4270,6,P,Document;P
O,I-Alinea,tout,6,612,792,ArialMT,#000,124,143,310,322,4270,6,P,Document;P
O,I-Alinea,autre,6,612,792,ArialMT,#000,146,172,310,322,4270,6,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,175,227,310,322,4270,6,P,Document;P
O,I-Alinea,"municipal,",6,612,792,ArialMT,#000,229,281,310,322,4270,6,P,Document;P
O,I-Alinea,la,6,612,792,ArialMT,#000,284,293,310,322,4270,6,P,Document;P
