sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,RÈGLEMENT,1,612,792,Arial-BoldMT,#000,115,203,354,368,354,10,P,Document;P
I-Titre,I-Titre,RELATIF,1,612,792,Arial-BoldMT,#000,207,266,354,368,354,10,P,Document;P
I-Titre,I-Titre,AUX,1,612,792,Arial-BoldMT,#000,270,300,354,368,354,10,P,Document;P
I-Titre,I-Titre,PLANS,1,612,792,Arial-BoldMT,#000,304,351,354,368,354,10,P,Document;P
I-Titre,I-Titre,D’IMPLANTATION,1,612,792,Arial-BoldMT,#000,355,475,354,368,354,10,P,Document;P
I-Titre,I-Titre,ET,1,612,792,Arial-BoldMT,#000,479,496,354,368,354,10,P,Document;P
I-Titre,I-Titre,D’INTÉGRATION,1,612,792,Arial-BoldMT,#000,184,295,370,384,370,10,P,Document;P
I-Titre,I-Titre,ARCHITECTURALE,1,612,792,Arial-BoldMT,#000,299,428,370,384,370,10,P,Document;P
O,B-Titre,Règlement,1,612,792,Arial-BoldMT,#000,211,283,387,401,387,11,P,Document;P
O,I-Titre,numéro,1,612,792,Arial-BoldMT,#000,287,338,387,401,387,11,P,Document;P
B-Numero,I-Titre,225-2008,1,612,792,Arial-BoldMT,#000,342,401,387,401,387,11,P,Document;P
O,B-Tete,i,3,612,792,TimesNewRomanPSMT,#000,537,540,37,49,1621,,Artifact,
O,B-Titre,TABLE,3,612,792,TimesNewRomanPS-BoldMT,#000,72,109,84,95,1668,0,P,Document;TOC;TOCI
O,I-Titre,DES,3,612,792,TimesNewRomanPS-BoldMT,#000,112,133,84,95,1668,0,P,Document;TOC;TOCI
O,I-Titre,MATIÈRES,3,612,792,TimesNewRomanPS-BoldMT,#000,136,195,84,95,1668,0,P,Document;TOC;TOCI
O,B-TOC,1,3,612,792,TimesNewRomanPS-BoldMT,#000,72,78,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,CHAPITRE,3,612,792,TimesNewRomanPS-BoldMT,#000,93,151,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,3,612,792,TimesNewRomanPS-BoldMT,#000,154,160,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,3,612,792,TimesNewRomanPS-BoldMT,#000,162,241,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,"DÉCLARATOIRES,",3,612,792,TimesNewRomanPS-BoldMT,#000,244,342,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,INTERPRÉTATIVES,3,612,792,TimesNewRomanPS-BoldMT,#000,345,450,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ET,3,612,792,TimesNewRomanPS-BoldMT,#000,453,468,106,117,1690,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ADMINISTRATIVES,3,612,792,TimesNewRomanPS-BoldMT,#000,93,198,119,130,1703,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,......................................................................................................................,3,612,792,TimesNewRomanPS-BoldMT,#000,199,524,119,130,1703,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1-1,3,612,792,TimesNewRomanPS-BoldMT,#000,525,540,119,130,1703,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,SECTION,3,612,792,ArialMT,#000,84,133,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,3,612,792,ArialMT,#000,136,142,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,:,3,612,792,ArialMT,#000,145,148,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,3,612,792,ArialMT,#000,150,229,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DÉCLARATOIRES,3,612,792,ArialMT,#000,231,324,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,........................................................................,3,612,792,TimesNewRomanPSMT,#000,326,524,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1-1,3,612,792,TimesNewRomanPSMT,#000,525,540,138,149,1722,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1.,3,612,792,BCDEEE+FootlightMTLight,#000,95,108,149,161,1733,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,TITRE,3,612,792,BCDEEE+FootlightMTLight,#000,125,157,149,161,1733,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DU,3,612,792,BCDEEE+FootlightMTLight,#000,156,177,149,161,1733,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,RÈGLEMENT,3,612,792,BCDEEE+FootlightMTLight,#000,176,243,149,161,1733,5,Span,Document;TOC;TOCI;Link;Span
