sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,RÈGLEMENT,1,612,792,Arial-BoldMT,#000,219,307,362,376,362,10,P,Document;P
I-Titre,I-Titre,DE,1,612,792,Arial-BoldMT,#000,310,330,362,376,362,10,P,Document;P
I-Titre,I-Titre,ZONAGE,1,612,792,Arial-BoldMT,#000,334,393,362,376,362,10,P,Document;P
O,B-Titre,Règlement,1,612,792,Arial-BoldMT,#000,211,283,378,393,378,11,P,Document;P
O,I-Titre,numéro,1,612,792,Arial-BoldMT,#000,287,338,378,393,378,11,P,Document;P
B-Numero,I-Titre,222-2008,1,612,792,Arial-BoldMT,#000,342,401,378,393,378,11,P,Document;P
O,B-Tete,i,5,612,792,ArialMT,#000,538,540,37,46,3205,,Artifact,
O,B-Titre,TABLE,5,612,792,TimesNewRomanPS-BoldMT,#000,250,284,86,96,3254,0,P,Document;TOC;TOCI
O,I-Titre,DES,5,612,792,TimesNewRomanPS-BoldMT,#000,286,306,86,96,3254,0,P,Document;TOC;TOCI
O,I-Titre,MATIÈRES,5,612,792,TimesNewRomanPS-BoldMT,#000,308,362,86,96,3254,0,P,Document;TOC;TOCI
O,B-TOC,1,5,612,792,Arial-BoldMT,#000,72,78,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,CHAPITRE,5,612,792,Arial-BoldMT,#000,149,200,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,5,612,792,Arial-BoldMT,#000,203,209,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,5,612,792,Arial-BoldMT,#000,211,283,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DÉCLARATOIRES,5,612,792,Arial-BoldMT,#000,285,372,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ET,5,612,792,Arial-BoldMT,#000,374,387,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,INTERPRÉTATIVES,5,612,792,Arial-BoldMT,#000,390,483,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,................,5,612,792,TimesNewRomanPS-BoldMT,#000,484,524,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1-1,5,612,792,TimesNewRomanPS-BoldMT,#000,527,540,109,119,3277,1,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,SECTION,5,612,792,ArialMT,#000,84,133,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,5,612,792,ArialMT,#000,136,142,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,:,5,612,792,ArialMT,#000,145,148,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,5,612,792,ArialMT,#000,150,229,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DÉCLARATOIRES,5,612,792,ArialMT,#000,231,324,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,........................................................................,5,612,792,TimesNewRomanPSMT,#000,326,524,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1-1,5,612,792,TimesNewRomanPSMT,#000,525,540,127,138,3295,3,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1.,5,612,792,TimesNewRomanPS-ItalicMT,#000,96,104,139,150,3307,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,TITRE,5,612,792,TimesNewRomanPS-ItalicMT,#000,126,155,139,150,3307,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DU,5,612,792,TimesNewRomanPS-ItalicMT,#000,158,174,139,150,3307,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,RÈGLEMENT,5,612,792,TimesNewRomanPS-ItalicMT,#000,177,240,139,150,3307,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,......................................................................................................,5,612,792,TimesNewRomanPS-ItalicMT,#000,243,524,139,150,3307,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1-1,5,612,792,TimesNewRomanPS-ItalicMT,#000,525,540,139,150,3307,5,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,2.,5,612,792,TimesNewRomanPS-ItalicMT,#000,96,104,152,163,3320,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,TERRITOIRE,5,612,792,TimesNewRomanPS-ItalicMT,#000,126,187,152,163,3320,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ASSUJETTI,5,612,792,TimesNewRomanPS-ItalicMT,#000,190,243,152,163,3320,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,.....................................................................................................,5,612,792,TimesNewRomanPS-ItalicMT,#000,246,524,152,163,3320,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1-1,5,612,792,TimesNewRomanPS-ItalicMT,#000,525,540,152,163,3320,7,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,3.,5,612,792,TimesNewRomanPS-ItalicMT,#000,96,104,165,176,3333,9,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,VALIDITÉ,5,612,792,TimesNewRomanPS-ItalicMT,#000,126,174,165,176,3333,9,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,...............................................................................................................................,5,612,792,TimesNewRomanPS-ItalicMT,#000,174,524,165,176,3333,9,Span,Document;TOC;TOCI;Link;Span
