sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Tete,7-1,121,612,792,ArialMT,#000,527,540,37,46,95077,,Artifact,
O,B-Chapitre,CHAPITRE,121,612,792,Arial-BoldMT,#000,291,363,74,88,95114,0,P,Document;H1
O,I-Chapitre,7,121,612,792,Arial-BoldMT,#000,367,375,74,88,95114,0,P,Document;H1
O,B-Chapitre,7,121,612,792,Arial-BoldMT,#fff,273,274,84,85,95124,0,P,Document;H1
O,I-Chapitre,DISPOSITIONS,121,612,792,Arial-BoldMT,#000,139,239,93,107,95133,0,P,Document;H1
O,I-Chapitre,RELATIVES,121,612,792,Arial-BoldMT,#000,243,321,93,107,95133,0,P,Document;H1
O,I-Chapitre,À,121,612,792,Arial-BoldMT,#000,325,335,93,107,95133,0,P,Document;H1
O,I-Chapitre,L’UTILISATION,121,612,792,Arial-BoldMT,#000,339,439,93,107,95133,0,P,Document;H1
O,I-Chapitre,DES,121,612,792,Arial-BoldMT,#000,443,472,93,107,95133,0,P,Document;H1
O,I-Chapitre,COURS,121,612,792,Arial-BoldMT,#000,476,527,93,107,95133,0,P,Document;H1
O,I-Chapitre,ET,121,612,792,Arial-BoldMT,#000,237,255,113,127,95153,0,P,Document;H1
O,I-Chapitre,DES,121,612,792,Arial-BoldMT,#000,259,288,113,127,95153,0,P,Document;H1
O,I-Chapitre,MARGES,121,612,792,Arial-BoldMT,#000,292,353,113,127,95153,0,P,Document;H1
O,I-Chapitre,DE,121,612,792,Arial-BoldMT,#000,357,377,113,127,95153,0,P,Document;H1
O,I-Chapitre,RECUL,121,612,792,Arial-BoldMT,#000,381,429,113,127,95153,0,P,Document;H1
O,B-Section,SECTION,121,612,792,ArialMT,#000,124,176,150,162,95190,1,P,Document;H2
O,I-Section,1,121,612,792,ArialMT,#000,178,185,150,162,95190,1,P,Document;H2
O,I-Section,:,121,612,792,ArialMT,#000,188,191,150,162,95190,1,P,Document;H2
O,I-Section,POUR,121,612,792,ArialMT,#000,194,228,150,162,95190,1,P,Document;H2
O,I-Section,LES,121,612,792,ArialMT,#000,231,253,150,162,95190,1,P,Document;H2
O,I-Section,USAGES,121,612,792,ArialMT,#000,256,305,150,162,95190,1,P,Document;H2
O,I-Section,DU,121,612,792,ArialMT,#000,307,325,150,162,95190,1,P,Document;H2
O,I-Section,GROUPE,121,612,792,ArialMT,#000,327,378,150,162,95190,1,P,Document;H2
O,I-Section,«,121,612,792,ArialMT,#000,381,388,150,162,95190,1,P,Document;H2
O,I-Section,HABITATION,121,612,792,ArialMT,#000,391,460,150,162,95190,1,P,Document;H2
O,I-Section,(H),121,612,792,ArialMT,#000,463,479,150,162,95190,1,P,Document;H2
O,I-Section,»,121,612,792,ArialMT,#000,482,489,150,162,95190,1,P,Document;H2
O,B-Article,109.1,121,612,792,Arial-BoldMT,#000,72,102,178,190,95218,2,P,Document;H3
O,I-Article,DISPOSITIONS,121,612,792,Arial-BoldMT,#000,107,193,178,190,95218,2,P,Document;H3
O,I-Article,GÉNÉRALES,121,612,792,Arial-BoldMT,#000,196,271,178,190,95218,2,P,Document;H3
O,B-Alinea,Les,121,612,792,ArialMT,#000,107,126,201,213,95241,3,P,Document;P
O,I-Alinea,"usages,",121,612,792,ArialMT,#000,132,173,201,213,95241,3,P,Document;P
O,I-Alinea,"bâtiments,",121,612,792,ArialMT,#000,178,231,201,213,95241,3,P,Document;P
O,I-Alinea,"constructions,",121,612,792,ArialMT,#000,237,308,201,213,95241,3,P,Document;P
O,I-Alinea,équipements,121,612,792,ArialMT,#000,313,379,201,213,95241,3,P,Document;P
O,I-Alinea,accessoires,121,612,792,ArialMT,#000,385,446,201,213,95241,3,P,Document;P
O,I-Alinea,et,121,612,792,ArialMT,#000,451,461,201,213,95241,3,P,Document;P
O,I-Alinea,les,121,612,792,ArialMT,#000,467,482,201,213,95241,3,P,Document;P
O,I-Alinea,saillies,121,612,792,ArialMT,#000,487,522,201,213,95241,3,P,Document;P
O,I-Alinea,du,121,612,792,ArialMT,#000,527,540,201,213,95241,3,P,Document;P
O,I-Alinea,bâtiment,121,612,792,ArialMT,#000,107,152,217,229,95257,3,P,Document;P
O,I-Alinea,principal,121,612,792,ArialMT,#000,154,197,217,229,95257,3,P,Document;P
O,I-Alinea,sont,121,612,792,ArialMT,#000,199,221,217,229,95257,3,P,Document;P
O,I-Alinea,autorisés,121,612,792,ArialMT,#000,223,269,217,229,95257,3,P,Document;P
O,I-Alinea,dans,121,612,792,ArialMT,#000,271,297,217,229,95257,3,P,Document;P
O,I-Alinea,une,121,612,792,ArialMT,#000,299,318,217,229,95257,3,P,Document;P
O,I-Alinea,cour,121,612,792,ArialMT,#000,320,343,217,229,95257,3,P,Document;P
O,I-Alinea,uniquement,121,612,792,ArialMT,#000,345,405,217,229,95257,3,P,Document;P
O,I-Alinea,si,121,612,792,ArialMT,#000,408,416,217,229,95257,3,P,Document;P
O,I-Alinea,ceux-ci,121,612,792,ArialMT,#000,418,455,217,229,95257,3,P,Document;P
O,I-Alinea,sont,121,612,792,ArialMT,#000,457,479,217,229,95257,3,P,Document;P
O,I-Alinea,mentionnés,121,612,792,ArialMT,#000,481,541,217,229,95257,3,P,Document;P
O,I-Alinea,dans,121,612,792,ArialMT,#000,107,133,234,246,95274,3,P,Document;P
O,I-Alinea,le,121,612,792,ArialMT,#000,135,144,234,246,95274,3,P,Document;P
O,I-Alinea,tableau,121,612,792,ArialMT,#000,146,184,234,246,95274,3,P,Document;P
O,I-Alinea,109.1,121,612,792,ArialMT,#000,186,215,234,246,95274,3,P,Document;P
O,I-Alinea,du,121,612,792,ArialMT,#000,218,231,234,246,95274,3,P,Document;P
O,I-Alinea,présent,121,612,792,ArialMT,#000,233,271,234,246,95274,3,P,Document;P
O,I-Alinea,chapitre,121,612,792,ArialMT,#000,274,315,234,246,95274,3,P,Document;P
O,I-Alinea,et,121,612,792,ArialMT,#000,317,327,234,246,95274,3,P,Document;P
O,I-Alinea,si,121,612,792,ArialMT,#000,329,337,234,246,95274,3,P,Document;P
O,I-Alinea,le,121,612,792,ArialMT,#000,340,348,234,246,95274,3,P,Document;P
O,I-Alinea,mot,121,612,792,ArialMT,#000,351,370,234,246,95274,3,P,Document;P
O,I-Alinea,«,121,612,792,ArialMT,#000,372,379,234,246,95274,3,P,Document;P
O,I-Alinea,OUI,121,612,792,ArialMT,#000,381,402,234,246,95274,3,P,Document;P
O,I-Alinea,»,121,612,792,ArialMT,#000,404,411,234,246,95274,3,P,Document;P
O,I-Alinea,"apparaît,",121,612,792,ArialMT,#000,413,459,234,246,95274,3,P,Document;P
O,I-Alinea,dans,121,612,792,ArialMT,#000,461,486,234,246,95274,3,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,488,497,234,246,95274,3,P,Document;P
O,I-Alinea,colonne,121,612,792,ArialMT,#000,500,540,234,246,95274,3,P,Document;P
O,I-Alinea,d’une,121,612,792,ArialMT,#000,107,136,251,263,95291,3,P,Document;P
O,I-Alinea,cour,121,612,792,ArialMT,#000,139,162,251,263,95291,3,P,Document;P
O,I-Alinea,"donnée,",121,612,792,ArialMT,#000,165,207,251,263,95291,3,P,Document;P
O,I-Alinea,sur,121,612,792,ArialMT,#000,211,227,251,263,95291,3,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,230,239,251,263,95291,3,P,Document;P
O,I-Alinea,ligne,121,612,792,ArialMT,#000,243,267,251,263,95291,3,P,Document;P
O,I-Alinea,identifiant,121,612,792,ArialMT,#000,271,319,251,263,95291,3,P,Document;P
O,I-Alinea,cet,121,612,792,ArialMT,#000,323,338,251,263,95291,3,P,Document;P
O,I-Alinea,"usage,",121,612,792,ArialMT,#000,342,377,251,263,95291,3,P,Document;P
O,I-Alinea,ce,121,612,792,ArialMT,#000,380,392,251,263,95291,3,P,Document;P
O,I-Alinea,"bâtiment,",121,612,792,ArialMT,#000,396,443,251,263,95291,3,P,Document;P
O,I-Alinea,cette,121,612,792,ArialMT,#000,447,472,251,263,95291,3,P,Document;P
O,I-Alinea,"construction,",121,612,792,ArialMT,#000,475,540,251,263,95291,3,P,Document;P
O,I-Alinea,cet,121,612,792,ArialMT,#000,107,123,267,279,95307,3,P,Document;P
O,I-Alinea,équipement,121,612,792,ArialMT,#000,126,186,267,279,95307,3,P,Document;P
O,I-Alinea,ou,121,612,792,ArialMT,#000,189,202,267,279,95307,3,P,Document;P
O,I-Alinea,cette,121,612,792,ArialMT,#000,205,230,267,279,95307,3,P,Document;P
O,I-Alinea,saillie.,121,612,792,ArialMT,#000,233,265,267,279,95307,3,P,Document;P
O,B-Alinea,Les,121,612,792,ArialMT,#000,107,126,290,302,95330,4,P,Document;P
O,I-Alinea,"usages,",121,612,792,ArialMT,#000,132,173,290,302,95330,4,P,Document;P
O,I-Alinea,"bâtiments,",121,612,792,ArialMT,#000,178,231,290,302,95330,4,P,Document;P
O,I-Alinea,"constructions,",121,612,792,ArialMT,#000,237,308,290,302,95330,4,P,Document;P
O,I-Alinea,équipements,121,612,792,ArialMT,#000,313,379,290,302,95330,4,P,Document;P
O,I-Alinea,accessoires,121,612,792,ArialMT,#000,385,446,290,302,95330,4,P,Document;P
O,I-Alinea,et,121,612,792,ArialMT,#000,452,461,290,302,95330,4,P,Document;P
O,I-Alinea,les,121,612,792,ArialMT,#000,467,482,290,302,95330,4,P,Document;P
O,I-Alinea,saillies,121,612,792,ArialMT,#000,487,522,290,302,95330,4,P,Document;P
O,I-Alinea,du,121,612,792,ArialMT,#000,527,540,290,302,95330,4,P,Document;P
O,I-Alinea,bâtiment,121,612,792,ArialMT,#000,107,152,306,318,95346,4,P,Document;P
O,I-Alinea,principal,121,612,792,ArialMT,#000,154,197,306,318,95346,4,P,Document;P
O,I-Alinea,peuvent,121,612,792,ArialMT,#000,199,240,306,318,95346,4,P,Document;P
O,I-Alinea,empiéter,121,612,792,ArialMT,#000,243,288,306,318,95346,4,P,Document;P
O,I-Alinea,dans,121,612,792,ArialMT,#000,290,315,306,318,95346,4,P,Document;P
O,I-Alinea,les,121,612,792,ArialMT,#000,318,333,306,318,95346,4,P,Document;P
O,I-Alinea,marges,121,612,792,ArialMT,#000,335,374,306,318,95346,4,P,Document;P
O,I-Alinea,prescrites,121,612,792,ArialMT,#000,376,426,306,318,95346,4,P,Document;P
O,I-Alinea,de,121,612,792,ArialMT,#000,428,441,306,318,95346,4,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,444,453,306,318,95346,4,P,Document;P
O,I-Alinea,grille,121,612,792,ArialMT,#000,455,479,306,318,95346,4,P,Document;P
O,I-Alinea,des,121,612,792,ArialMT,#000,482,501,306,318,95346,4,P,Document;P
O,I-Alinea,usages,121,612,792,ArialMT,#000,503,540,306,318,95346,4,P,Document;P
O,I-Alinea,et,121,612,792,ArialMT,#000,107,117,323,335,95363,4,P,Document;P
O,I-Alinea,des,121,612,792,ArialMT,#000,121,140,323,335,95363,4,P,Document;P
O,I-Alinea,"normes,",121,612,792,ArialMT,#000,143,185,323,335,95363,4,P,Document;P
O,I-Alinea,sous,121,612,792,ArialMT,#000,189,213,323,335,95363,4,P,Document;P
O,I-Alinea,réserve,121,612,792,ArialMT,#000,217,255,323,335,95363,4,P,Document;P
O,I-Alinea,de,121,612,792,ArialMT,#000,259,272,323,335,95363,4,P,Document;P
O,I-Alinea,dispositions,121,612,792,ArialMT,#000,276,336,323,335,95363,4,P,Document;P
O,I-Alinea,particulières,121,612,792,ArialMT,#000,339,401,323,335,95363,4,P,Document;P
O,I-Alinea,inscrites,121,612,792,ArialMT,#000,404,446,323,335,95363,4,P,Document;P
O,I-Alinea,au,121,612,792,ArialMT,#000,450,463,323,335,95363,4,P,Document;P
O,I-Alinea,tableau,121,612,792,ArialMT,#000,466,504,323,335,95363,4,P,Document;P
O,I-Alinea,109.1.,121,612,792,ArialMT,#000,508,540,323,335,95363,4,P,Document;P
O,I-Alinea,Lorsqu’il,121,612,792,ArialMT,#000,107,150,339,351,95379,4,P,Document;P
O,I-Alinea,est,121,612,792,ArialMT,#000,155,171,339,351,95379,4,P,Document;P
O,I-Alinea,fait,121,612,792,ArialMT,#000,175,191,339,351,95379,4,P,Document;P
O,I-Alinea,mention,121,612,792,ArialMT,#000,195,237,339,351,95379,4,P,Document;P
O,I-Alinea,d’un,121,612,792,ArialMT,#000,242,264,339,351,95379,4,P,Document;P
O,I-Alinea,empiétement,121,612,792,ArialMT,#000,268,335,339,351,95379,4,P,Document;P
O,I-Alinea,dans,121,612,792,ArialMT,#000,340,365,339,351,95379,4,P,Document;P
O,I-Alinea,une,121,612,792,ArialMT,#000,370,390,339,351,95379,4,P,Document;P
O,I-Alinea,"marge,",121,612,792,ArialMT,#000,395,431,339,351,95379,4,P,Document;P
O,I-Alinea,cet,121,612,792,ArialMT,#000,436,451,339,351,95379,4,P,Document;P
O,I-Alinea,empiétement,121,612,792,ArialMT,#000,456,523,339,351,95379,4,P,Document;P
O,I-Alinea,se,121,612,792,ArialMT,#000,528,540,339,351,95379,4,P,Document;P
O,I-Alinea,mesure,121,612,792,ArialMT,#000,107,146,356,368,95396,4,P,Document;P
O,I-Alinea,à,121,612,792,ArialMT,#000,149,155,356,368,95396,4,P,Document;P
O,I-Alinea,partir,121,612,792,ArialMT,#000,158,184,356,368,95396,4,P,Document;P
O,I-Alinea,de,121,612,792,ArialMT,#000,187,200,356,368,95396,4,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,202,211,356,368,95396,4,P,Document;P
O,I-Alinea,marge,121,612,792,ArialMT,#000,214,247,356,368,95396,4,P,Document;P
O,I-Alinea,prescrite,121,612,792,ArialMT,#000,250,293,356,368,95396,4,P,Document;P
O,I-Alinea,à,121,612,792,ArialMT,#000,296,303,356,368,95396,4,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,305,314,356,368,95396,4,P,Document;P
O,I-Alinea,grille,121,612,792,ArialMT,#000,317,341,356,368,95396,4,P,Document;P
O,I-Alinea,des,121,612,792,ArialMT,#000,344,362,356,368,95396,4,P,Document;P
O,I-Alinea,usages,121,612,792,ArialMT,#000,365,402,356,368,95396,4,P,Document;P
O,I-Alinea,et,121,612,792,ArialMT,#000,405,415,356,368,95396,4,P,Document;P
O,I-Alinea,des,121,612,792,ArialMT,#000,417,436,356,368,95396,4,P,Document;P
O,I-Alinea,normes,121,612,792,ArialMT,#000,439,477,356,368,95396,4,P,Document;P
O,I-Alinea,vers,121,612,792,ArialMT,#000,480,502,356,368,95396,4,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,504,514,356,368,95396,4,P,Document;P
O,I-Alinea,ligne,121,612,792,ArialMT,#000,516,540,356,368,95396,4,P,Document;P
O,I-Alinea,de,121,612,792,ArialMT,#000,107,121,373,385,95413,4,P,Document;P
O,I-Alinea,propriété.,121,612,792,ArialMT,#000,123,172,373,385,95413,4,P,Document;P
O,B-Alinea,À,121,612,792,ArialMT,#000,107,115,395,407,95435,5,P,Document;P
O,I-Alinea,moins,121,612,792,ArialMT,#000,118,150,395,407,95435,5,P,Document;P
O,I-Alinea,de,121,612,792,ArialMT,#000,153,166,395,407,95435,5,P,Document;P
O,I-Alinea,dispositions,121,612,792,ArialMT,#000,169,229,395,407,95435,5,P,Document;P
O,I-Alinea,"contraires,",121,612,792,ArialMT,#000,232,285,395,407,95435,5,P,Document;P
O,I-Alinea,les,121,612,792,ArialMT,#000,288,303,395,407,95435,5,P,Document;P
O,I-Alinea,marges,121,612,792,ArialMT,#000,306,345,395,407,95435,5,P,Document;P
O,I-Alinea,applicables,121,612,792,ArialMT,#000,348,405,395,407,95435,5,P,Document;P
O,I-Alinea,sont,121,612,792,ArialMT,#000,409,431,395,407,95435,5,P,Document;P
O,I-Alinea,celles,121,612,792,ArialMT,#000,434,463,395,407,95435,5,P,Document;P
O,I-Alinea,de,121,612,792,ArialMT,#000,466,479,395,407,95435,5,P,Document;P
O,I-Alinea,la,121,612,792,ArialMT,#000,482,491,395,407,95435,5,P,Document;P
O,I-Alinea,grille,121,612,792,ArialMT,#000,494,518,395,407,95435,5,P,Document;P
O,I-Alinea,des,121,612,792,ArialMT,#000,521,540,395,407,95435,5,P,Document;P
O,I-Alinea,usages,121,612,792,ArialMT,#000,107,145,412,424,95452,5,P,Document;P
O,I-Alinea,et,121,612,792,ArialMT,#000,148,158,412,424,95452,5,P,Document;P
O,I-Alinea,des,121,612,792,ArialMT,#000,160,179,412,424,95452,5,P,Document;P
O,I-Alinea,normes.,121,612,792,ArialMT,#000,182,224,412,424,95452,5,P,Document;P
O,B-Alinea,Malgré,121,612,792,ArialMT,#000,107,143,434,446,95474,6,P,Document;P
O,I-Alinea,les,121,612,792,ArialMT,#000,150,165,434,446,95474,6,P,Document;P
O,I-Alinea,normes,121,612,792,ArialMT,#000,171,210,434,446,95474,6,P,Document;P
O,I-Alinea,édictées,121,612,792,ArialMT,#000,217,260,434,446,95474,6,P,Document;P
O,I-Alinea,au,121,612,792,ArialMT,#000,267,280,434,446,95474,6,P,Document;P
O,I-Alinea,tableau,121,612,792,ArialMT,#000,287,324,434,446,95474,6,P,Document;P
O,I-Alinea,"109.1,",121,612,792,ArialMT,#000,331,363,434,446,95474,6,P,Document;P
O,I-Alinea,dans,121,612,792,ArialMT,#000,370,395,434,446,95474,6,P,Document;P
O,I-Alinea,le,121,612,792,ArialMT,#000,402,411,434,446,95474,6,P,Document;P
O,I-Alinea,cas,121,612,792,ArialMT,#000,418,436,434,446,95474,6,P,Document;P
O,I-Alinea,d’une,121,612,792,ArialMT,#000,443,471,434,446,95474,6,P,Document;P
O,I-Alinea,construction,121,612,792,ArialMT,#000,478,540,434,446,95474,6,P,Document;P
O,I-Alinea,accessoire,121,612,792,ArialMT,#000,107,163,451,463,95491,6,P,Document;P
O,I-Alinea,faisant,121,612,792,ArialMT,#000,169,203,451,463,95491,6,P,Document;P
O,I-Alinea,corps,121,612,792,ArialMT,#000,209,238,451,463,95491,6,P,Document;P
O,I-Alinea,avec,121,612,792,ArialMT,#000,244,269,451,463,95491,6,P,Document;P
O,I-Alinea,un,121,612,792,ArialMT,#000,275,288,451,463,95491,6,P,Document;P
O,I-Alinea,bâtiment,121,612,792,ArialMT,#000,294,339,451,463,95491,6,P,Document;P
O,I-Alinea,principal,121,612,792,ArialMT,#000,345,388,451,463,95491,6,P,Document;P
O,I-Alinea,d’implantation,121,612,792,ArialMT,#000,394,465,451,463,95491,6,P,Document;P
O,I-Alinea,juxtaposé,121,612,792,ArialMT,#000,471,521,451,463,95491,6,P,Document;P
O,I-Alinea,ou,121,612,792,ArialMT,#000,527,540,451,463,95491,6,P,Document;P
O,I-Alinea,"contigu,",121,612,792,ArialMT,#000,107,148,467,479,95507,6,P,Document;P
O,I-Alinea,aucune,121,612,792,ArialMT,#000,152,190,467,479,95507,6,P,Document;P
O,I-Alinea,distance,121,612,792,ArialMT,#000,194,237,467,479,95507,6,P,Document;P
O,I-Alinea,n’est,121,612,792,ArialMT,#000,241,265,467,479,95507,6,P,Document;P
O,I-Alinea,requise,121,612,792,ArialMT,#000,269,307,467,479,95507,6,P,Document;P
O,I-Alinea,d’une,121,612,792,ArialMT,#000,311,339,467,479,95507,6,P,Document;P
O,I-Alinea,ligne,121,612,792,ArialMT,#000,343,367,467,479,95507,6,P,Document;P
O,I-Alinea,"latérale,",121,612,792,ArialMT,#000,372,412,467,479,95507,6,P,Document;P
O,I-Alinea,seulement,121,612,792,ArialMT,#000,416,470,467,479,95507,6,P,Document;P
O,I-Alinea,si,121,612,792,ArialMT,#000,474,482,467,479,95507,6,P,Document;P
O,I-Alinea,cet,121,612,792,ArialMT,#000,486,501,467,479,95507,6,P,Document;P
O,I-Alinea,"usage,",121,612,792,ArialMT,#000,505,540,467,479,95507,6,P,Document;P
O,I-Alinea,cette,121,612,792,ArialMT,#000,107,132,484,496,95524,6,P,Document;P
O,I-Alinea,"construction,",121,612,792,ArialMT,#000,137,202,484,496,95524,6,P,Document;P
O,I-Alinea,cet,121,612,792,ArialMT,#000,206,222,484,496,95524,6,P,Document;P
O,I-Alinea,équipement,121,612,792,ArialMT,#000,226,287,484,496,95524,6,P,Document;P
O,I-Alinea,ou,121,612,792,ArialMT,#000,291,304,484,496,95524,6,P,Document;P
O,I-Alinea,cette,121,612,792,ArialMT,#000,309,334,484,496,95524,6,P,Document;P
O,I-Alinea,saillie,121,612,792,ArialMT,#000,338,367,484,496,95524,6,P,Document;P
O,I-Alinea,est,121,612,792,ArialMT,#000,371,387,484,496,95524,6,P,Document;P
O,I-Alinea,adjacent,121,612,792,ArialMT,#000,391,435,484,496,95524,6,P,Document;P
O,I-Alinea,à,121,612,792,ArialMT,#000,439,446,484,496,95524,6,P,Document;P
O,I-Alinea,une,121,612,792,ArialMT,#000,450,470,484,496,95524,6,P,Document;P
O,I-Alinea,ligne,121,612,792,ArialMT,#000,474,498,484,496,95524,6,P,Document;P
O,I-Alinea,latérale,121,612,792,ArialMT,#000,503,540,484,496,95524,6,P,Document;P
O,I-Alinea,constituant,121,612,792,ArialMT,#000,107,163,500,512,95540,6,P,Document;P
O,I-Alinea,le,121,612,792,ArialMT,#000,166,175,500,512,95540,6,P,Document;P
O,I-Alinea,prolongement,121,612,792,ArialMT,#000,178,248,500,512,95540,6,P,Document;P
O,I-Alinea,imaginaire,121,612,792,ArialMT,#000,251,304,500,512,95540,6,P,Document;P
