sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Chapitre,CHAPITRE,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,178,253,513,531,190040,1,P,H1
O,I-Chapitre,7,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,257,265,513,531,190040,1,P,H1
O,I-Chapitre,TYPES,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,269,318,513,531,190040,2,P,H1
O,I-Chapitre,DE,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,322,342,513,531,190040,2,P,H1
O,I-Chapitre,MILIEUX,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,347,406,513,531,190040,2,P,H1
O,I-Chapitre,ET,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,411,429,513,531,190040,2,P,H1
O,I-Chapitre,ZONES,189,612,1008,ABCDEE+ArialNarrow-Bold,#222,434,484,513,531,190040,3,P,H1
O,B-Pied,189,189,612,1008,ABCDEE+ArialNarrow,#000,516,527,952,960,190479,,Artifact,
B-Titre,B-Tete,Règlement,190,612,1008,ABCDEE+ArialNarrow,#777,85,117,36,44,190571,,Artifact,
I-Titre,I-Tete,de,190,612,1008,ABCDEE+ArialNarrow,#777,119,126,36,44,190571,,Artifact,
I-Titre,I-Tete,zonage,190,612,1008,ABCDEE+ArialNarrow,#777,128,149,36,44,190571,,Artifact,
I-Titre,I-Tete,1314-2021-Z,190,612,1008,ABCDEE+ArialNarrow,#777,151,189,36,44,190571,,Artifact,
O,I-Tete,Chapitre,190,612,1008,ABCDEE+ArialNarrow,#777,414,439,36,44,190571,,Artifact,
O,I-Tete,7,190,612,1008,ABCDEE+ArialNarrow,#777,440,444,36,44,190571,,Artifact,
O,I-Tete,–,190,612,1008,ABCDEE+ArialNarrow,#777,446,449,36,44,190571,,Artifact,
O,I-Tete,Types,190,612,1008,ABCDEE+ArialNarrow,#777,451,469,36,44,190571,,Artifact,
O,I-Tete,de,190,612,1008,ABCDEE+ArialNarrow,#777,471,478,36,44,190571,,Artifact,
O,I-Tete,milieux,190,612,1008,ABCDEE+ArialNarrow,#777,480,500,36,44,190571,,Artifact,
O,I-Tete,et,190,612,1008,ABCDEE+ArialNarrow,#777,502,508,36,44,190571,,Artifact,
O,I-Tete,zones,190,612,1008,ABCDEE+ArialNarrow,#777,510,527,36,44,190571,,Artifact,
O,B-Section,SECTION,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,85,136,98,112,190633,0,P,H2
O,I-Section,1,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,139,146,98,112,190633,0,P,H2
O,I-Section,DISPOSITIONS,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,159,240,98,112,190633,0,P,H2
O,I-Section,EXPLICATIVES,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,244,327,98,112,190633,0,P,H2
O,I-Section,DES,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,330,353,98,112,190633,0,P,H2
O,I-Section,FICHES,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,356,399,98,112,190633,0,P,H2
O,I-Section,RÉGLEMENTAIRES,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,402,509,98,112,190633,0,P,H2
O,I-Section,DES,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,229,252,114,128,190649,0,P,H2
O,I-Section,TYPES,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,255,293,114,128,190649,0,P,H2
O,I-Section,DE,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,296,312,114,128,190649,0,P,H2
O,I-Section,MILIEUX,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,315,362,114,128,190649,0,P,H2
O,B-SousSection,DOMAINE,190,612,1008,ABCDEE+ArialNarrow-Bold,#000,193,232,154,164,190688,3,P,H2
O,I-SousSection,D’APPLICATION,190,612,1008,ABCDEE+ArialNarrow-Bold,#000,234,298,154,164,190688,3,P,H2
O,B-Article,431.,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,85,101,183,193,190718,6,P,H3
O,I-Article,Signification,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,103,152,183,193,190718,6,P,H3
O,I-Article,des,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,155,169,183,193,190718,6,P,H3
O,I-Article,mots,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,171,190,183,193,190718,6,P,H3
O,I-Article,et,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,193,200,183,193,190718,6,P,H3
O,I-Article,expressions,190,612,1008,ABCDEE+ArialNarrow-Bold,#222,202,250,183,193,190718,6,P,H3
O,B-Alinea,Les,190,612,1008,ABCDEE+ArialNarrow,#222,85,98,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,sections,190,612,1008,ABCDEE+ArialNarrow,#222,101,131,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,suivantes,190,612,1008,ABCDEE+ArialNarrow,#222,134,169,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,précisent,190,612,1008,ABCDEE+ArialNarrow,#222,171,205,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,la,190,612,1008,ABCDEE+ArialNarrow,#222,207,214,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,signification,190,612,1008,ABCDEE+ArialNarrow,#222,216,259,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,des,190,612,1008,ABCDEE+ArialNarrow,#222,262,275,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,mots,190,612,1008,ABCDEE+ArialNarrow,#222,278,296,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,et,190,612,1008,ABCDEE+ArialNarrow,#222,299,305,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,des,190,612,1008,ABCDEE+ArialNarrow,#222,308,321,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,expressions,190,612,1008,ABCDEE+ArialNarrow,#222,324,368,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,utilisés,190,612,1008,ABCDEE+ArialNarrow,#222,371,396,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,dans,190,612,1008,ABCDEE+ArialNarrow,#222,399,416,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,les,190,612,1008,ABCDEE+ArialNarrow,#222,419,430,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,fiches,190,612,1008,ABCDEE+ArialNarrow,#222,432,454,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,réglementaires,190,612,1008,ABCDEE+ArialNarrow,#222,457,511,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,des,190,612,1008,ABCDEE+ArialNarrow,#222,514,527,204,214,190738,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,types,190,612,1008,ABCDEE+ArialNarrow,#222,85,105,215,225,190750,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,de,190,612,1008,ABCDEE+ArialNarrow,#222,107,116,215,225,190750,7,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,milieux,190,612,1008,ABCDEE+ArialNarrow,#222,118,144,215,225,190750,7,P,L;L;L;L;L;L;LI;LBody
