sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,RÈGLEMENT,1,604,995,Arial-BoldMT,#000,305,391,31,45,31,2,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Titre,1324,1,604,995,Arial-BoldMT,#000,395,426,31,45,31,2,P,Document;Table;TBody;TR;TD;P
I-Titre,B-Alinea,relatif,1,604,995,ArialMT,#000,230,257,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,au,1,604,995,ArialMT,#000,262,274,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,paiement,1,604,995,ArialMT,#000,278,323,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,d’une,1,604,995,ArialMT,#000,328,354,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,contribution,1,604,995,ArialMT,#000,359,416,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,pour,1,604,995,ArialMT,#000,420,442,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,financer,1,604,995,ArialMT,#000,446,485,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,en,1,604,995,ArialMT,#000,490,502,59,70,59,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,tout,1,604,995,ArialMT,#000,230,249,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,ou,1,604,995,ArialMT,#000,259,272,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,en,1,604,995,ArialMT,#000,282,295,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,partie,1,604,995,ArialMT,#000,305,333,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,une,1,604,995,ArialMT,#000,343,362,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,dépense,1,604,995,ArialMT,#000,372,415,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,liée,1,604,995,ArialMT,#000,425,442,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,à,1,604,995,ArialMT,#000,453,459,72,83,72,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I-Alinea,"l’ajout,",1,604,995,ArialMT,#000,470,502,72,83,72,4,P,Document;Table;TBody;TR;TD;P
