seqtag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Titre,VILLE,1,622,1014,Times-Bold,#000,67,103,84,95,84,,,
O,I-Titre,DE,1,622,1014,Times-Bold,#000,108,123,84,95,84,,,
O,I-Titre,SAINTE-ADÈLE,1,622,1014,Times-Bold,#000,127,219,84,95,84,,,
O,B-Titre,PROVINCE,1,622,1014,Times-Bold,#000,68,132,110,122,110,,,
O,I-Titre,DE,1,622,1014,Times-Bold,#000,137,152,110,122,110,,,
O,I-Titre,QUÉBEC,1,622,1014,Times-Bold,#000,157,206,110,122,110,,,
O,B-Titre,COMTE,1,622,1014,Times-Bold,#000,67,110,137,149,137,,Suspect,
O,I-Titre,DE,1,622,1014,Times-Bold,#000,114,130,137,149,137,,,
O,I-Titre,BERTRAND,1,622,1014,Times-Bold,#000,135,202,137,149,137,,,
O,B-Titre,REGLEMENT,1,622,1014,Helvetica-Bold,#000,178,258,199,211,199,,,
O,I-Titre,NO.,1,622,1014,Helvetica-Bold,#000,263,287,199,211,199,,Suspect,
B-Numero,I-Titre,1000-2008-PPC,1,622,1014,Helvetica-Bold,#000,292,398,199,211,199,,Suspect,
O,B-Alinea,A,1,622,1014,Helvetica,#000,68,74,257,266,257,,,
O,I-Alinea,une,1,622,1014,Helvetica,#000,78,94,257,266,257,,,
O,I-Alinea,séance,1,622,1014,Helvetica,#000,99,130,257,266,257,,,
O,I-Alinea,ordinaire,1,622,1014,Helvetica,#000,134,174,257,266,257,,,
O,I-Alinea,du,1,622,1014,Helvetica,#000,178,189,257,266,257,,,
O,I-Alinea,Conseil,1,622,1014,Helvetica,#000,194,225,257,266,257,,Suspect,
O,I-Alinea,"municipal,",1,622,1014,Helvetica,#000,230,276,257,266,257,,Suspect,
O,I-Alinea,tenue,1,622,1014,Helvetica,#000,281,306,257,266,257,,,
O,I-Alinea,publiquement,1,622,1014,Helvetica,#000,310,372,257,266,257,,Suspect,
O,I-Alinea,le,1,622,1014,Helvetica,#000,377,384,257,266,257,,Suspect,
O,I-Alinea,20,1,622,1014,Helvetica,#000,388,399,257,266,257,,Suspect,
O,I-Alinea,octobre,1,622,1014,Helvetica,#000,404,437,257,266,257,,,
O,I-Alinea,2008,1,622,1014,Helvetica,#000,442,464,257,266,257,,Suspect,
O,I-Alinea,à,1,622,1014,Times-Roman,#000,469,474,256,267,256,,,
O,I-Alinea,20HOO,1,622,1014,Helvetica,#000,478,507,257,266,257,,Suspect,
O,I-Alinea,dans,1,622,1014,Helvetica,#000,68,89,268,277,268,,,
O,I-Alinea,la,1,622,1014,Helvetica,#000,93,100,268,277,268,,Suspect,
O,I-Alinea,salle,1,622,1014,Helvetica,#000,105,125,268,277,268,,Suspect,
O,I-Alinea,du,1,622,1014,Helvetica,#000,130,140,268,277,268,,,
O,I-Alinea,Conseil,1,622,1014,Helvetica,#000,145,177,268,277,268,,Suspect,
O,I-Alinea,Municipal,1,622,1014,Helvetica,#000,182,223,268,277,268,,Suspect,
O,I-Alinea,située,1,622,1014,Helvetica,#000,227,254,268,277,268,,,
O,I-Alinea,au,1,622,1014,Helvetica,#000,259,269,268,277,268,,,
O,I-Alinea,1386,1,622,1014,Helvetica,#000,275,297,268,277,268,,,
O,I-Alinea,de,1,622,1014,Helvetica,#000,301,311,268,277,268,,,
O,I-Alinea,la,1,622,1014,Helvetica,#000,316,323,268,277,268,,Suspect,
O,I-Alinea,rue,1,622,1014,Helvetica,#000,328,342,268,277,268,,,
O,I-Alinea,"Dumouchel,",1,622,1014,Helvetica,#000,346,400,268,277,268,,Suspect,
O,I-Alinea,"Sainte-Adèle,",1,622,1014,Helvetica,#000,404,465,268,277,268,,Suspect,
O,I-Alinea,province,1,622,1014,Helvetica,#000,470,508,268,277,268,,,
O,I-Alinea,de,1,622,1014,Helvetica,#000,68,78,278,288,278,,,
O,I-Alinea,"Québec,",1,622,1014,Helvetica,#000,84,121,278,288,278,,,
O,I-Alinea,lieu,1,622,1014,Helvetica,#000,127,142,278,288,278,,Suspect,
O,I-Alinea,ordinaire,1,622,1014,Helvetica,#000,148,188,278,288,278,,,
O,I-Alinea,des,1,622,1014,Helvetica,#000,194,209,278,288,278,,,
O,I-Alinea,séances,1,622,1014,Helvetica,#000,215,250,278,288,278,,,
