SeqTag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Tableau,RÈGLEMENT,1,604,995,Arial-BoldMT,#000,305,391,31,45,31,2,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,1324,1,604,995,Arial-BoldMT,#000,395,426,31,45,31,2,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,relatif,1,604,995,ArialMT,#000,230,257,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,au,1,604,995,ArialMT,#000,262,274,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,paiement,1,604,995,ArialMT,#000,278,323,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,d’une,1,604,995,ArialMT,#000,328,354,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,contribution,1,604,995,ArialMT,#000,359,416,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,pour,1,604,995,ArialMT,#000,420,442,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,financer,1,604,995,ArialMT,#000,446,485,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,en,1,604,995,ArialMT,#000,490,502,59,70,59,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,tout,1,604,995,ArialMT,#000,230,249,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,ou,1,604,995,ArialMT,#000,259,272,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,en,1,604,995,ArialMT,#000,282,295,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,partie,1,604,995,ArialMT,#000,305,333,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,une,1,604,995,ArialMT,#000,343,362,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,dépense,1,604,995,ArialMT,#000,372,415,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,liée,1,604,995,ArialMT,#000,425,442,72,83,72,4,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,à,1,604,995,ArialMT,#000,453,459,72,83,72,4,P,Document;Table;TBody;TR;TD;P
