SeqTag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Titre,CODIFICATION,1,612,1008,"ABCDEE+Arial,Bold",#000,254,334,185,196,185,7,P,Part;P
O,I-Titre,ADMINISTRATIVE,1,612,1008,"ABCDEE+Arial,Bold",#000,337,429,185,196,185,7,P,Part;P
O,B-Alinea,Mise,1,612,1008,ABCDEE+Arial,#000,108,131,236,247,236,11,P,Part;P
O,I-Alinea,en,1,612,1008,ABCDEE+Arial,#000,134,146,236,247,236,11,P,Part;P
O,I-Alinea,garde,1,612,1008,ABCDEE+Arial,#000,150,178,236,247,236,11,P,Part;P
O,B-Alinea,Le,1,612,1008,ABCDEE+Arial,#000,108,120,262,273,262,13,P,Part;P
O,I-Alinea,lecteur,1,612,1008,ABCDEE+Arial,#000,124,157,262,273,262,13,P,Part;P
O,I-Alinea,est,1,612,1008,ABCDEE+Arial,#000,161,176,262,273,262,13,P,Part;P
O,I-Alinea,par,1,612,1008,ABCDEE+Arial,#000,180,196,262,273,262,13,P,Part;P
O,I-Alinea,les,1,612,1008,ABCDEE+Arial,#000,200,214,262,273,262,13,P,Part;P
O,I-Alinea,présentes,1,612,1008,ABCDEE+Arial,#000,218,266,262,273,262,13,P,Part;P
O,I-Alinea,avisé,1,612,1008,ABCDEE+Arial,#000,270,296,262,273,262,13,P,Part;P
O,I-Alinea,que,1,612,1008,ABCDEE+Arial,#000,300,318,262,273,262,13,P,Part;P
O,I-Alinea,toute,1,612,1008,ABCDEE+Arial,#000,322,347,262,273,262,13,P,Part;P
O,I-Alinea,erreur,1,612,1008,ABCDEE+Arial,#000,350,380,262,273,262,13,P,Part;P
O,I-Alinea,ou,1,612,1008,ABCDEE+Arial,#000,384,396,262,273,262,13,P,Part;P
O,I-Alinea,omission,1,612,1008,ABCDEE+Arial,#000,400,443,262,273,262,13,P,Part;P
O,I-Alinea,qui,1,612,1008,ABCDEE+Arial,#000,447,462,262,273,262,13,P,Part;P
O,I-Alinea,pourrait,1,612,1008,ABCDEE+Arial,#000,466,503,262,273,262,13,P,Part;P
O,I-Alinea,être,1,612,1008,ABCDEE+Arial,#000,507,526,262,273,262,13,P,Part;P
