SeqTag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Titre,COMPILATION,1,604,995,"ABCDEE+Arial,Bold",#000,148,260,170,186,170,8,P,Part;P
O,I-Titre,ADMINISTRATIVE,1,604,995,"ABCDEE+Arial,Bold",#000,264,400,170,186,170,8,P,Part;P
O,B-Alinea,Mise,1,604,995,ABCDEE+Arial,#000,88,111,225,236,225,12,P,Part;P
O,I-Alinea,en,1,604,995,ABCDEE+Arial,#000,114,126,225,236,225,12,P,Part;P
O,I-Alinea,garde,1,604,995,ABCDEE+Arial,#000,129,158,225,236,225,12,P,Part;P
O,B-Alinea,Le,1,604,995,ABCDEE+Arial,#000,88,100,251,262,251,14,P,Part;P
O,I-Alinea,lecteur,1,604,995,ABCDEE+Arial,#000,103,136,251,262,251,14,P,Part;P
O,I-Alinea,est,1,604,995,ABCDEE+Arial,#000,139,154,251,262,251,14,P,Part;P
O,I-Alinea,par,1,604,995,ABCDEE+Arial,#000,157,173,251,262,251,14,P,Part;P
O,I-Alinea,les,1,604,995,ABCDEE+Arial,#000,176,190,251,262,251,14,P,Part;P
O,I-Alinea,présentes,1,604,995,ABCDEE+Arial,#000,193,241,251,262,251,14,P,Part;P
O,I-Alinea,avisé,1,604,995,ABCDEE+Arial,#000,244,270,251,262,251,14,P,Part;P
O,I-Alinea,que,1,604,995,ABCDEE+Arial,#000,273,291,251,262,251,14,P,Part;P
O,I-Alinea,toute,1,604,995,ABCDEE+Arial,#000,294,319,251,262,251,14,P,Part;P
O,I-Alinea,erreur,1,604,995,ABCDEE+Arial,#000,322,351,251,262,251,14,P,Part;P
O,I-Alinea,ou,1,604,995,ABCDEE+Arial,#000,354,367,251,262,251,14,P,Part;P
O,I-Alinea,omission,1,604,995,ABCDEE+Arial,#000,370,413,251,262,251,14,P,Part;P
O,I-Alinea,qui,1,604,995,ABCDEE+Arial,#000,416,431,251,262,251,14,P,Part;P
O,I-Alinea,pourrait,1,604,995,ABCDEE+Arial,#000,434,471,251,262,251,14,P,Part;P
O,I-Alinea,être,1,604,995,ABCDEE+Arial,#000,474,493,251,262,251,14,P,Part;P
O,I-Alinea,relevée,1,604,995,ABCDEE+Arial,#000,88,124,263,274,263,14,P,Part;P
O,I-Alinea,dans,1,604,995,ABCDEE+Arial,#000,127,151,263,274,263,14,P,Part;P
O,I-Alinea,le,1,604,995,ABCDEE+Arial,#000,154,162,263,274,263,14,P,Part;P
O,I-Alinea,texte,1,604,995,ABCDEE+Arial,#000,165,189,263,274,263,14,P,Part;P
O,I-Alinea,ci-après,1,604,995,ABCDEE+Arial,#000,192,232,263,274,263,14,P,Part;P
O,I-Alinea,n'a,1,604,995,ABCDEE+Arial,#000,235,249,263,274,263,14,P,Part;P
O,I-Alinea,pas,1,604,995,ABCDEE+Arial,#000,252,270,263,274,263,14,P,Part;P
O,I-Alinea,pour,1,604,995,ABCDEE+Arial,#000,273,295,263,274,263,14,P,Part;P
O,I-Alinea,effet,1,604,995,ABCDEE+Arial,#000,298,319,263,274,263,14,P,Part;P
O,I-Alinea,de,1,604,995,ABCDEE+Arial,#000,322,334,263,274,263,14,P,Part;P
O,I-Alinea,diminuer,1,604,995,ABCDEE+Arial,#000,337,380,263,274,263,14,P,Part;P
O,I-Alinea,le,1,604,995,ABCDEE+Arial,#000,383,391,263,274,263,14,P,Part;P
O,I-Alinea,caractère,1,604,995,ABCDEE+Arial,#000,394,440,263,274,263,14,P,Part;P
O,I-Alinea,exécutoire,1,604,995,ABCDEE+Arial,#000,443,494,263,274,263,14,P,Part;P
O,I-Alinea,des,1,604,995,ABCDEE+Arial,#000,88,106,276,287,276,14,P,Part;P
O,I-Alinea,règlements,1,604,995,ABCDEE+Arial,#000,109,163,276,287,276,14,P,Part;P
O,I-Alinea,et,1,604,995,ABCDEE+Arial,#000,166,175,276,287,276,14,P,Part;P
O,I-Alinea,"amendements,",1,604,995,ABCDEE+Arial,#000,178,251,276,287,276,14,P,Part;P
O,I-Alinea,tels,1,604,995,ABCDEE+Arial,#000,254,271,276,287,276,14,P,Part;P
O,I-Alinea,que,1,604,995,ABCDEE+Arial,#000,274,293,276,287,276,14,P,Part;P
O,I-Alinea,sanctionnés,1,604,995,ABCDEE+Arial,#000,296,354,276,287,276,14,P,Part;P
O,I-Alinea,dans,1,604,995,ABCDEE+Arial,#000,358,381,276,287,276,14,P,Part;P
O,I-Alinea,leur,1,604,995,ABCDEE+Arial,#000,384,403,276,287,276,14,P,Part;P
O,I-Alinea,version,1,604,995,ABCDEE+Arial,#000,406,441,276,287,276,14,P,Part;P
O,I-Alinea,originale,1,604,995,ABCDEE+Arial,#000,444,486,276,287,276,14,P,Part;P
O,I-Alinea,disponible,1,604,995,ABCDEE+Arial,#000,88,137,289,300,289,14,P,Part;P
O,I-Alinea,au,1,604,995,ABCDEE+Arial,#000,140,153,289,300,289,14,P,Part;P
O,I-Alinea,Service,1,604,995,ABCDEE+Arial,#000,156,192,289,300,289,14,P,Part;P
O,I-Alinea,du,1,604,995,ABCDEE+Arial,#000,195,208,289,300,289,14,P,Part;P
O,I-Alinea,greffe.,1,604,995,ABCDEE+Arial,#000,211,242,289,300,289,14,P,Part;P
O,I-Alinea,Pour,1,604,995,ABCDEE+Arial,#000,245,268,289,300,289,14,P,Part;P
