seqtag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,533,559,533,4,P,Document;P;Span
I-Titre,I-Titre,de,1,612,1008,BCDFEE+Lato,#555,208,236,533,559,533,4,P,Document;P;Span
I-Titre,I-Titre,lotissement,1,612,1008,BCDFEE+Lato,#555,242,368,533,559,533,4,P,Document;P;Span
I-Titre,B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,562,574,562,6,P,Document;P
I-Titre,I-Titre,1314-2021-L,1,612,1008,BCDEEE+Lato,#555,131,196,562,574,562,6,P,Document;P
B-Titre,B-Tete,Règlement,26,612,1008,BCDGEE+ArialNarrow,#777,85,117,36,45,25236,,Artifact,
I-Titre,I-Tete,de,26,612,1008,BCDGEE+ArialNarrow,#777,119,126,36,45,25236,,Artifact,
I-Titre,I-Tete,lotissement,26,612,1008,BCDGEE+ArialNarrow,#777,128,161,36,45,25236,,Artifact,
I-Titre,I-Tete,1314-2021-L,26,612,1008,BCDGEE+ArialNarrow,#777,163,200,36,45,25236,,Artifact,
O,I-Tete,Entrée,26,612,1008,BCDGEE+ArialNarrow,#777,475,495,36,45,25236,,Artifact,
O,I-Tete,en,26,612,1008,BCDGEE+ArialNarrow,#777,496,504,36,45,25236,,Artifact,
O,I-Tete,vigueur,26,612,1008,BCDGEE+ArialNarrow,#777,506,527,36,45,25236,,Artifact,
O,B-Titre,ENTRÉE,26,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,132,99,113,25299,0,P,Document;H3
O,I-Titre,EN,26,612,1008,BCDHEE+ArialNarrow-Bold,#222,135,151,99,113,25299,0,P,Document;H3
O,I-Titre,VIGUEUR,26,612,1008,BCDHEE+ArialNarrow-Bold,#222,154,206,99,113,25299,0,P,Document;H3
O,B-Alinea,Le,26,612,1008,BCDGEE+ArialNarrow,#222,113,123,139,149,25339,1,P,Document;H1
O,I-Alinea,présent,26,612,1008,BCDGEE+ArialNarrow,#222,125,152,139,149,25339,1,P,Document;H1
O,I-Alinea,règlement,26,612,1008,BCDGEE+ArialNarrow,#222,154,191,139,149,25339,1,P,Document;H1
O,I-Alinea,entre,26,612,1008,BCDGEE+ArialNarrow,#222,193,212,139,149,25339,1,P,Document;H1
O,I-Alinea,en,26,612,1008,BCDGEE+ArialNarrow,#222,214,223,139,149,25339,1,P,Document;H1
O,I-Alinea,vigueur,26,612,1008,BCDGEE+ArialNarrow,#222,226,252,139,149,25339,1,P,Document;H1
O,I-Alinea,conformément,26,612,1008,BCDGEE+ArialNarrow,#222,255,307,139,149,25339,1,P,Document;H1
O,I-Alinea,à,26,612,1008,BCDGEE+ArialNarrow,#222,309,314,139,149,25339,1,P,Document;H1
O,I-Alinea,la,26,612,1008,BCDGEE+ArialNarrow,#222,316,323,139,149,25339,1,P,Document;H1
O,I-Alinea,loi.,26,612,1008,BCDGEE+ArialNarrow,#222,325,335,139,149,25339,1,P,Document;H1
O,B-Tableau,Avis,26,612,1008,BCDGEE+ArialNarrow,#000,218,233,164,174,25364,2,P,Document;Table;THead;TR;TH;P
O,I-Tableau,de,26,612,1008,BCDGEE+ArialNarrow,#000,236,245,164,174,25364,2,P,Document;Table;THead;TR;TH;P
O,I-Tableau,motion,26,612,1008,BCDGEE+ArialNarrow,#000,247,272,164,174,25364,2,P,Document;Table;THead;TR;TH;P
O,I-Tableau,17,26,612,1008,BCDGEE+ArialNarrow,#000,429,438,164,174,25364,3,P,Document;Table;THead;TR;TH;P
O,I-Tableau,mai,26,612,1008,BCDGEE+ArialNarrow,#000,440,454,164,174,25364,3,P,Document;Table;THead;TR;TH;P
O,I-Tableau,2021,26,612,1008,BCDGEE+ArialNarrow,#000,456,474,164,174,25364,3,P,Document;Table;THead;TR;TH;P
O,I-Tableau,Adoption,26,612,1008,BCDGEE+ArialNarrow,#000,229,261,180,190,25380,4,P,Document;Table;TBody;TR;TH;P
O,I-Tableau,19,26,612,1008,BCDGEE+ArialNarrow,#000,426,435,180,190,25380,5,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,juillet,26,612,1008,BCDGEE+ArialNarrow,#000,438,456,180,190,25380,5,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,2021,26,612,1008,BCDGEE+ArialNarrow,#000,458,477,180,190,25380,5,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,Entrée,26,612,1008,BCDGEE+ArialNarrow,#000,213,237,195,205,25395,6,P,Document;Table;TBody;TR;TH;P
O,I-Tableau,en,26,612,1008,BCDGEE+ArialNarrow,#000,239,248,195,205,25395,6,P,Document;Table;TBody;TR;TH;P
O,I-Tableau,vigueur,26,612,1008,BCDGEE+ArialNarrow,#000,250,277,195,205,25395,6,P,Document;Table;TBody;TR;TH;P
O,I-Tableau,23,26,612,1008,BCDGEE+ArialNarrow,#000,416,425,195,205,25395,7,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,septembre,26,612,1008,BCDGEE+ArialNarrow,#000,428,466,195,205,25395,7,P,Document;Table;TBody;TR;TD;P
O,I-Tableau,2021,26,612,1008,BCDGEE+ArialNarrow,#000,469,487,195,205,25395,7,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,Signé,26,612,1008,BCDGEE+ArialNarrow,#222,113,134,249,259,25449,11,P,Document;H1
O,I-Alinea,à,26,612,1008,BCDGEE+ArialNarrow,#222,137,141,249,259,25449,11,P,Document;H1
O,I-Alinea,"Sainte-Adèle,",26,612,1008,BCDGEE+ArialNarrow,#222,143,193,249,259,25449,11,P,Document;H1
O,I-Alinea,ce,26,612,1008,BCDGEE+ArialNarrow,#222,195,203,249,259,25449,11,P,Document;H1
O,I-Alinea,13e,26,612,1008,BCDGEE+ArialNarrow,#222,206,218,249,259,25449,11,P,Document;H1
O,I-Alinea,jour,26,612,1008,BCDGEE+ArialNarrow,#222,220,234,249,259,25449,11,P,Document;H1
O,I-Alinea,du,26,612,1008,BCDGEE+ArialNarrow,#222,236,245,249,259,25449,11,P,Document;H1
O,I-Alinea,mois,26,612,1008,BCDGEE+ArialNarrow,#222,248,265,249,259,25449,11,P,Document;H1
O,I-Alinea,d’octobre,26,612,1008,BCDGEE+ArialNarrow,#222,267,301,249,259,25449,11,P,Document;H1
O,I-Alinea,de,26,612,1008,BCDJEE+ArialNarrow,#222,303,312,249,259,25449,11,P,Document;H1
O,I-Alinea,l’an,26,612,1008,BCDJEE+ArialNarrow,#222,315,327,249,259,25449,11,P,Document;H1
O,I-Alinea,2021.,26,612,1008,BCDJEE+ArialNarrow,#222,330,350,249,259,25449,11,P,Document;H1
O,B-Alinea,(s),26,612,1008,BCDGEE+ArialNarrow,#222,113,123,279,289,25479,12,P,Document;H1
O,I-Alinea,Nadine,26,612,1008,BCDGEE+ArialNarrow,#222,125,151,279,289,25479,12,P,Document;H1
O,I-Alinea,Brière,26,612,1008,BCDGEE+ArialNarrow,#222,153,175,279,289,25479,12,P,Document;H1
O,I-Alinea,(s),26,612,1008,BCDGEE+ArialNarrow,#222,298,307,279,289,25479,12,P,Document;H1
O,I-Alinea,Audrey,26,612,1008,BCDGEE+ArialNarrow,#222,310,336,279,289,25479,12,P,Document;H1
O,I-Alinea,Senécal,26,612,1008,BCDGEE+ArialNarrow,#222,338,367,279,289,25479,12,P,Document;H1
O,O,__________________________,26,612,1008,BCDGEE+ArialNarrow,#000,114,233,290,300,25490,13,P,Document;P
O,O,___________________________________,26,612,1008,BCDGEE+ArialNarrow,#000,298,457,290,300,25490,13,P,Document;P
O,B-Alinea,Nadine,26,612,1008,BCDGEE+ArialNarrow,#000,113,139,303,313,25503,14,P,Document;P
O,I-Alinea,Brière,26,612,1008,BCDGEE+ArialNarrow,#000,142,163,303,313,25503,14,P,Document;P
O,I-Alinea,Me,26,612,1008,BCDGEE+ArialNarrow,#000,298,309,303,313,25503,14,P,Document;P
O,I-Alinea,Audrey,26,612,1008,BCDGEE+ArialNarrow,#000,311,337,303,313,25503,14,P,Document;P
O,I-Alinea,Senécal,26,612,1008,BCDGEE+ArialNarrow,#000,340,369,303,313,25503,14,P,Document;P
O,B-Alinea,Mairesse,26,612,1008,BCDGEE+ArialNarrow,#000,113,147,315,325,25515,15,P,Document;P
O,I-Alinea,Greffière,26,612,1008,BCDGEE+ArialNarrow,#000,298,330,315,325,25515,15,P,Document;P
O,I-Alinea,et,26,612,1008,BCDGEE+ArialNarrow,#000,332,339,315,325,25515,15,P,Document;P
O,I-Alinea,directrice,26,612,1008,BCDGEE+ArialNarrow,#000,341,374,315,325,25515,15,P,Document;P
O,I-Alinea,des,26,612,1008,BCDGEE+ArialNarrow,#000,377,390,315,325,25515,15,P,Document;P
O,I-Alinea,services,26,612,1008,BCDGEE+ArialNarrow,#000,392,422,315,325,25515,15,P,Document;P
O,I-Alinea,juridiques,26,612,1008,BCDGEE+ArialNarrow,#000,424,459,315,325,25515,15,P,Document;P
O,O,**************************************************,26,612,1008,BCDGEE+ArialNarrow,#000,226,385,352,362,25552,18,P,Document;P
O,B-Titre,CERTIFICAT,26,612,1008,BCDKEE+ArialNarrow-Bold,#000,246,295,373,383,25573,19,P,Document;P
O,I-Titre,D’APPROBATION,26,612,1008,BCDKEE+ArialNarrow-Bold,#000,297,366,373,383,25573,19,P,Document;P
O,B-Titre,RÈGLEMENT,26,612,1008,BCDHEE+ArialNarrow-Bold,#000,226,277,403,413,25603,20,P,Document;P
B-Numero,I-Titre,1314-2021-L,26,612,1008,BCDHEE+ArialNarrow-Bold,#000,279,326,403,413,25603,20,P,Document;P
O,I-Titre,de,26,612,1008,BCDHEE+ArialNarrow-Bold,#000,329,338,403,413,25603,20,P,Document;P
O,I-Titre,lotissement,26,612,1008,BCDHEE+ArialNarrow-Bold,#000,341,386,403,413,25603,20,P,Document;P
O,B-Alinea,En,26,612,1008,BCDJEE+ArialNarrow,#000,113,123,444,454,25644,22,P,Document;P
O,I-Alinea,vertu,26,612,1008,BCDJEE+ArialNarrow,#000,126,144,444,454,25644,22,P,Document;P
O,I-Alinea,de,26,612,1008,BCDJEE+ArialNarrow,#000,146,155,444,454,25644,22,P,Document;P
