SeqTag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Tete,Règlement,1,612,792,BCDEEE+ArialNarrow,#777,97,128,36,45,36,,Artifact,
O,I-Tete,relatif,1,612,792,BCDEEE+ArialNarrow,#777,130,146,36,45,36,,Artifact,
O,I-Tete,aux,1,612,792,BCDEEE+ArialNarrow,#777,148,159,36,45,36,,Artifact,
O,I-Tete,PIIA,1,612,792,BCDEEE+ArialNarrow,#777,160,173,36,45,36,,Artifact,
O,I-Tete,numéro,1,612,792,BCDEEE+ArialNarrow,#777,175,197,36,45,36,,Artifact,
O,I-Tete,1314-2021-PIIA,1,612,792,BCDEEE+ArialNarrow,#777,199,245,36,45,36,,Artifact,
O,I-Tete,Entrée,1,612,792,BCDEEE+ArialNarrow,#777,505,525,36,45,36,,Artifact,
O,I-Tete,en,1,612,792,BCDEEE+ArialNarrow,#777,527,534,36,45,36,,Artifact,
O,I-Tete,vigueur,1,612,792,BCDEEE+ArialNarrow,#777,536,557,36,45,36,,Artifact,
O,B-Tableau,Ville,1,612,792,BCDIEE+Cambria-Bold,#000,239,269,320,334,320,3,Span,Document;Table;TR;TH;P
O,I-Tableau,de,1,612,792,BCDIEE+Cambria-Bold,#000,272,288,320,334,320,3,Span,Document;Table;TR;TH;P
O,I-Tableau,Sainte-Adèle,1,612,792,BCDIEE+Cambria-Bold,#000,291,372,320,334,320,3,Span,Document;Table;TR;TH;P
O,I-Tableau,Règlement,1,612,792,BCDJEE+Calibri-Bold,#000,145,306,361,397,361,5,Span,Document;Table;TR;TH;P
O,I-Tableau,relatif,1,612,792,BCDJEE+Calibri-Bold,#000,314,405,361,397,361,5,Span,Document;Table;TR;TH;P
O,I-Tableau,aux,1,612,792,BCDJEE+Calibri-Bold,#000,413,466,361,397,361,5,Span,Document;Table;TR;TH;P
O,I-Tableau,plans,1,612,792,BCDKEE+Calibri-Bold,#000,131,211,408,444,408,5,Span,Document;Table;TR;TH;P
O,I-Tableau,d’implantation,1,612,792,BCDKEE+Calibri-Bold,#000,219,441,408,444,408,5,Span,Document;Table;TR;TH;P
O,I-Tableau,et,1,612,792,BCDKEE+Calibri-Bold,#000,449,480,408,444,408,5,Span,Document;Table;TR;TH;P
O,I-Tableau,d’intégration,1,612,792,BCDKEE+Calibri-Bold,#000,208,403,456,492,456,5,Span,Document;Table;TR;TH;P
O,I-Tableau,architecturale,1,612,792,BCDJEE+Calibri-Bold,#000,201,410,503,539,503,5,Span,Document;Table;TR;TH;P
O,I-Tableau,numéro,1,612,792,BCDJEE+Calibri-Bold,#000,187,266,556,580,556,6,Span,Document;Table;TR;TH;P
O,I-Tableau,1314-2021-PIIA,1,612,792,BCDJEE+Calibri-Bold,#000,272,424,556,580,556,6,Span,Document;Table;TR;TH;P
O,I-Tableau,Codification,1,612,792,BCDJEE+Calibri-Bold,#000,153,223,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,administrative,1,612,792,BCDJEE+Calibri-Bold,#000,226,310,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,:,1,612,792,BCDJEE+Calibri-Bold,#000,314,318,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,à,1,612,792,BCDJEE+Calibri-Bold,#000,324,331,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,jour,1,612,792,BCDJEE+Calibri-Bold,#000,334,357,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,–,1,612,792,BCDKEE+Calibri-Bold,#000,361,368,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,22,1,612,792,BCDJEE+Calibri-Bold,#000,371,385,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,février,1,612,792,BCDJEE+Calibri-Bold,#000,388,427,616,630,616,8,Span,Document;Table;TR;TH;P
O,I-Tableau,2023,1,612,792,BCDJEE+Calibri-Bold,#000,430,458,616,630,616,8,Span,Document;Table;TR;TH;P
