seqtag,tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,sur,1,612,1008,BCDFEE+Lato,#555,208,243,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,les,1,612,1008,BCDFEE+Lato,#555,248,278,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,ententes,1,612,1008,BCDFEE+Lato,#555,283,380,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,relatives,1,612,1008,BCDFEE+Lato,#555,385,477,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,à,1,612,1008,BCDFEE+Lato,#555,482,495,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,des,1,612,1008,BCDFEE+Lato,#555,85,124,551,577,551,3,P,Document;P;Span
I-Titre,I-Titre,travaux,1,612,1008,BCDFEE+Lato,#555,129,211,551,577,551,3,P,Document;P;Span
I-Titre,I-Titre,municipaux,1,612,1008,BCDFEE+Lato,#555,217,343,551,577,551,3,P,Document;P;Span
I-Titre,B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,580,592,580,5,P,Document;P
I-Titre,I-Titre,1314-2021-TM,1,612,1008,BCDEEE+Lato,#555,128,205,580,592,580,5,P,Document;P
B-Titre,B-Tete,Règlement,19,612,1008,BCDGEE+ArialNarrow,#777,85,117,36,45,18183,,Artifact,
I-Titre,I-Tete,sur,19,612,1008,BCDGEE+ArialNarrow,#777,119,128,36,45,18183,,Artifact,
I-Titre,I-Tete,les,19,612,1008,BCDGEE+ArialNarrow,#777,130,138,36,45,18183,,Artifact,
I-Titre,I-Tete,ententes,19,612,1008,BCDGEE+ArialNarrow,#777,140,165,36,45,18183,,Artifact,
I-Titre,I-Tete,relatives,19,612,1008,BCDGEE+ArialNarrow,#777,167,191,36,45,18183,,Artifact,
I-Titre,I-Tete,à,19,612,1008,BCDGEE+ArialNarrow,#777,193,197,36,45,18183,,Artifact,
I-Titre,I-Tete,des,19,612,1008,BCDGEE+ArialNarrow,#777,199,209,36,45,18183,,Artifact,
I-Titre,I-Tete,travaux,19,612,1008,BCDGEE+ArialNarrow,#777,211,232,36,45,18183,,Artifact,
I-Titre,I-Tete,municipaux,19,612,1008,BCDGEE+ArialNarrow,#777,234,267,36,45,18183,,Artifact,
I-Titre,I-Tete,numéro,19,612,1008,BCDGEE+ArialNarrow,#777,269,291,36,45,18183,,Artifact,
I-Titre,I-Tete,1314-2021-TM,19,612,1008,BCDGEE+ArialNarrow,#777,293,337,36,45,18183,,Artifact,
O,I-Tete,Annexe,19,612,1008,BCDGEE+ArialNarrow,#777,499,521,36,45,18183,,Artifact,
O,I-Tete,A,19,612,1008,BCDGEE+ArialNarrow,#777,523,527,36,45,18183,,Artifact,
O,B-Liste,5.,19,612,1008,BCDGEE+ArialNarrow,#222,85,92,110,120,18256,1,P,Document;H1
O,I-Liste,DÉCLARATION,19,612,1008,BCDGEE+ArialNarrow,#222,94,152,110,120,18256,1,P,Document;H1
O,B-Alinea,"Je,",19,612,1008,BCDGEE+ArialNarrow,#222,85,96,134,143,18280,2,P,Document;H1
O,I-Alinea,"soussigné(e),",19,612,1008,BCDGEE+ArialNarrow,#222,98,147,134,143,18280,2,P,Document;H1
O,I-Alinea,"____________________________,",19,612,1008,BCDGEE+ArialNarrow,#222,149,279,134,143,18280,2,P,Document;H1
O,I-Alinea,agissant,19,612,1008,BCDGEE+ArialNarrow,#222,280,311,134,143,18280,2,P,Document;H1
O,I-Alinea,pour,19,612,1008,BCDGEE+ArialNarrow,#222,313,329,134,143,18280,2,P,Document;H1
O,I-Alinea,et,19,612,1008,BCDGEE+ArialNarrow,#222,331,338,134,143,18280,2,P,Document;H1
O,I-Alinea,au,19,612,1008,BCDGEE+ArialNarrow,#222,339,348,134,143,18280,2,P,Document;H1
O,I-Alinea,nom,19,612,1008,BCDGEE+ArialNarrow,#222,350,366,134,143,18280,2,P,Document;H1
O,I-Alinea,de_________________________,19,612,1008,BCDGEE+ArialNarrow,#222,368,491,134,143,18280,2,P,Document;H1
O,I-Alinea,demande,19,612,1008,BCDGEE+ArialNarrow,#222,493,527,134,143,18280,2,P,Document;H1
O,I-Alinea,à,19,612,1008,BCDGEE+ArialNarrow,#222,85,90,145,155,18291,2,P,Document;H1
O,I-Alinea,la,19,612,1008,BCDGEE+ArialNarrow,#222,91,98,145,155,18291,2,P,Document;H1
O,I-Alinea,Ville,19,612,1008,BCDGEE+ArialNarrow,#222,100,115,145,155,18291,2,P,Document;H1
O,I-Alinea,de,19,612,1008,BCDGEE+ArialNarrow,#222,117,126,145,155,18291,2,P,Document;H1
O,I-Alinea,Sainte-Adèle,19,612,1008,BCDGEE+ArialNarrow,#222,128,175,145,155,18291,2,P,Document;H1
O,I-Alinea,de,19,612,1008,BCDJEE+ArialNarrow,#222,177,186,145,155,18291,2,P,Document;H1
O,I-Alinea,procéder,19,612,1008,BCDJEE+ArialNarrow,#222,188,220,145,155,18291,2,P,Document;H1
O,I-Alinea,à,19,612,1008,BCDJEE+ArialNarrow,#222,222,226,145,155,18291,2,P,Document;H1
O,I-Alinea,la,19,612,1008,BCDJEE+ArialNarrow,#222,228,235,145,155,18291,2,P,Document;H1
O,I-Alinea,conclusion,19,612,1008,BCDJEE+ArialNarrow,#222,236,275,145,155,18291,2,P,Document;H1
O,I-Alinea,d’une,19,612,1008,BCDJEE+ArialNarrow,#222,277,297,145,155,18291,2,P,Document;H1
O,I-Alinea,entente,19,612,1008,BCDJEE+ArialNarrow,#222,299,326,145,155,18291,2,P,Document;H1
O,I-Alinea,relative,19,612,1008,BCDJEE+ArialNarrow,#222,328,354,145,155,18291,2,P,Document;H1
O,I-Alinea,aux,19,612,1008,BCDJEE+ArialNarrow,#222,356,369,145,155,18291,2,P,Document;H1
