seqtag,segtag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Titre,VILLE,1,612,1008,Verdana-Bold,#000,108,141,97,107,97,,,
O,I-Titre,DE,1,612,1008,Verdana-Bold,#000,144,159,97,107,97,,,
O,I-Titre,SAINTE-ADÈLE,1,612,1008,Verdana-Bold,#000,163,246,97,107,97,,,
O,B-Titre,PROVINCE,1,612,1008,Verdana-Bold,#000,108,167,121,131,121,,,
O,I-Titre,DE,1,612,1008,Verdana-Bold,#000,171,186,121,131,121,,,
O,I-Titre,QUÉBEC,1,612,1008,Verdana-Bold,#000,189,235,121,131,121,,,
O,B-Titre,COMTE,1,612,1008,Verdana-Bold,#000,108,147,145,155,145,,,
O,I-Titre,DE,1,612,1008,Verdana-Bold,#000,150,166,145,155,145,,,
O,I-Titre,BERTRAND,1,612,1008,Verdana-Bold,#000,169,231,145,155,145,,,
O,B-Titre,RÈGLEMENT,1,612,1008,Verdana-Bold,#000,249,317,208,218,208,,,
O,I-Titre,NO.,1,612,1008,Verdana-Bold,#000,320,341,208,218,208,,,
B-Numero,I-Titre,1144-2010,1,612,1008,Verdana-Bold,#000,344,406,208,218,208,,,
O,B-Alinea,A,1,612,1008,Verdana,#000,108,114,263,272,263,,,
O,I-Alinea,une,1,612,1008,Verdana,#000,119,136,263,272,263,,,
O,I-Alinea,séance,1,612,1008,Verdana,#000,140,171,263,272,263,,,
O,I-Alinea,ordinaire,1,612,1008,Verdana,#000,176,216,263,272,263,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,221,232,263,272,263,,,
O,I-Alinea,Conseil,1,612,1008,Verdana,#000,237,269,263,272,263,,,
O,I-Alinea,"municipal,",1,612,1008,Verdana,#000,274,321,263,272,263,,,
O,I-Alinea,tenue,1,612,1008,Verdana,#000,325,351,263,272,263,,,
O,I-Alinea,publiquement,1,612,1008,Verdana,#000,356,418,263,272,263,,,
O,I-Alinea,le,1,612,1008,Verdana,#000,422,430,263,272,263,,,
