tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,COMPILATION,1,604,995,"ABCDEE+Arial,Bold",#000,148,260,170,186,170,8,P,Part;P
I-Titre,ADMINISTRATIVE,1,604,995,"ABCDEE+Arial,Bold",#000,264,400,170,186,170,8,P,Part;P
B-Alinea,Mise,1,604,995,ABCDEE+Arial,#000,88,111,225,236,225,12,P,Part;P
I-Alinea,en,1,604,995,ABCDEE+Arial,#000,114,126,225,236,225,12,P,Part;P
I-Alinea,garde,1,604,995,ABCDEE+Arial,#000,129,158,225,236,225,12,P,Part;P
B-Alinea,Le,1,604,995,ABCDEE+Arial,#000,88,100,251,262,251,14,P,Part;P
I-Alinea,lecteur,1,604,995,ABCDEE+Arial,#000,103,136,251,262,251,14,P,Part;P
I-Alinea,est,1,604,995,ABCDEE+Arial,#000,139,154,251,262,251,14,P,Part;P
I-Alinea,par,1,604,995,ABCDEE+Arial,#000,157,173,251,262,251,14,P,Part;P
I-Alinea,les,1,604,995,ABCDEE+Arial,#000,176,190,251,262,251,14,P,Part;P
I-Alinea,présentes,1,604,995,ABCDEE+Arial,#000,193,241,251,262,251,14,P,Part;P
I-Alinea,avisé,1,604,995,ABCDEE+Arial,#000,244,270,251,262,251,14,P,Part;P
I-Alinea,que,1,604,995,ABCDEE+Arial,#000,273,291,251,262,251,14,P,Part;P
I-Alinea,toute,1,604,995,ABCDEE+Arial,#000,294,319,251,262,251,14,P,Part;P
I-Alinea,erreur,1,604,995,ABCDEE+Arial,#000,322,351,251,262,251,14,P,Part;P
I-Alinea,ou,1,604,995,ABCDEE+Arial,#000,354,367,251,262,251,14,P,Part;P
I-Alinea,omission,1,604,995,ABCDEE+Arial,#000,370,413,251,262,251,14,P,Part;P
I-Alinea,qui,1,604,995,ABCDEE+Arial,#000,416,431,251,262,251,14,P,Part;P
I-Alinea,pourrait,1,604,995,ABCDEE+Arial,#000,434,471,251,262,251,14,P,Part;P
I-Alinea,être,1,604,995,ABCDEE+Arial,#000,474,493,251,262,251,14,P,Part;P
I-Alinea,relevée,1,604,995,ABCDEE+Arial,#000,88,124,263,274,263,14,P,Part;P
I-Alinea,dans,1,604,995,ABCDEE+Arial,#000,127,151,263,274,263,14,P,Part;P
I-Alinea,le,1,604,995,ABCDEE+Arial,#000,154,162,263,274,263,14,P,Part;P
I-Alinea,texte,1,604,995,ABCDEE+Arial,#000,165,189,263,274,263,14,P,Part;P
I-Alinea,ci-après,1,604,995,ABCDEE+Arial,#000,192,232,263,274,263,14,P,Part;P
I-Alinea,n'a,1,604,995,ABCDEE+Arial,#000,235,249,263,274,263,14,P,Part;P
I-Alinea,pas,1,604,995,ABCDEE+Arial,#000,252,270,263,274,263,14,P,Part;P
I-Alinea,pour,1,604,995,ABCDEE+Arial,#000,273,295,263,274,263,14,P,Part;P
I-Alinea,effet,1,604,995,ABCDEE+Arial,#000,298,319,263,274,263,14,P,Part;P
I-Alinea,de,1,604,995,ABCDEE+Arial,#000,322,334,263,274,263,14,P,Part;P
I-Alinea,diminuer,1,604,995,ABCDEE+Arial,#000,337,380,263,274,263,14,P,Part;P
I-Alinea,le,1,604,995,ABCDEE+Arial,#000,383,391,263,274,263,14,P,Part;P
I-Alinea,caractère,1,604,995,ABCDEE+Arial,#000,394,440,263,274,263,14,P,Part;P
I-Alinea,exécutoire,1,604,995,ABCDEE+Arial,#000,443,494,263,274,263,14,P,Part;P
I-Alinea,des,1,604,995,ABCDEE+Arial,#000,88,106,276,287,276,14,P,Part;P
I-Alinea,règlements,1,604,995,ABCDEE+Arial,#000,109,163,276,287,276,14,P,Part;P
I-Alinea,et,1,604,995,ABCDEE+Arial,#000,166,175,276,287,276,14,P,Part;P
I-Alinea,"amendements,",1,604,995,ABCDEE+Arial,#000,178,251,276,287,276,14,P,Part;P
I-Alinea,tels,1,604,995,ABCDEE+Arial,#000,254,271,276,287,276,14,P,Part;P
I-Alinea,que,1,604,995,ABCDEE+Arial,#000,274,293,276,287,276,14,P,Part;P
I-Alinea,sanctionnés,1,604,995,ABCDEE+Arial,#000,296,354,276,287,276,14,P,Part;P
I-Alinea,dans,1,604,995,ABCDEE+Arial,#000,358,381,276,287,276,14,P,Part;P
I-Alinea,leur,1,604,995,ABCDEE+Arial,#000,384,403,276,287,276,14,P,Part;P
I-Alinea,version,1,604,995,ABCDEE+Arial,#000,406,441,276,287,276,14,P,Part;P
I-Alinea,originale,1,604,995,ABCDEE+Arial,#000,444,486,276,287,276,14,P,Part;P
I-Alinea,disponible,1,604,995,ABCDEE+Arial,#000,88,137,289,300,289,14,P,Part;P
I-Alinea,au,1,604,995,ABCDEE+Arial,#000,140,153,289,300,289,14,P,Part;P
I-Alinea,Service,1,604,995,ABCDEE+Arial,#000,156,192,289,300,289,14,P,Part;P
I-Alinea,du,1,604,995,ABCDEE+Arial,#000,195,208,289,300,289,14,P,Part;P
I-Alinea,greffe.,1,604,995,ABCDEE+Arial,#000,211,242,289,300,289,14,P,Part;P
I-Alinea,Pour,1,604,995,ABCDEE+Arial,#000,245,268,289,300,289,14,P,Part;P
I-Alinea,vérifier,1,604,995,ABCDEE+Arial,#000,271,304,289,300,289,14,P,Part;P
I-Alinea,les,1,604,995,ABCDEE+Arial,#000,307,321,289,300,289,14,P,Part;P
I-Alinea,dispositions,1,604,995,ABCDEE+Arial,#000,324,382,289,300,289,14,P,Part;P
I-Alinea,"applicables,",1,604,995,ABCDEE+Arial,#000,385,443,289,300,289,14,P,Part;P
I-Alinea,le,1,604,995,ABCDEE+Arial,#000,446,454,289,300,289,14,P,Part;P
I-Alinea,lecteur,1,604,995,ABCDEE+Arial,#000,458,491,289,300,289,14,P,Part;P
I-Alinea,pourra,1,604,995,ABCDEE+Arial,#000,88,120,301,312,301,14,P,Part;P
I-Alinea,consulter,1,604,995,ABCDEE+Arial,#000,123,167,301,312,301,14,P,Part;P
I-Alinea,le,1,604,995,ABCDEE+Arial,#000,170,179,301,312,301,14,P,Part;P
I-Alinea,texte,1,604,995,ABCDEE+Arial,#000,182,206,301,312,301,14,P,Part;P
I-Alinea,officiel,1,604,995,ABCDEE+Arial,#000,209,240,301,312,301,14,P,Part;P
I-Alinea,au,1,604,995,ABCDEE+Arial,#000,243,255,301,312,301,14,P,Part;P
I-Alinea,Service,1,604,995,ABCDEE+Arial,#000,258,295,301,312,301,14,P,Part;P
I-Alinea,du,1,604,995,ABCDEE+Arial,#000,298,310,301,312,301,14,P,Part;P
I-Alinea,greffe,1,604,995,ABCDEE+Arial,#000,313,341,301,312,301,14,P,Part;P
I-Alinea,de,1,604,995,ABCDEE+Arial,#000,344,357,301,312,301,14,P,Part;P
I-Alinea,la,1,604,995,ABCDEE+Arial,#000,360,368,301,312,301,14,P,Part;P
I-Alinea,ville,1,604,995,ABCDEE+Arial,#000,371,390,301,312,301,14,P,Part;P
I-Alinea,de,1,604,995,ABCDEE+Arial,#000,393,406,301,312,301,14,P,Part;P
I-Alinea,Sainte-Adèle.,1,604,995,ABCDEE+Arial,#000,409,475,301,312,301,14,P,Part;P
B-Alinea,La,1,604,995,ABCDEE+Arial,#000,88,100,327,338,327,16,P,Part;P
I-Alinea,"mention,",1,604,995,ABCDEE+Arial,#000,103,145,327,338,327,16,P,Part;P
I-Alinea,à,1,604,995,ABCDEE+Arial,#000,148,155,327,338,327,16,P,Part;P
I-Alinea,la,1,604,995,ABCDEE+Arial,#000,158,166,327,338,327,16,P,Part;P
