tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
I-Tableau,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,261,329,107,118,107,3,Span,Document;Table;TBody;TR;TH;P
I-Tableau,NUMÉRO,1,612,1008,Arial-BoldMT,#000,332,380,107,118,107,3,Span,Document;Table;TBody;TR;TH;P
I-Tableau,1310,1,612,1008,Arial-BoldMT,#000,383,407,107,118,107,3,Span,Document;Table;TBody;TR;TH;P
I-Tableau,décrétant,1,612,1008,BOWBWB+Arial,#000,215,261,135,146,135,5,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,l’identification,1,612,1008,BOWBWB+Arial,#000,264,330,135,146,135,7,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,du,1,612,1008,BOWBWB+Arial,#000,333,345,135,146,135,9,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,circuit,1,612,1008,BOWBWB+Arial,#000,348,377,135,146,135,11,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,de,1,612,1008,BOWBWB+Arial,#000,380,392,135,146,135,13,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,ski,1,612,1008,BOWBWB+Arial,#000,396,409,135,146,135,15,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,de,1,612,1008,BOWBWB+Arial,#000,412,424,135,146,135,17,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,fond,1,612,1008,BOWBWB+Arial,#000,427,449,135,146,135,19,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,«,1,612,1008,BOWBWB+Arial,#000,240,247,148,159,148,21,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,Maple,1,612,1008,BOWBWB+Arial,#000,250,280,148,159,148,23,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,Leaf,1,612,1008,BOWBWB+Arial,#000,283,304,148,159,148,25,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,»,1,612,1008,BOWBWB+Arial,#000,307,313,148,159,148,27,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,comme,1,612,1008,BOWBWB+Arial,#000,316,352,148,159,148,29,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,lieu,1,612,1008,BOWBWB+Arial,#000,356,373,148,159,148,31,Span,Document;Table;TBody;TR;TH;P;Span
I-Tableau,historique,1,612,1008,BOWBWB+Arial,#000,376,423,148,159,148,33,Span,Document;Table;TBody;TR;TH;P;Span
B-Alinea,Séance,1,612,1008,BOWBWB+Arial,#000,106,144,205,216,205,38,Span,Document;P
I-Alinea,ordinaire,1,612,1008,BOWBWB+Arial,#000,148,190,205,216,205,38,Span,Document;P
I-Alinea,du,1,612,1008,BOWBWB+Arial,#000,194,206,205,216,205,38,Span,Document;P
I-Alinea,conseil,1,612,1008,BOWBWB+Arial,#000,210,244,205,216,205,38,Span,Document;P
I-Alinea,"municipal,",1,612,1008,BOWBWB+Arial,#000,248,297,205,216,205,38,Span,Document;P
I-Alinea,tenue,1,612,1008,BOWBWB+Arial,#000,301,328,205,216,205,38,Span,Document;P
I-Alinea,exclusivement,1,612,1008,BOWBWB+Arial,#000,332,402,205,216,205,38,Span,Document;P
I-Alinea,par,1,612,1008,BOWBWB+Arial,#000,405,421,205,216,205,38,Span,Document;P
I-Alinea,vidéoconférence,1,612,1008,BOWBWB+Arial,#000,425,505,205,216,205,38,Span,Document;P
I-Alinea,le,1,612,1008,BOWBWB+Arial,#000,509,518,205,216,205,38,Span,Document;P
I-Alinea,17,1,612,1008,BOWBWB+Arial,#000,106,119,218,229,218,38,Span,Document;P
I-Alinea,mai,1,612,1008,BOWBWB+Arial,#000,121,139,218,229,218,38,Span,Document;P
I-Alinea,2021,1,612,1008,BOWBWB+Arial,#000,142,166,218,229,218,38,Span,Document;P
I-Alinea,à,1,612,1008,BOWBWB+Arial,#000,169,175,218,229,218,38,Span,Document;P
I-Alinea,"19h,",1,612,1008,BOWBWB+Arial,#000,178,199,218,229,218,38,Span,Document;P
I-Alinea,à,1,612,1008,BOWBWB+Arial,#000,202,208,218,229,218,38,Span,Document;P
I-Alinea,laquelle,1,612,1008,BOWBWB+Arial,#000,211,249,218,229,218,38,Span,Document;P
I-Alinea,sont,1,612,1008,BOWBWB+Arial,#000,251,272,218,229,218,38,Span,Document;P
I-Alinea,présents,1,612,1008,BOWBWB+Arial,#000,275,317,218,229,218,38,Span,Document;P
I-Alinea,les,1,612,1008,BOWBWB+Arial,#000,320,334,218,229,218,38,Span,Document;P
I-Alinea,membres,1,612,1008,BOWBWB+Arial,#000,337,383,218,229,218,38,Span,Document;P
I-Alinea,du,1,612,1008,BOWBWB+Arial,#000,385,398,218,229,218,38,Span,Document;P
I-Alinea,conseil,1,612,1008,BOWBWB+Arial,#000,400,434,218,229,218,38,Span,Document;P
I-Alinea,suivants,1,612,1008,BOWBWB+Arial,#000,437,478,218,229,218,38,Span,Document;P
I-Alinea,formant,1,612,1008,BOWBWB+Arial,#000,480,518,218,229,218,38,Span,Document;P
I-Alinea,le,1,612,1008,BOWBWB+Arial,#000,106,115,230,241,230,38,Span,Document;P
I-Alinea,quorum,1,612,1008,BOWBWB+Arial,#000,118,155,230,241,230,38,Span,Document;P
I-Alinea,:,1,612,1008,BOWBWB+Arial,#000,159,162,230,241,230,38,Span,Document;P
B-Liste,Monsieur,1,612,1008,BOWBWB+Arial,#000,106,152,256,267,256,40,Span,Document;P
I-Liste,Pierre,1,612,1008,BOWBWB+Arial,#000,155,184,256,267,256,40,Span,Document;P
I-Liste,Lafond,1,612,1008,BOWBWB+Arial,#000,187,221,256,267,256,40,Span,Document;P
I-Liste,Conseiller,1,612,1008,BOWBWB+Arial,#000,276,325,256,267,256,40,Span,Document;P
I-Liste,du,1,612,1008,BOWBWB+Arial,#000,328,341,256,267,256,40,Span,Document;P
I-Liste,district,1,612,1008,BOWBWB+Arial,#000,344,375,256,267,256,40,Span,Document;P
I-Liste,1,1,612,1008,BOWBWB+Arial,#000,379,385,256,267,256,40,Span,Document;P
B-Liste,Monsieur,1,612,1008,BOWBWB+Arial,#000,106,152,268,279,268,41,Span,Document;P
I-Liste,Roch,1,612,1008,BOWBWB+Arial,#000,155,181,268,279,268,41,Span,Document;P
I-Liste,Bédard,1,612,1008,BOWBWB+Arial,#000,184,219,268,279,268,41,Span,Document;P
I-Liste,Conseiller,1,612,1008,BOWBWB+Arial,#000,276,325,268,279,268,41,Span,Document;P
I-Liste,du,1,612,1008,BOWBWB+Arial,#000,328,341,268,279,268,41,Span,Document;P
I-Liste,district,1,612,1008,BOWBWB+Arial,#000,344,375,268,279,268,41,Span,Document;P
I-Liste,2,1,612,1008,BOWBWB+Arial,#000,379,385,268,279,268,41,Span,Document;P
B-Liste,Monsieur,1,612,1008,BOWBWB+Arial,#000,106,152,281,292,281,42,Span,Document;P
I-Liste,Martin,1,612,1008,BOWBWB+Arial,#000,155,185,281,292,281,42,Span,Document;P
I-Liste,Jolicoeur,1,612,1008,BOWBWB+Arial,#000,189,232,281,292,281,42,Span,Document;P
I-Liste,Conseiller,1,612,1008,BOWBWB+Arial,#000,276,325,281,292,281,42,Span,Document;P
I-Liste,du,1,612,1008,BOWBWB+Arial,#000,328,341,281,292,281,42,Span,Document;P
I-Liste,district,1,612,1008,BOWBWB+Arial,#000,344,375,281,292,281,42,Span,Document;P
I-Liste,4,1,612,1008,BOWBWB+Arial,#000,379,385,281,292,281,42,Span,Document;P
B-Liste,Madame,1,612,1008,BOWBWB+Arial,#000,106,149,294,305,294,43,Span,Document;P
I-Liste,Frédérike,1,612,1008,BOWBWB+Arial,#000,152,199,294,305,294,43,Span,Document;P
I-Liste,Cavezzali,1,612,1008,BOWBWB+Arial,#000,202,250,294,305,294,43,Span,Document;P
I-Liste,Conseillère,1,612,1008,BOWBWB+Arial,#000,276,331,294,305,294,43,Span,Document;P
I-Liste,du,1,612,1008,BOWBWB+Arial,#000,334,347,294,305,294,43,Span,Document;P
I-Liste,district,1,612,1008,BOWBWB+Arial,#000,350,381,294,305,294,43,Span,Document;P
I-Liste,5,1,612,1008,BOWBWB+Arial,#000,385,391,294,305,294,43,Span,Document;P
B-Alinea,Monsieur,1,612,1008,BOWBWB+Arial,#000,106,152,319,330,319,45,Span,Document;P
I-Alinea,le,1,612,1008,BOWBWB+Arial,#000,155,163,319,330,319,45,Span,Document;P
I-Alinea,conseiller,1,612,1008,BOWBWB+Arial,#000,166,213,319,330,319,45,Span,Document;P
I-Alinea,Robert,1,612,1008,BOWBWB+Arial,#000,216,249,319,330,319,45,Span,Document;P
I-Alinea,Bélisle,1,612,1008,BOWBWB+Arial,#000,252,284,319,330,319,45,Span,Document;P
I-Alinea,est,1,612,1008,BOWBWB+Arial,#000,287,302,319,330,319,45,Span,Document;P
I-Alinea,absent,1,612,1008,BOWBWB+Arial,#000,305,338,319,330,319,45,Span,Document;P
I-Alinea,pour,1,612,1008,BOWBWB+Arial,#000,341,363,319,330,319,45,Span,Document;P
I-Alinea,toute,1,612,1008,BOWBWB+Arial,#000,366,391,319,330,319,45,Span,Document;P
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,394,402,319,330,319,45,Span,Document;P
I-Alinea,durée,1,612,1008,BOWBWB+Arial,#000,406,434,319,330,319,45,Span,Document;P
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,437,449,319,330,319,45,Span,Document;P
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,452,461,319,330,319,45,Span,Document;P
I-Alinea,séance.,1,612,1008,BOWBWB+Arial,#000,464,502,319,330,319,45,Span,Document;P
B-Alinea,Sous,1,612,1008,BOWBWB+Arial,#000,106,132,344,355,344,47,Span,Document;P;Span
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,135,143,344,355,344,49,Span,Document;P;Span
I-Alinea,présidence,1,612,1008,BOWBWB+Arial,#000,146,200,344,355,344,51,Span,Document;P;Span
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,203,215,344,355,344,53,Span,Document;P;Span
I-Alinea,madame,1,612,1008,BOWBWB+Arial,#000,218,261,344,355,344,55,Span,Document;P;Span
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,264,273,344,355,344,57,Span,Document;P;Span
I-Alinea,mairesse,1,612,1008,BOWBWB+Arial,#000,276,321,344,355,344,59,Span,Document;P;Span
I-Alinea,Nadine,1,612,1008,BOWBWB+Arial,#000,324,358,344,355,344,61,Span,Document;P;Span
I-Alinea,Brière.,1,612,1008,BOWBWB+Arial,#000,362,394,344,355,344,63,Span,Document;P;Span
B-Alinea,ATTENDU,1,612,1008,BOWBWB+Arial,#000,106,158,370,381,370,67,Span,Document;P;Span
I-Alinea,QU’il,1,612,1008,BOWBWB+Arial,#000,162,186,370,381,370,69,Span,Document;P;Span
I-Alinea,y,1,612,1008,BOWBWB+Arial,#000,189,195,370,381,370,72,Span,Document;P;Span
I-Alinea,a,1,612,1008,BOWBWB+Arial,#000,198,204,370,381,370,74,Span,Document;P;Span
I-Alinea,lieu,1,612,1008,BOWBWB+Arial,#000,208,225,370,381,370,76,Span,Document;P;Span
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,228,240,370,381,370,78,Span,Document;P;Span
I-Alinea,reconnaître,1,612,1008,BOWBWB+Arial,#000,244,299,370,381,370,80,Span,Document;P;Span
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,303,311,370,381,370,82,Span,Document;P;Span
I-Alinea,contribution,1,612,1008,BOWBWB+Arial,#000,315,372,370,381,370,84,Span,Document;P;Span
I-Alinea,significative,1,612,1008,BOWBWB+Arial,#000,375,432,370,381,370,86,Span,Document;P;Span
I-Alinea,d’un,1,612,1008,BOWBWB+Arial,#000,435,456,370,381,370,88,Span,Document;P;Span
I-Alinea,personnage,1,612,1008,BOWBWB+Arial,#000,460,518,370,381,370,90,Span,Document;P;Span
I-Alinea,historique,1,612,1008,BOWBWB+Arial,#000,106,154,382,393,382,92,Span,Document;P;Span
I-Alinea,décédé,1,612,1008,BOWBWB+Arial,#000,157,193,382,393,382,94,Span,Document;P;Span
I-Alinea,en,1,612,1008,BOWBWB+Arial,#000,196,209,382,393,382,100,Span,Document;P;Span
I-Alinea,lui,1,612,1008,BOWBWB+Arial,#000,212,223,382,393,382,102,Span,Document;P;Span
I-Alinea,attribuant,1,612,1008,BOWBWB+Arial,#000,226,272,382,393,382,104,Span,Document;P;Span
I-Alinea,le,1,612,1008,BOWBWB+Arial,#000,275,283,382,393,382,106,Span,Document;P;Span
I-Alinea,statut,1,612,1008,BOWBWB+Arial,#000,286,313,382,393,382,108,Span,Document;P;Span
I-Alinea,"d’identification,",1,612,1008,BOWBWB+Arial,#000,316,389,382,393,382,110,Span,Document;P;Span
I-Alinea,en,1,612,1008,BOWBWB+Arial,#000,392,404,382,393,382,112,Span,Document;P;Span
I-Alinea,conformité,1,612,1008,BOWBWB+Arial,#000,408,459,382,393,382,114,Span,Document;P;Span
I-Alinea,aux,1,612,1008,BOWBWB+Arial,#000,462,480,382,393,382,116,Span,Document;P;Span
I-Alinea,articles,1,612,1008,BOWBWB+Arial,#000,483,518,382,393,382,118,Span,Document;P;Span
I-Alinea,121,1,612,1008,BOWBWB+Arial,#000,106,125,395,406,395,120,Span,Document;P;Span
I-Alinea,à,1,612,1008,BOWBWB+Arial,#000,128,134,395,406,395,122,Span,Document;P;Span
I-Alinea,126,1,612,1008,BOWBWB+Arial,#000,137,156,395,406,395,124,Span,Document;P;Span
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,159,171,395,406,395,126,Span,Document;P;Span
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,174,182,395,406,395,128,Span,Document;P;Span
I-Alinea,Loi,1,612,1008,Arial-ItalicMT,#000,186,200,394,405,394,130,Span,Document;P;Span
I-Alinea,sur,1,612,1008,Arial-ItalicMT,#000,203,219,394,405,394,132,Span,Document;P;Span
I-Alinea,le,1,612,1008,Arial-ItalicMT,#000,222,230,394,405,394,134,Span,Document;P;Span
I-Alinea,patrimoine,1,612,1008,Arial-ItalicMT,#000,233,285,394,405,394,136,Span,Document;P;Span
I-Alinea,culturel;,1,612,1008,Arial-ItalicMT,#000,288,326,394,406,394,138,Span,Document;P;Span
B-Alinea,ATTENDU,1,612,1008,BOWBWB+Arial,#000,106,158,420,431,420,142,Span,Document;P;Span
I-Alinea,QUE,1,612,1008,BOWBWB+Arial,#000,161,185,420,431,420,144,Span,Document;P;Span
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,187,196,420,431,420,146,Span,Document;P;Span
I-Alinea,recommandation,1,612,1008,BOWBWB+Arial,#000,198,280,420,431,420,148,Span,Document;P;Span
I-Alinea,favorable,1,612,1008,BOWBWB+Arial,#000,283,328,420,431,420,150,Span,Document;P;Span
I-Alinea,du,1,612,1008,BOWBWB+Arial,#000,330,343,420,431,420,152,Span,Document;P;Span
I-Alinea,comité,1,612,1008,BOWBWB+Arial,#000,345,377,420,431,420,154,Span,Document;P;Span
I-Alinea,du,1,612,1008,BOWBWB+Arial,#000,380,392,420,431,420,156,Span,Document;P;Span
I-Alinea,patrimoine,1,612,1008,BOWBWB+Arial,#000,395,446,420,431,420,158,Span,Document;P;Span
I-Alinea,a,1,612,1008,BOWBWB+Arial,#000,448,455,420,431,420,160,Span,Document;P;Span
I-Alinea,été,1,612,1008,BOWBWB+Arial,#000,457,472,420,431,420,162,Span,Document;P;Span
I-Alinea,formulée,1,612,1008,BOWBWB+Arial,#000,475,518,420,431,420,166,Span,Document;P;Span
I-Alinea,en,1,612,1008,BOWBWB+Arial,#000,106,119,433,444,433,170,Span,Document;P;Span
I-Alinea,faveur,1,612,1008,BOWBWB+Arial,#000,122,152,433,444,433,172,Span,Document;P;Span
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,156,168,433,444,433,174,Span,Document;P;Span
I-Alinea,cette,1,612,1008,BOWBWB+Arial,#000,171,195,433,444,433,176,Span,Document;P;Span
I-Alinea,"nomination,",1,612,1008,BOWBWB+Arial,#000,198,255,433,444,433,178,Span,Document;P;Span
I-Alinea,dès,1,612,1008,BOWBWB+Arial,#000,258,275,433,444,433,180,Span,Document;P;Span
I-Alinea,la,1,612,1008,BOWBWB+Arial,#000,278,287,433,444,433,182,Span,Document;P;Span
I-Alinea,rencontre,1,612,1008,BOWBWB+Arial,#000,290,337,433,444,433,184,Span,Document;P;Span
I-Alinea,du,1,612,1008,BOWBWB+Arial,#000,340,352,433,444,433,186,Span,Document;P;Span
I-Alinea,17,1,612,1008,BOWBWB+Arial,#000,355,367,433,444,433,188,Span,Document;P;Span
I-Alinea,mars,1,612,1008,BOWBWB+Arial,#000,370,395,433,444,433,190,Span,Document;P;Span
I-Alinea,2021;,1,612,1008,BOWBWB+Arial,#000,398,425,433,444,433,192,Span,Document;P;Span
B-Alinea,ATTENDU,1,612,1008,BOWBWB+Arial,#000,106,158,458,469,458,195,Span,Document;P;Span
I-Alinea,QU’une,1,612,1008,BOWBWB+Arial,#000,161,199,458,469,458,197,Span,Document;P;Span
I-Alinea,séance,1,612,1008,BOWBWB+Arial,#000,202,237,458,469,458,200,Span,Document;P;Span
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,240,253,458,469,458,202,Span,Document;P;Span
I-Alinea,consultation,1,612,1008,BOWBWB+Arial,#000,256,314,458,469,458,204,Span,Document;P;Span
I-Alinea,publique,1,612,1008,BOWBWB+Arial,#000,317,359,458,469,458,206,Span,Document;P;Span
I-Alinea,s’est,1,612,1008,BOWBWB+Arial,#000,362,385,458,469,458,208,Span,Document;P;Span
I-Alinea,tenue,1,612,1008,BOWBWB+Arial,#000,388,415,458,469,458,210,Span,Document;P;Span
I-Alinea,le,1,612,1008,BOWBWB+Arial,#000,418,427,458,469,458,212,Span,Document;P;Span
I-Alinea,11,1,612,1008,BOWBWB+Arial,#000,430,442,458,469,458,214,Span,Document;P;Span
I-Alinea,mai,1,612,1008,BOWBWB+Arial,#000,445,463,458,469,458,216,Span,Document;P;Span
I-Alinea,2021;,1,612,1008,BOWBWB+Arial,#000,466,494,458,469,458,218,Span,Document;P;Span
B-Alinea,ATTENDU,1,612,1008,BOWBWB+Arial,#000,106,158,483,494,483,222,Span,Document;P;Span
I-Alinea,QU'un,1,612,1008,BOWBWB+Arial,#000,161,192,483,494,483,224,Span,Document;P;Span
I-Alinea,avis,1,612,1008,BOWBWB+Arial,#000,195,215,483,494,483,226,Span,Document;P;Span
I-Alinea,de,1,612,1008,BOWBWB+Arial,#000,217,230,483,494,483,228,Span,Document;P;Span
I-Alinea,motion,1,612,1008,BOWBWB+Arial,#000,232,265,483,494,483,230,Span,Document;P;Span
I-Alinea,du,1,612,1008,BOWBWB+Arial,#000,268,281,483,494,483,232,Span,Document;P;Span
I-Alinea,présent,1,612,1008,BOWBWB+Arial,#000,283,320,483,494,483,234,Span,Document;P;Span
I-Alinea,règlement,1,612,1008,BOWBWB+Arial,#000,323,372,483,494,483,236,Span,Document;P;Span
I-Alinea,a,1,612,1008,BOWBWB+Arial,#000,375,381,483,494,483,238,Span,Document;P;Span
