tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,533,559,533,4,P,Document;P;Span
I-Titre,de,1,612,1008,BCDFEE+Lato,#555,208,236,533,559,533,4,P,Document;P;Span
I-Titre,lotissement,1,612,1008,BCDFEE+Lato,#555,242,368,533,559,533,4,P,Document;P;Span
B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,562,574,562,6,P,Document;P
I-Titre,1314-2021-L,1,612,1008,BCDEEE+Lato,#555,131,196,562,574,562,6,P,Document;P
B-Tete,Règlement,2,612,1008,BCDGEE+ArialNarrow,#777,85,117,36,45,1044,,Artifact,
I-Tete,de,2,612,1008,BCDGEE+ArialNarrow,#777,119,126,36,45,1044,,Artifact,
I-Tete,lotissement,2,612,1008,BCDGEE+ArialNarrow,#777,128,161,36,45,1044,,Artifact,
I-Tete,1314-2021-L,2,612,1008,BCDGEE+ArialNarrow,#777,163,200,36,45,1044,,Artifact,
I-Tete,Table,2,612,1008,BCDGEE+ArialNarrow,#777,389,406,36,45,1044,,Artifact,
I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,407,418,36,45,1044,,Artifact,
I-Tete,"matières,",2,612,1008,BCDGEE+ArialNarrow,#777,420,447,36,45,1044,,Artifact,
I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,449,459,36,45,1044,,Artifact,
I-Tete,figures,2,612,1008,BCDGEE+ArialNarrow,#777,461,481,36,45,1044,,Artifact,
I-Tete,et,2,612,1008,BCDGEE+ArialNarrow,#777,482,488,36,45,1044,,Artifact,
I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,490,500,36,45,1044,,Artifact,
I-Tete,tableaux,2,612,1008,BCDGEE+ArialNarrow,#777,502,527,36,45,1044,,Artifact,
B-Titre,Table,2,612,1008,BCDFEE+Lato,#555,85,143,90,116,1098,0,P,Document;TOC;TOCI;Span
I-Titre,des,2,612,1008,BCDFEE+Lato,#555,148,187,90,116,1098,0,P,Document;TOC;TOCI;Span
I-Titre,matières,2,612,1008,BCDFEE+Lato,#555,193,287,90,116,1098,0,P,Document;TOC;TOCI;Span
B-TOC,CHAPITRE,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,135,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,138,144,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,230,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,"DÉCLARATOIRES,",2,612,1008,BCDHEE+ArialNarrow-Bold,#222,233,320,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,323,414,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,ET,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,417,429,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,ADMINISTRATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,432,522,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
I-TOC,..................................................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,519,145,157,1153,3,P,Document;TOC;TOCI;Span
I-TOC,5,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,522,527,145,157,1153,4,Span,Document;TOC;TOCI;Link
I-TOC,SECTION,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,121,164,174,1172,6,Span,Document;TOC;TOCI;Link;Span
I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,124,128,164,174,1172,6,Span,Document;TOC;TOCI;Link;Span
I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,218,164,174,1172,6,Span,Document;TOC;TOCI;Link;Span
I-TOC,DÉCLARATOIRES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,220,291,164,174,1172,6,Span,Document;TOC;TOCI;Link;Span
I-TOC,.....................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,292,522,164,174,1172,7,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,522,527,164,174,1172,8,Span,Document;TOC;TOCI;Link
I-TOC,1.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,182,192,1190,10,Span,Document;TOC;TOCI;Link;Span
I-TOC,Titre,2,612,1008,BCDGEE+ArialNarrow,#222,113,130,182,192,1190,10,Span,Document;TOC;TOCI;Link;Span
I-TOC,du,2,612,1008,BCDGEE+ArialNarrow,#222,132,141,182,192,1190,10,Span,Document;TOC;TOCI;Link;Span
I-TOC,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,143,180,182,192,1190,10,Span,Document;TOC;TOCI;Link;Span
I-TOC,......................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,180,522,182,192,1190,11,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,182,192,1190,12,Span,Document;TOC;TOCI;Link
I-TOC,2.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,194,204,1202,14,Span,Document;TOC;TOCI;Link;Span
I-TOC,Abrogation,2,612,1008,BCDGEE+ArialNarrow,#222,113,153,194,204,1202,14,Span,Document;TOC;TOCI;Link;Span
I-TOC,.................................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,155,522,194,204,1202,15,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,194,204,1202,16,Span,Document;TOC;TOCI;Link
I-TOC,3.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,Portée,2,612,1008,BCDGEE+ArialNarrow,#222,113,137,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,du,2,612,1008,BCDGEE+ArialNarrow,#222,140,149,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,151,188,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,et,2,612,1008,BCDGEE+ArialNarrow,#222,190,197,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,territoire,2,612,1008,BCDGEE+ArialNarrow,#222,199,229,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,assujetti,2,612,1008,BCDGEE+ArialNarrow,#222,231,261,207,217,1215,18,Span,Document;TOC;TOCI;Link;Span
I-TOC,..................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,262,522,207,217,1215,19,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,207,217,1215,20,Span,Document;TOC;TOCI;Link
I-TOC,4.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,219,229,1227,22,Span,Document;TOC;TOCI;Link;Span
I-TOC,Domaine,2,612,1008,BCDJEE+ArialNarrow,#222,113,146,219,229,1227,22,Span,Document;TOC;TOCI;Link;Span
I-TOC,d’application,2,612,1008,BCDJEE+ArialNarrow,#222,148,194,219,229,1227,22,Span,Document;TOC;TOCI;Link;Span
I-TOC,...............................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,196,522,219,229,1227,23,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,219,229,1227,24,Span,Document;TOC;TOCI;Link
I-TOC,5.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,Dispositions,2,612,1008,BCDJEE+ArialNarrow,#222,113,157,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,des,2,612,1008,BCDJEE+ArialNarrow,#222,160,173,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,lois,2,612,1008,BCDJEE+ArialNarrow,#222,175,188,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,et,2,612,1008,BCDJEE+ArialNarrow,#222,190,197,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,d’autres,2,612,1008,BCDJEE+ArialNarrow,#222,199,228,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,règlements,2,612,1008,BCDJEE+ArialNarrow,#222,230,271,231,241,1239,26,Span,Document;TOC;TOCI;Link;Span
I-TOC,..............................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,271,522,231,241,1239,27,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,231,241,1239,28,Span,Document;TOC;TOCI;Link
I-TOC,6.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,244,254,1252,30,Span,Document;TOC;TOCI;Link;Span
I-TOC,Documents,2,612,1008,BCDGEE+ArialNarrow,#222,113,155,244,254,1252,30,Span,Document;TOC;TOCI;Link;Span
I-TOC,de,2,612,1008,BCDGEE+ArialNarrow,#222,157,166,244,254,1252,30,Span,Document;TOC;TOCI;Link;Span
I-TOC,renvoi,2,612,1008,BCDGEE+ArialNarrow,#222,168,191,244,254,1252,30,Span,Document;TOC;TOCI;Link;Span
I-TOC,.................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,192,522,244,254,1252,31,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,244,254,1252,32,Span,Document;TOC;TOCI;Link
I-TOC,7.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,256,266,1264,34,Span,Document;TOC;TOCI;Link;Span
I-TOC,Entrée,2,612,1008,BCDGEE+ArialNarrow,#222,113,137,256,266,1264,34,Span,Document;TOC;TOCI;Link;Span
I-TOC,en,2,612,1008,BCDGEE+ArialNarrow,#222,140,149,256,266,1264,34,Span,Document;TOC;TOCI;Link;Span
I-TOC,vigueur,2,612,1008,BCDGEE+ArialNarrow,#222,151,178,256,266,1264,34,Span,Document;TOC;TOCI;Link;Span
I-TOC,......................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,180,522,256,266,1264,35,P,Document;TOC;TOCI;Span
I-TOC,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,256,266,1264,36,Span,Document;TOC;TOCI;Link
I-TOC,SECTION,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,121,274,284,1282,38,Span,Document;TOC;TOCI;Link;Span
I-TOC,2,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,124,128,274,284,1282,38,Span,Document;TOC;TOCI;Link;Span
I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,218,274,284,1282,38,Span,Document;TOC;TOCI;Link;Span
