tag,text,page,page_width,page_height,fontname,r,g,b,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,Règlement,1,612,1008,BCDFEE+Lato,0.349,0.349,0.349,85,203,533,559,533,4,P,Document;H1;Span
I-Titre,sur,1,612,1008,BCDFEE+Lato,0.349,0.349,0.349,208,243,533,559,533,4,P,Document;H1;Span
I-Titre,les,1,612,1008,BCDFEE+Lato,0.349,0.349,0.349,248,278,533,559,533,4,P,Document;H1;Span
I-Titre,permis,1,612,1008,BCDFEE+Lato,0.349,0.349,0.349,283,357,533,559,533,4,P,Document;H1;Span
I-Titre,et,1,612,1008,BCDFEE+Lato,0.349,0.349,0.349,363,386,533,559,533,4,P,Document;H1;Span
I-Titre,certificats,1,612,1008,BCDFEE+Lato,0.349,0.349,0.349,391,498,533,559,533,4,P,Document;H1;Span
B-Titre,Numéro,1,612,1008,BCDEEE+Lato,0.349,0.349,0.349,85,126,562,574,562,6,P,Document;H1
I-Titre,1314-2021-PC,1,612,1008,BCDEEE+Lato,0.349,0.349,0.349,128,202,562,574,562,6,P,Document;H1
B-Tete,Règlement,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,85,117,36,45,1045,,Artifact,
I-Tete,sur,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,119,128,36,45,1045,,Artifact,
I-Tete,les,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,130,138,36,45,1045,,Artifact,
I-Tete,permis,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,140,160,36,45,1045,,Artifact,
I-Tete,et,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,161,167,36,45,1045,,Artifact,
I-Tete,certificats,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,169,196,36,45,1045,,Artifact,
I-Tete,numéro,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,198,221,36,45,1045,,Artifact,
I-Tete,1314-2021-PC,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,222,265,36,45,1045,,Artifact,
I-Tete,Table,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,389,406,36,45,1045,,Artifact,
I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,407,418,36,45,1045,,Artifact,
I-Tete,"matières,",2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,420,447,36,45,1045,,Artifact,
I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,449,459,36,45,1045,,Artifact,
I-Tete,figures,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,461,481,36,45,1045,,Artifact,
I-Tete,et,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,483,488,36,45,1045,,Artifact,
I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,490,500,36,45,1045,,Artifact,
I-Tete,tableaux,2,612,1008,BCDGEE+ArialNarrow,0.498,0.498,0.498,502,527,36,45,1045,,Artifact,
B-Titre,Table,2,612,1008,BCDFEE+Lato,0.349,0.349,0.349,85,143,77,103,1085,0,P,Document;H1;Span
I-Titre,des,2,612,1008,BCDFEE+Lato,0.349,0.349,0.349,148,187,77,103,1085,0,P,Document;H1;Span
I-Titre,matières,2,612,1008,BCDFEE+Lato,0.349,0.349,0.349,193,287,77,103,1085,0,P,Document;H1;Span
B-TOC,CHAPITRE,2,612,1008,BCDHEE+ArialNarrow-Bold,0.149,0.149,0.149,85,135,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,0.149,0.149,0.149,138,144,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,0.149,0.149,0.149,160,230,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
I-TOC,"DÉCLARATOIRES,",2,612,1008,BCDHEE+ArialNarrow-Bold,0.149,0.149,0.149,233,320,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
I-TOC,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,0.149,0.149,0.149,323,414,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
I-TOC,ET,2,612,1008,BCDHEE+ArialNarrow-Bold,0.149,0.149,0.149,417,429,144,156,1152,3,Span,Document;TOC;TOCI;Link;Span
