tag,text,page,page_width,page_height,fontname,r,g,b,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Tete,Règlement,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,97,128,36,45,36,,Artifact,
I-Tete,relatif,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,130,146,36,45,36,,Artifact,
I-Tete,aux,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,148,159,36,45,36,,Artifact,
I-Tete,PIIA,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,160,173,36,45,36,,Artifact,
I-Tete,numéro,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,175,197,36,45,36,,Artifact,
I-Tete,1314-2021-PIIA,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,199,245,36,45,36,,Artifact,
I-Tete,Entrée,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,505,525,36,45,36,,Artifact,
I-Tete,en,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,527,534,36,45,36,,Artifact,
I-Tete,vigueur,1,612,792,BCDEEE+ArialNarrow,0.498,0.498,0.498,536,557,36,45,36,,Artifact,
B-Tableau,Ville,1,612,792,BCDIEE+Cambria-Bold,0,0,0,239,269,320,334,320,3,Span,Document;Table;TR;TH;P
I-Tableau,de,1,612,792,BCDIEE+Cambria-Bold,0,0,0,272,288,320,334,320,3,Span,Document;Table;TR;TH;P
I-Tableau,Sainte-Adèle,1,612,792,BCDIEE+Cambria-Bold,0,0,0,291,372,320,334,320,3,Span,Document;Table;TR;TH;P
I-Tableau,Règlement,1,612,792,BCDJEE+Calibri-Bold,0,0,0,145,306,361,397,361,5,Span,Document;Table;TR;TH;P
I-Tableau,relatif,1,612,792,BCDJEE+Calibri-Bold,0,0,0,314,405,361,397,361,5,Span,Document;Table;TR;TH;P
I-Tableau,aux,1,612,792,BCDJEE+Calibri-Bold,0,0,0,413,466,361,397,361,5,Span,Document;Table;TR;TH;P
I-Tableau,plans,1,612,792,BCDKEE+Calibri-Bold,0,0,0,131,211,408,444,408,5,Span,Document;Table;TR;TH;P
I-Tableau,d’implantation,1,612,792,BCDKEE+Calibri-Bold,0,0,0,219,441,408,444,408,5,Span,Document;Table;TR;TH;P
I-Tableau,et,1,612,792,BCDKEE+Calibri-Bold,0,0,0,449,480,408,444,408,5,Span,Document;Table;TR;TH;P
I-Tableau,d’intégration,1,612,792,BCDKEE+Calibri-Bold,0,0,0,208,403,456,492,456,5,Span,Document;Table;TR;TH;P
I-Tableau,architecturale,1,612,792,BCDJEE+Calibri-Bold,0,0,0,201,410,503,539,503,5,Span,Document;Table;TR;TH;P
I-Tableau,numéro,1,612,792,BCDJEE+Calibri-Bold,0,0,0,187,266,556,580,556,6,Span,Document;Table;TR;TH;P
