sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,sur,1,612,1008,BCDFEE+Lato,#555,208,243,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,les,1,612,1008,BCDFEE+Lato,#555,248,278,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,ententes,1,612,1008,BCDFEE+Lato,#555,283,380,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,relatives,1,612,1008,BCDFEE+Lato,#555,385,477,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,à,1,612,1008,BCDFEE+Lato,#555,482,495,520,546,520,3,P,Document;P;Span
I-Titre,I-Titre,des,1,612,1008,BCDFEE+Lato,#555,85,124,551,577,551,3,P,Document;P;Span
I-Titre,I-Titre,travaux,1,612,1008,BCDFEE+Lato,#555,129,211,551,577,551,3,P,Document;P;Span
I-Titre,I-Titre,municipaux,1,612,1008,BCDFEE+Lato,#555,217,343,551,577,551,3,P,Document;P;Span
I-Titre,B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,580,592,580,5,P,Document;P
I-Titre,I-Titre,1314-2021-TM,1,612,1008,BCDEEE+Lato,#555,128,205,580,592,580,5,P,Document;P
O,B-Tete,Règlement,2,612,1008,BCDGEE+ArialNarrow,#777,85,117,36,45,1045,,Artifact,
O,I-Tete,sur,2,612,1008,BCDGEE+ArialNarrow,#777,119,128,36,45,1045,,Artifact,
O,I-Tete,les,2,612,1008,BCDGEE+ArialNarrow,#777,130,138,36,45,1045,,Artifact,
O,I-Tete,ententes,2,612,1008,BCDGEE+ArialNarrow,#777,140,165,36,45,1045,,Artifact,
O,I-Tete,relatives,2,612,1008,BCDGEE+ArialNarrow,#777,167,191,36,45,1045,,Artifact,
O,I-Tete,à,2,612,1008,BCDGEE+ArialNarrow,#777,193,197,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,199,209,36,45,1045,,Artifact,
O,I-Tete,travaux,2,612,1008,BCDGEE+ArialNarrow,#777,211,232,36,45,1045,,Artifact,
O,I-Tete,municipaux,2,612,1008,BCDGEE+ArialNarrow,#777,234,267,36,45,1045,,Artifact,
O,I-Tete,numéro,2,612,1008,BCDGEE+ArialNarrow,#777,269,291,36,45,1045,,Artifact,
O,I-Tete,1314-2021-TM,2,612,1008,BCDGEE+ArialNarrow,#777,293,337,36,45,1045,,Artifact,
O,I-Tete,Table,2,612,1008,BCDGEE+ArialNarrow,#777,389,406,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,407,418,36,45,1045,,Artifact,
O,I-Tete,"matières,",2,612,1008,BCDGEE+ArialNarrow,#777,420,447,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,449,459,36,45,1045,,Artifact,
O,I-Tete,figures,2,612,1008,BCDGEE+ArialNarrow,#777,461,481,36,45,1045,,Artifact,
O,I-Tete,et,2,612,1008,BCDGEE+ArialNarrow,#777,483,488,36,45,1045,,Artifact,
O,I-Tete,des,2,612,1008,BCDGEE+ArialNarrow,#777,490,500,36,45,1045,,Artifact,
O,I-Tete,tableaux,2,612,1008,BCDGEE+ArialNarrow,#777,502,527,36,45,1045,,Artifact,
O,B-Titre,Table,2,612,1008,BCDFEE+Lato,#555,85,143,90,116,1098,0,P,Document;TOC;TOCI;Span
O,I-Titre,des,2,612,1008,BCDFEE+Lato,#555,148,187,90,116,1098,0,P,Document;TOC;TOCI;Span
O,I-Titre,matières,2,612,1008,BCDFEE+Lato,#555,193,287,90,116,1098,0,P,Document;TOC;TOCI;Span
O,B-TOC,CHAPITRE,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,135,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,138,144,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,230,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,"DÉCLARATOIRES,",2,612,1008,BCDHEE+ArialNarrow-Bold,#222,233,320,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,323,414,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ET,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,417,429,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,ADMINISTRATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,432,522,130,142,1138,2,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,..................................................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,519,145,157,1153,3,P,Document;TOC;TOCI;Span
O,I-TOC,4,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,522,527,145,157,1153,4,Span,Document;TOC;TOCI;Link
O,I-TOC,SECTION,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,121,164,174,1173,6,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,124,128,164,174,1173,6,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,218,164,174,1173,6,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,DÉCLARATOIRES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,220,291,164,174,1173,6,Span,Document;TOC;TOCI;Link;Span
O,I-TOC,.....................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,292,522,164,174,1173,7,P,Document;TOC;TOCI;Span
