sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,1,595,842,CIDFont+F1,#777,52,83,71,79,71,,,
I-Titre,I-Tete,de,1,595,842,CIDFont+F1,#777,85,92,71,79,71,,,
I-Titre,I-Tete,construction,1,595,842,CIDFont+F1,#777,94,128,71,79,71,,,
I-Titre,I-Tete,1314-2021-C,1,595,842,CIDFont+F1,#777,130,168,71,79,71,,,
O,I-Tete,Entrée,1,595,842,CIDFont+F1,#777,492,511,71,79,71,,,
O,I-Tete,en,1,595,842,CIDFont+F1,#777,512,520,71,79,71,,,
O,I-Tete,vigueur,1,595,842,CIDFont+F1,#777,521,542,71,79,71,,,
O,B-Titre,Ville,1,595,842,CIDFont+F4,#000,233,261,337,351,337,,,
O,I-Titre,de,1,595,842,CIDFont+F4,#000,264,280,337,351,337,,,
O,I-Titre,Sainte-Adèle,1,595,842,CIDFont+F4,#000,283,362,337,351,337,,,
B-Titre,B-Titre,Règlement,1,595,842,CIDFont+F5,#000,197,354,509,544,509,,,
I-Titre,I-Titre,de,1,595,842,CIDFont+F5,#000,362,398,509,544,509,,,
I-Titre,I-Titre,construction,1,595,842,CIDFont+F5,#000,206,389,556,591,556,,,
I-Titre,I-Titre,numéro,1,595,842,CIDFont+F5,#000,196,272,607,630,607,,,
B-Titre,I-Titre,1314-2021-C,1,595,842,CIDFont+F5,#000,278,399,607,630,607,,,
O,B-Titre,Codification,1,595,842,CIDFont+F5,#000,154,222,665,678,665,,,
O,I-Titre,administrative,1,595,842,CIDFont+F5,#000,225,307,665,678,665,,,
O,I-Titre,:,1,595,842,CIDFont+F5,#000,310,314,665,678,665,,,
O,I-Titre,à,1,595,842,CIDFont+F5,#000,320,327,665,678,665,,,
O,I-Titre,jour,1,595,842,CIDFont+F5,#000,330,353,665,678,665,,,
O,I-Titre,–,1,595,842,CIDFont+F5,#000,356,363,665,678,665,,,
O,I-Titre,21,1,595,842,CIDFont+F5,#000,366,379,665,678,665,,,
O,I-Titre,mars,1,595,842,CIDFont+F5,#000,383,411,665,678,665,,,
O,I-Titre,2023,1,595,842,CIDFont+F5,#000,414,441,665,678,665,,,
O,B-Pied,1,1,595,842,CIDFont+F1,#777,540,543,764,772,764,,,
B-Titre,B-Tete,Règlement,2,595,842,CIDFont+F1,#777,52,83,71,79,913,,,
I-Titre,I-Tete,de,2,595,842,CIDFont+F1,#777,85,92,71,79,913,,,
I-Titre,I-Tete,construction,2,595,842,CIDFont+F1,#777,94,128,71,79,913,,,
I-Titre,I-Tete,1314-2021-C,2,595,842,CIDFont+F1,#777,130,168,71,79,913,,,
O,I-Tete,Table,2,595,842,CIDFont+F1,#777,408,424,71,79,913,,,
O,I-Tete,des,2,595,842,CIDFont+F1,#777,426,436,71,79,913,,,
O,I-Tete,"matières,",2,595,842,CIDFont+F1,#777,438,464,71,79,913,,,
O,I-Tete,des,2,595,842,CIDFont+F1,#777,466,476,71,79,913,,,
O,I-Tete,figures,2,595,842,CIDFont+F1,#777,478,497,71,79,913,,,
O,I-Tete,et,2,595,842,CIDFont+F1,#777,499,504,71,79,913,,,
O,I-Tete,des,2,595,842,CIDFont+F1,#777,506,516,71,79,913,,,
O,I-Tete,tableaux,2,595,842,CIDFont+F1,#777,518,542,71,79,913,,,
O,B-Alinea,PROVINCE,2,595,842,CIDFont+F6,#555,52,105,107,118,949,,,
O,I-Alinea,DE,2,595,842,CIDFont+F6,#555,107,121,107,118,949,,,
O,I-Alinea,QUEBEC,2,595,842,CIDFont+F6,#555,123,166,107,118,949,,,
O,I-Alinea,REGLEMENT,2,595,842,CIDFont+F6,#555,363,426,107,118,949,,,
O,I-Alinea,NUMERO,2,595,842,CIDFont+F6,#555,428,473,107,118,949,,,
B-Numero,I-Alinea,1314-2021-C,2,595,842,CIDFont+F6,#555,475,533,107,118,949,,,
O,B-Alinea,VILLE,2,595,842,CIDFont+F6,#555,52,80,126,137,968,,,
O,I-Alinea,DE,2,595,842,CIDFont+F6,#555,82,96,126,137,968,,,
O,I-Alinea,Sainte-Adèle,2,595,842,CIDFont+F6,#555,98,154,126,137,968,,,
B-Titre,I-Alinea,REGLEMENT,2,595,842,CIDFont+F6,#555,363,426,126,137,968,,,
I-Titre,I-Alinea,DE,2,595,842,CIDFont+F6,#555,428,442,126,137,968,,,
I-Titre,I-Alinea,CONSTRUCTION,2,595,842,CIDFont+F6,#555,444,525,126,137,968,,,
O,I-Alinea,Avis,2,595,842,CIDFont+F6,#555,52,71,157,167,999,,,
O,I-Alinea,de,2,595,842,CIDFont+F6,#555,73,85,157,167,999,,,
O,I-Alinea,motion,2,595,842,CIDFont+F6,#555,87,116,157,167,999,,,
O,I-Alinea,:,2,595,842,CIDFont+F6,#555,118,121,157,167,999,,,
O,I-Alinea,17,2,595,842,CIDFont+F6,#555,191,202,157,167,999,,,
O,I-Alinea,mai,2,595,842,CIDFont+F6,#555,204,220,157,167,999,,,
