sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Chapitre,CHAPITRE,10,612,1008,ABCDEE+ArialNarrow-Bold,#000,165,240,486,504,9559,0,P,H1
O,I-Chapitre,2,10,612,1008,ABCDEE+ArialNarrow-Bold,#000,244,252,486,504,9559,0,P,H1
O,I-Chapitre,DISPOSITIONS,10,612,1008,ABCDEE+ArialNarrow-Bold,#000,257,362,486,504,9559,1,P,H1
O,I-Chapitre,"DÉCLARATOIRES,",10,612,1008,ABCDEE+ArialNarrow-Bold,#000,366,497,486,504,9559,1,P,H1
O,I-Chapitre,INTERPRÉTATIVES,10,612,1008,ABCDEE+ArialNarrow-Bold,#000,181,318,507,525,9580,3,P,H1
O,I-Chapitre,ET,10,612,1008,ABCDEE+ArialNarrow-Bold,#000,322,341,507,525,9580,3,P,H1
O,I-Chapitre,ADMINISTRATIVES,10,612,1008,ABCDEE+ArialNarrow-Bold,#000,345,481,507,525,9580,3,P,H1
O,B-Tete,Règlement,11,612,1008,ABCDEE+ArialNarrow,#777,85,117,36,44,10118,,Artifact,
O,I-Tete,de,11,612,1008,ABCDEE+ArialNarrow,#777,119,126,36,44,10118,,Artifact,
O,I-Tete,zonage,11,612,1008,ABCDEE+ArialNarrow,#777,128,149,36,44,10118,,Artifact,
O,I-Tete,1314-2021-Z,11,612,1008,ABCDEE+ArialNarrow,#777,151,189,36,44,10118,,Artifact,
O,I-Tete,Chapitre,11,612,1008,ABCDEE+ArialNarrow,#777,317,342,36,44,10118,,Artifact,
O,I-Tete,2,11,612,1008,ABCDEE+ArialNarrow,#777,344,347,36,44,10118,,Artifact,
O,I-Tete,–,11,612,1008,ABCDEE+ArialNarrow,#777,349,353,36,44,10118,,Artifact,
O,I-Tete,Dispositions,11,612,1008,ABCDEE+ArialNarrow,#777,355,390,36,44,10118,,Artifact,
O,I-Tete,"déclaratoires,",11,612,1008,ABCDEE+ArialNarrow,#777,392,431,36,44,10118,,Artifact,
O,I-Tete,interprétatives,11,612,1008,ABCDEE+ArialNarrow,#777,433,474,36,44,10118,,Artifact,
O,I-Tete,et,11,612,1008,ABCDEE+ArialNarrow,#777,476,481,36,44,10118,,Artifact,
O,I-Tete,administratives,11,612,1008,ABCDEE+ArialNarrow,#777,483,527,36,44,10118,,Artifact,
O,B-Section,SECTION,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,85,136,92,106,10173,0,P,H2
O,I-Section,1,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,139,146,92,106,10173,0,P,H2
O,I-Section,DISPOSITIONS,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,159,240,92,106,10173,0,P,H2
O,I-Section,DÉCLARATOIRES,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,244,342,92,106,10173,0,P,H2
O,B-Article,3.,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,103,110,132,142,10213,1,P,H3
O,I-Article,Titre,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,121,139,132,142,10213,1,P,H3
O,I-Article,du,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,141,151,132,142,10213,1,P,H3
O,I-Article,règlement,11,612,1008,ABCDEE+ArialNarrow-Bold,#000,153,193,132,142,10213,1,P,H3
O,B-Alinea,Le,11,612,1008,ABCDEE+ArialNarrow,#000,85,94,152,162,10233,2,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,présent,11,612,1008,ABCDEE+ArialNarrow,#000,97,124,152,162,10233,2,P,L;L;L;L;L;L;LI;LBody
O,I-Alinea,règlement,11,612,1008,ABCDEE+ArialNarrow,#000,126,163,152,162,10233,2,P,L;L;L;L;L;L;LI;LBody
