sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,1,612,1008,BCDEEE+ArialNarrow,#777,85,117,36,45,36,,Artifact,
I-Titre,I-Tete,de,1,612,1008,BCDEEE+ArialNarrow,#777,119,126,36,45,36,,Artifact,
I-Titre,I-Tete,zonage,1,612,1008,BCDEEE+ArialNarrow,#777,128,149,36,45,36,,Artifact,
I-Titre,I-Tete,1314-2021-Z,1,612,1008,BCDEEE+ArialNarrow,#777,151,189,36,45,36,,Artifact,
O,I-Tete,Table,1,612,1008,BCDEEE+ArialNarrow,#777,471,488,36,45,36,,Artifact,
O,I-Tete,des,1,612,1008,BCDEEE+ArialNarrow,#777,490,500,36,45,36,,Artifact,
O,I-Tete,matières,1,612,1008,BCDEEE+ArialNarrow,#777,502,527,36,45,36,,Artifact,
O,B-Titre,Ville,1,612,1008,BCDGEE+Cambria-Bold,#000,239,269,306,320,306,2,Span,Document;Table;TR;TH;P
O,I-Titre,de,1,612,1008,BCDGEE+Cambria-Bold,#000,272,288,306,320,306,2,Span,Document;Table;TR;TH;P
O,I-Titre,Sainte-Adèle,1,612,1008,BCDGEE+Cambria-Bold,#000,291,372,306,320,306,2,Span,Document;Table;TR;TH;P
B-Titre,B-Titre,Règlement,1,612,1008,BCDHEE+Calibri-Bold,#000,145,307,475,511,475,8,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,de,1,612,1008,BCDHEE+Calibri-Bold,#000,315,352,475,511,475,8,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,zonage,1,612,1008,BCDHEE+Calibri-Bold,#000,360,466,475,511,475,8,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,numéro,1,612,1008,BCDHEE+Calibri-Bold,#000,202,281,516,540,516,9,Span,Document;Table;TR;TH;P
I-Titre,I-Titre,1314-2021-Z,1,612,1008,BCDHEE+Calibri-Bold,#000,286,409,516,540,516,9,Span,Document;Table;TR;TH;P
O,B-Titre,Codification,1,612,1008,BCDHEE+Calibri-Bold,#000,150,220,566,580,566,11,Span,Document;Table;TR;TH;P
O,I-Titre,administrative,1,612,1008,BCDHEE+Calibri-Bold,#000,223,307,566,580,566,11,Span,Document;Table;TR;TH;P
