tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,RÈGLEMENT,310.97,397.328,78.66840000000002,78.66840000000002,92.70839999999998,True,1
,1,612,1008,0,0,0,1281,400.75,431.23624,78.66840000000002,78.66840000000002,92.70839999999998,True,1
,1,612,1008,0,0,0,relatif,303.77,330.58615999999995,107.09840000000008,107.09840000000008,118.13840000000005,True,1
,1,612,1008,0,0,0,aux,333.854,351.61735999999996,107.09840000000008,107.09840000000008,118.13840000000005,True,1
,1,612,1008,0,0,0,fausses,354.49879999999996,392.55367999999993,107.09840000000008,107.09840000000008,118.13840000000005,True,1
,1,612,1008,0,0,0,alarmes,395.52343999999994,434.66023999999993,107.09840000000008,107.09840000000008,118.13840000000005,True,1
,1,612,1008,0,0,0,Séance,87.744,125.10336,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,ordinaire,128.5368,171.38304,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,du,174.83855999999997,187.11503999999996,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,conseil,190.46,224.59568,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,"municipal,",228.00704,277.49935999999997,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,tenue,281.01007999999996,308.6432,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,publiquement,311.9552,377.8750399999999,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,le,381.3857599999999,389.9196799999999,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,21,393.55,405.82648,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,octobre,409.13848,445.86856,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,2019,449.23,473.72836,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,à,477.22,483.35824,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,19,486.82,499.07828,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,"h,",502.42,511.48384,145.49840000000006,145.49840000000006,156.53840000000002,True,1
,1,612,1008,0,0,0,dans,87.744,111.64559999999999,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,la,115.69728,124.2312,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,salle,128.28288,150.85968,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,du,154.91136,167.18784,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,conseil,171.26,205.51712,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,municipal,209.69,256.16839999999996,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,située,260.18696,289.59752,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,au,293.6492,305.92568,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,"1386,",309.96632,337.52216,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,rue,341.71,357.69592,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,"Dumouchel,",361.73656,420.34791999999993,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,"Sainte-Adèle,",424.46583999999996,490.47592,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,lieu,494.5828,511.50712,158.09840000000008,158.09840000000008,169.13840000000005,True,1
,1,612,1008,0,0,0,ordinaire,87.744,130.59024,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,des,136.80576,154.56912,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,séances,160.79567999999998,201.84239999999997,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,à,207.94751999999994,214.08575999999994,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,laquelle,220.30127999999996,258.22367999999994,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,sont,264.53,285.35912,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,présents,291.65,333.75656,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,les,339.98312,354.03703999999993,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,membres,360.25255999999996,406.17895999999996,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,du,412.41655999999995,424.69303999999994,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,conseil,430.76504,464.90072,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,suivants,471.07208,511.39016000000004,170.8184,170.8184,181.85839999999996,True,1
,1,612,1008,0,0,0,formant,87.744,125.1144,183.41840000000002,183.41840000000002,194.45839999999998,True,1
,1,612,1008,0,0,0,le,128.16144,136.69536,183.41840000000002,183.41840000000002,194.45839999999998,True,1
,1,612,1008,0,0,0,quorum,139.67615999999998,177.04655999999997,183.41840000000002,183.41840000000002,194.45839999999998,True,1
,1,612,1008,0,0,0,:,180.14,183.20911999999998,183.41840000000002,183.41840000000002,194.45839999999998,True,1
,1,612,1008,0,0,0,Monsieur,87.744,132.93071999999998,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,Pierre,136.07711999999998,165.47663999999997,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,Lafond,168.45744,202.18463999999997,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,Conseiller,257.57,306.37783999999994,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,du,309.5132,321.78968,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,district,324.86983999999995,356.5988,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,1,359.75624,365.89448,208.73840000000007,208.73840000000007,219.77840000000003,True,1
,1,612,1008,0,0,0,Monsieur,87.744,132.93071999999998,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,Roch,136.07711999999998,161.78927999999996,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,Bédard,164.86944,200.38511999999997,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,Conseiller,257.57,306.37783999999994,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,du,309.5132,321.78968,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,district,324.86983999999995,356.5988,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,2,359.75624,365.89448,221.33839999999998,221.33839999999998,232.37839999999994,True,1
,1,612,1008,0,0,0,Monsieur,87.744,132.93071999999998,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,Robert,136.07711999999998,169.11983999999998,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,Bélisle,172.18895999999998,204.48095999999998,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,Conseiller,257.57,306.37783999999994,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,du,309.5132,321.78968,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,district,324.86983999999995,356.5988,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,3,359.75624,365.89448,234.0584,234.0584,245.09839999999997,True,1
,1,612,1008,0,0,0,Monsieur,87.744,132.93071999999998,246.65840000000003,246.65840000000003,257.6984,True,1
,1,612,1008,0,0,0,Martin,136.07711999999998,166.55855999999997,246.65840000000003,246.65840000000003,257.6984,True,1
,1,612,1008,0,0,0,Jolicoeur,169.62767999999997,213.67727999999997,246.65840000000003,246.65840000000003,257.6984,True,1
,1,612,1008,0,0,0,Conseiller,257.57,306.37783999999994,246.65840000000003,246.65840000000003,257.6984,True,1
,1,612,1008,0,0,0,du,309.5132,321.78968,246.65840000000003,246.65840000000003,257.6984,True,1
