tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,308.59,394.95003999999994,81.20839999999998,81.20839999999998,95.24839999999995,True,1
,1,603.84,995.16,0,0,0,1305,398.5,428.98696,81.20839999999998,81.20839999999998,95.24839999999995,True,1
,1,603.84,995.16,0,0,0,décrétant,230.21,276.10712,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,un,279.55,291.82648,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,emprunt,295.13848,335.39032,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,de,338.83,351.10648,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,750,354.31,372.6916,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,000,376.02568,394.40728,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,$,397.78,403.91823999999997,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,pour,407.26,429.31791999999996,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,l’acquisition,432.58,489.35871999999995,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,de,492.67071999999996,504.94719999999995,109.49839999999995,109.49839999999995,120.53839999999991,True,1
,1,603.84,995.16,0,0,0,deux,228.89,252.7916,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,(2),259.72472,273.10519999999997,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,camions,280.08248,320.98567999999995,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,10,327.92983999999996,340.20631999999995,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,roues,346.99591999999996,374.49655999999993,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,"neufs,",381.55,411.50152,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,modèle,418.37944,454.51336000000003,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,4700,461.44648,485.82280000000003,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,de,492.75592,505.0324,122.21839999999997,122.21839999999997,133.25839999999994,True,1
,1,603.84,995.16,0,0,0,Western,228.89,269.92568,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,Star,276.98024,297.08408,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,(ou,304.1828,320.16872,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,équivalent,327.2012,377.20136,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,"approuvé),",384.31111999999996,436.92776,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,avec,444.03752,467.19944,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,benne,474.1436,504.76856,134.8184,134.8184,145.85839999999996,True,1
,1,603.84,995.16,0,0,0,"basculante,",228.89,285.26023999999995,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,sableuse,300.7604,344.8210399999999,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,en,360.38743999999997,372.66391999999996,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,"V,",388.2192799999999,398.6079199999999,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,équipements,414.24055999999996,477.29151999999993,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,de,492.91312,505.1896,147.41840000000002,147.41840000000002,158.45839999999998,True,1
,1,603.84,995.16,0,0,0,déneigement,228.89,292.55768,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,et,300.15319999999997,309.21704,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,système,316.81255999999996,357.6164,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,de,365.23,377.50648,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,type,385.02472,405.93448,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,«,413.38,419.51824,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,Roll-off,427.04752,461.80816,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,»,469.3,475.43824,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,pour,482.98,505.03792,160.13840000000005,160.13840000000005,171.1784,True,1
,1,603.84,995.16,0,0,0,autoriser,228.89,271.80247999999995,172.73839999999996,172.73839999999996,183.77839999999992,True,1
,1,603.84,995.16,0,0,0,une,274.83847999999995,293.22007999999994,172.73839999999996,172.73839999999996,183.77839999999992,True,1
,1,603.84,995.16,0,0,0,dépense,296.28919999999994,338.47303999999997,172.73839999999996,172.73839999999996,183.77839999999992,True,1
,1,603.84,995.16,0,0,0,ne,341.55319999999995,353.68616,172.73839999999996,172.73839999999996,183.77839999999992,True,1
,1,603.84,995.16,0,0,0,devant,356.75527999999997,389.8531999999999,172.73839999999996,172.73839999999996,183.77839999999992,True,1
,1,603.84,995.16,0,0,0,pas,392.90023999999994,410.6635999999999,172.73839999999996,172.73839999999996,183.77839999999992,True,1
