tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612.12,1008.12,0,0,0,RÈGLEMENT,306.41,392.64368,51.26627999999994,51.26627999999994,65.30628000000002,True,1
,1,612.12,1008.12,0,0,0,NUMÉRO,396.19,457.40439999999995,51.26627999999994,51.26627999999994,65.30628000000002,True,1
,1,612.12,1008.12,0,0,0,1193,460.9,491.38696,51.26627999999994,51.26627999999994,65.30628000000002,True,1
,1,612.12,1008.12,0,0,0,Règlement,265.85,319.06280000000004,79.56528000000003,79.56528000000003,90.6052800000001,True,1
,1,612.12,1008.12,0,0,0,numéro,328.93256,366.23672,79.56528000000003,79.56528000000003,90.6052800000001,True,1
,1,612.12,1008.12,0,0,0,1193,376.03,400.42839999999995,79.56528000000003,79.56528000000003,90.6052800000001,True,1
,1,612.12,1008.12,0,0,0,décrétant,410.23,456.12328,79.56528000000003,79.56528000000003,90.6052800000001,True,1
,1,612.12,1008.12,0,0,0,un,465.88264000000004,478.15912000000003,79.56528000000003,79.56528000000003,90.6052800000001,True,1
,1,612.12,1008.12,0,0,0,emprunt,487.9516,528.1924,79.56528000000003,79.56528000000003,90.6052800000001,True,1
,1,612.12,1008.12,0,0,0,relativement,265.85,325.7972,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,au,335.42408,347.70056,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,cautionnement,357.26120000000003,429.44071999999994,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,d’un,439.07863999999995,459.878,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,prêt,469.43863999999996,488.35015999999996,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,de,497.97704,510.11,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,la,519.6816799999999,528.2156,92.33840000000009,92.33840000000009,103.37840000000006,True,1
,1,612.12,1008.12,0,0,0,Corporation,265.85,323.46776,104.9384,104.9384,115.97839999999997,True,1
,1,612.12,1008.12,0,0,0,du,327.98312,340.2596,104.9384,104.9384,115.97839999999997,True,1
,1,612.12,1008.12,0,0,0,Parc,344.77496,367.31863999999996,104.9384,104.9384,115.97839999999997,True,1
,1,612.12,1008.12,0,0,0,d’affaires,371.86712,416.50184,104.9384,104.9384,115.97839999999997,True,1
,1,612.12,1008.12,0,0,0,La,421.02824000000004,433.1612,104.9384,104.9384,115.97839999999997,True,1
,1,612.12,1008.12,,,,"Rolland,",437.68760000000003,478.12912,104.90527999999995,104.90527999999995,115.97839999999997,True,1
,1,612.12,1008.12,0,0,0,ainsi,482.72176,505.35375999999997,104.90527999999995,104.90527999999995,115.94528000000003,True,1
,1,612.12,1008.12,0,0,0,que,509.836,528.33904,104.90527999999995,104.90527999999995,115.94528000000003,True,1
,1,612.12,1008.12,0,0,0,les,265.85,279.90392,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,frais,283.35944,304.33544,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,inhérents,307.802,353.04391999999996,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,pour,356.63192,378.54632,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,un,382.16744,394.30039999999997,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,montant,397.86632,437.64343999999994,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,de,441.16519999999997,453.44167999999996,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,5,457.18,463.31824,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,075,466.3,484.67832,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,"000$,",488.14,515.58736,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,et,519.20848,528.27232,117.62527999999998,117.62527999999998,128.66528000000005,True,1
,1,612.12,1008.12,0,0,0,autorisant,265.85,314.29352,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,un,318.03608,330.31256,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,emprunt,333.98888,374.24072,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,à,378.00536,384.1436,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,cette,387.70952,411.72151999999994,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,fin,415.28743999999995,427.04504,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,pour,430.7324,452.78824,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,un,456.54184,468.81832,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,montant,472.49464,512.15032,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,ne,516.02536,528.30184,130.22528,130.22528,141.26527999999996,True,1
,1,612.12,1008.12,0,0,0,devant,265.85,298.80440000000004,142.82528000000002,142.82528000000002,153.8652800000001,True,1
,1,612.12,1008.12,0,0,0,pas,301.96184,319.7252,142.82528000000002,142.82528000000002,153.8652800000001,True,1
,1,612.12,1008.12,0,0,0,excéder,322.83848,361.93111999999996,142.82528000000002,142.82528000000002,153.8652800000001,True,1
,1,612.12,1008.12,0,0,0,5,365.11,371.24824,142.82528000000002,142.82528000000002,153.8652800000001,True,1
,1,612.12,1008.12,0,0,0,075,374.23,392.49016,142.82528000000002,142.82528000000002,153.8652800000001,True,1
,1,612.12,1008.12,0,0,0,000$.,395.59,423.13916,142.82528000000002,142.82528000000002,153.8652800000001,True,1
,1,612.12,1008.12,0,0,0,Séance,113.3,150.65936,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,ordinaire,155.53904,198.38528,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,du,203.276,215.55248,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,conseil,220.31072,254.49464,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,"municipal,",259.35224,308.84455999999994,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,tenue,313.80152,341.43463999999994,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,publiquement,346.19287999999995,412.11271999999997,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,le,417.06967999999995,425.6035999999999,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,17,430.63,442.90648,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,mars,447.66472,472.11832,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,2014,476.98,501.47836,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,à,506.38,512.51824,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,"20h,",517.3,538.75072,180.14527999999996,180.14527999999996,191.18528000000003,True,1
,1,612.12,1008.12,0,0,0,dans,113.3,137.2016,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,la,141.0104,149.54432,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,salle,153.35312,175.92991999999998,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,du,179.73872,192.0152,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,conseil,195.81295999999998,230.14712,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,municipal,234.04424,280.53896,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,située,284.31464,313.7252,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,au,317.534,329.81048,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,1386,333.60823999999997,358.12807999999995,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,de,361.92584,374.20232,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,la,378.00007999999997,386.534,192.86527999999998,192.86527999999998,203.90528000000006,True,1
,1,612.12,1008.12,0,0,0,rue,390.34279999999995,406.32872,192.86527999999998,192.86527999999998,203.90528000000006,True,1
