sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,12,612,1008,BCDEEE+ArialNarrow,#777,85,117,36,45,11126,,Artifact,
I-Titre,I-Tete,de,12,612,1008,BCDEEE+ArialNarrow,#777,119,126,36,45,11126,,Artifact,
I-Titre,I-Tete,zonage,12,612,1008,BCDEEE+ArialNarrow,#777,128,149,36,45,11126,,Artifact,
I-Titre,I-Tete,1314-2021-Z,12,612,1008,BCDEEE+ArialNarrow,#777,151,189,36,45,11126,,Artifact,
O,I-Tete,Chapitre,12,612,1008,BCDEEE+ArialNarrow,#777,317,342,36,45,11126,,Artifact,
O,I-Tete,2,12,612,1008,BCDEEE+ArialNarrow,#777,344,347,36,45,11126,,Artifact,
O,I-Tete,–,12,612,1008,BCDMEE+ArialNarrow,#777,349,353,36,45,11126,,Artifact,
O,I-Tete,Dispositions,12,612,1008,BCDEEE+ArialNarrow,#777,355,390,36,45,11126,,Artifact,
O,I-Tete,"déclaratoires,",12,612,1008,BCDEEE+ArialNarrow,#777,392,431,36,45,11126,,Artifact,
O,I-Tete,interprétatives,12,612,1008,BCDEEE+ArialNarrow,#777,433,474,36,45,11126,,Artifact,
O,I-Tete,et,12,612,1008,BCDEEE+ArialNarrow,#777,476,481,36,45,11126,,Artifact,
O,I-Tete,administratives,12,612,1008,BCDEEE+ArialNarrow,#777,483,527,36,45,11126,,Artifact,
O,B-Section,SECTION,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,85,136,113,127,11202,1,Span,H2
O,I-Section,2,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,139,146,113,127,11202,1,Span,H2
O,I-Section,FONCTIONNEMENT,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,159,267,113,127,11202,1,Span,H2
O,B-Article,10.,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,103,114,152,162,11241,2,Span,H3
O,I-Article,Structure,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,121,158,152,162,11241,2,Span,H3
O,I-Article,du,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,160,170,152,162,11241,2,Span,H3
O,I-Article,règlement,12,612,1008,BCDKEE+ArialNarrow-Bold,#000,172,211,152,162,11241,2,Span,H3
O,B-Alinea,Un,12,612,1008,BCDMEE+ArialNarrow,#000,85,96,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,système,12,612,1008,BCDMEE+ArialNarrow,#000,98,128,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,de,12,612,1008,BCDMEE+ArialNarrow,#000,131,140,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,numérotation,12,612,1008,BCDMEE+ArialNarrow,#000,142,190,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,uniforme,12,612,1008,BCDMEE+ArialNarrow,#000,192,224,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,a,12,612,1008,BCDMEE+ArialNarrow,#000,227,231,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,été,12,612,1008,BCDMEE+ArialNarrow,#000,233,245,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,utilisé,12,612,1008,BCDMEE+ArialNarrow,#000,247,268,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,pour,12,612,1008,BCDMEE+ArialNarrow,#000,270,287,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,l'ensemble,12,612,1008,BCDMEE+ArialNarrow,#000,289,328,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,du,12,612,1008,BCDMEE+ArialNarrow,#000,330,340,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,règlement.,12,612,1008,BCDMEE+ArialNarrow,#000,342,381,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,Le,12,612,1008,BCDMEE+ArialNarrow,#000,383,392,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,présent,12,612,1008,BCDMEE+ArialNarrow,#000,394,422,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,règlement,12,612,1008,BCDMEE+ArialNarrow,#000,424,461,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,est,12,612,1008,BCDMEE+ArialNarrow,#000,463,474,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,d’abord,12,612,1008,BCDMEE+ArialNarrow,#000,476,503,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,divisé,12,612,1008,BCDMEE+ArialNarrow,#000,506,527,173,182,11262,3,Span,L;L;L;L;L;L;LI;Lbl
O,I-Alinea,en,12,612,1008,BCDEEE+ArialNarrow,#000,85,94,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,chapitres,12,612,1008,BCDEEE+ArialNarrow,#000,96,130,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,numérotés,12,612,1008,BCDEEE+ArialNarrow,#000,132,170,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,en,12,612,1008,BCDEEE+ArialNarrow,#000,173,182,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,chiffres,12,612,1008,BCDEEE+ArialNarrow,#000,184,210,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,arabes.,12,612,1008,BCDEEE+ArialNarrow,#000,212,240,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,Au,12,612,1008,BCDEEE+ArialNarrow,#000,242,252,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,"besoin,",12,612,1008,BCDEEE+ArialNarrow,#000,254,280,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,chaque,12,612,1008,BCDEEE+ArialNarrow,#000,283,309,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,chapitre,12,612,1008,BCDEEE+ArialNarrow,#000,312,341,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,est,12,612,1008,BCDEEE+ArialNarrow,#000,343,354,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,divisé,12,612,1008,BCDEEE+ArialNarrow,#000,356,377,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,en,12,612,1008,BCDEEE+ArialNarrow,#000,379,388,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,sections,12,612,1008,BCDEEE+ArialNarrow,#000,390,420,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
O,I-Alinea,et,12,612,1008,BCDEEE+ArialNarrow,#000,422,429,184,194,11273,4,Span,L;L;L;L;L;L;LI;LBody
