sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,21,612,1008,BCDEEE+ArialNarrow,#777,85,117,36,45,20199,,Artifact,
I-Titre,I-Tete,de,21,612,1008,BCDEEE+ArialNarrow,#777,119,126,36,45,20199,,Artifact,
I-Titre,I-Tete,zonage,21,612,1008,BCDEEE+ArialNarrow,#777,128,149,36,45,20199,,Artifact,
I-Titre,I-Tete,1314-2021-Z,21,612,1008,BCDEEE+ArialNarrow,#777,151,189,36,45,20199,,Artifact,
O,I-Tete,Chapitre,21,612,1008,BCDEEE+ArialNarrow,#777,388,413,36,45,20199,,Artifact,
O,I-Tete,3,21,612,1008,BCDEEE+ArialNarrow,#777,415,418,36,45,20199,,Artifact,
O,I-Tete,–,21,612,1008,BCDMEE+ArialNarrow,#777,420,424,36,45,20199,,Artifact,
O,I-Tete,Dispositions,21,612,1008,BCDEEE+ArialNarrow,#777,426,461,36,45,20199,,Artifact,
O,I-Tete,générales,21,612,1008,BCDEEE+ArialNarrow,#777,463,492,36,45,20199,,Artifact,
O,I-Tete,aux,21,612,1008,BCDEEE+ArialNarrow,#777,494,504,36,45,20199,,Artifact,
O,I-Tete,usages,21,612,1008,BCDEEE+ArialNarrow,#777,506,527,36,45,20199,,Artifact,
O,B-Section,SECTION,21,612,1008,BCDKEE+ArialNarrow-Bold,#222,85,136,74,88,20236,0,Span,H2
O,I-Section,3,21,612,1008,BCDKEE+ArialNarrow-Bold,#222,139,146,74,88,20236,0,Span,H2
O,I-Section,CLASSIFICATION,21,612,1008,BCDKEE+ArialNarrow-Bold,#222,159,255,74,88,20236,0,Span,H2
O,I-Section,DES,21,612,1008,BCDKEE+ArialNarrow-Bold,#222,258,282,74,88,20236,0,Span,H2
O,I-Section,USAGES,21,612,1008,BCDKEE+ArialNarrow-Bold,#222,285,334,74,88,20236,0,Span,H2
O,B-SousSection,GROUPE,21,612,1008,BCDKEE+ArialNarrow-Bold,#000,193,229,114,124,20276,2,Span,H2
