Label,Average,1,2,3,4
ALL,0.7984049326868735,0.8030042144312648,0.8223666197522109,0.8110140813032772,0.757234815260741
B-Alinea,0.7922734373043043,0.8135095447870778,0.7926988265971316,0.7938931297709924,0.7689922480620154
B-Amendement,0.428030303030303,0.5454545454545454,0.6666666666666666,0.5,0.0
B-Article,0.8193908076050933,0.861111111111111,0.761904761904762,0.8246153846153846,0.8299319727891157
B-Chapitre,0.741154970760234,0.7777777777777778,0.75,0.7,0.7368421052631579
B-Liste,0.876889305710097,0.8838323353293414,0.8780487804878048,0.8996372430471583,0.8460388639760837
B-Pied,0.9929901960784314,1.0,1.0,0.9852941176470589,0.9866666666666668
B-Section,0.8726610802498195,0.9767441860465117,0.8717948717948718,0.8421052631578948,0.7999999999999999
B-SousSection,0.9309495404736655,0.875,0.9565217391304348,0.975609756097561,0.9166666666666666
B-TOC,0.7833333333333333,0.4444444444444445,0.8,0.888888888888889,1.0
B-Tete,0.9961796442111402,1.0,0.9921259842519685,0.9925925925925926,1.0
B-Titre,0.548601640799186,0.6551724137931034,0.576271186440678,0.5185185185185185,0.4444444444444444
