Label,Average,1,2,3,4
ALL,0.7733555682192739,0.7746003041512783,0.7120755732426521,0.7687234810805297,0.8380229144026355
B-Alinea,0.789532810475929,0.8583815028901735,0.6923076923076923,0.813986013986014,0.7934560327198364
B-Amendement,0.2698412698412698,0.0,0.2222222222222222,0.0,0.8571428571428571
B-Article,0.8363012788098317,0.8933717579250722,0.7672131147540984,0.8348348348348348,0.8497854077253219
B-Chapitre,0.7337683096954196,0.75,0.5882352941176471,0.7272727272727273,0.8695652173913043
B-Liste,0.8657995910270931,0.884514435695538,0.8013355592654424,0.9303944315545244,0.8469539375928677
B-Pied,0.9923375410294014,1.0,0.9909909909909909,0.9922480620155039,0.9861111111111112
B-Section,0.8525489238512575,0.9787234042553191,0.7096774193548386,0.8500000000000001,0.8717948717948718
B-SousSection,0.9468452380952381,0.8750000000000001,0.9523809523809523,0.9600000000000001,1.0
B-TOC,0.7510683760683761,0.7499999999999999,0.6153846153846153,0.888888888888889,0.7499999999999999
B-Tete,0.9907407407407407,1.0,0.9629629629629629,1.0,1.0
B-Titre,0.47812717077745576,0.5306122448979592,0.5301204819277109,0.4583333333333333,0.39344262295081966
